Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
1.97845, 1.20077e-07, 67.8266, 228184, 1.82432
64.8586, 0.000135912, 809.442, 227250, 2.55631
242.607, 0.00193829, 826.043, 225798, 2.72823
479.969, 0.00767392, 1029.48, 224693, 2.85724
775.467, 0.0203953, 1322.33, 223825, 2.86553
1024.85, 0.0366181, 1434.9, 223033, 3.03529
1262.52, 0.0577809, 1499.26, 222025, 3.06303
1472.68, 0.0824721, 1580.5, 221129, 3.31388
1689.38, 0.116184, 1698.31, 220113, 3.6686
1853.55, 0.150737, 1910.73, 219346, 3.95771
2032.46, 0.205483, 2388.82, 218574, 4.60831
2206.74, 0.286062, 3025.62, 218248, 5.29964
2300.47, 0.358398, 3232.96, 217711, 5.07462
2307.25, 0.434973, 3201.03, 216877, 5.10387
2009.09, 0.366411, 2098.58, 215861, 7.22132
1954.83, 0.372544, 1104.62, 214566, 4.1816
2087.72, 0.417901, 816.985, 214134, 4.35922
2133.22, 0.43613, 925.214, 213999, 3.77237
2159.31, 0.446411, 752.859, 213723, 4.57616
2221.07, 0.46926, 1497.22, 1.20139e+06, 12.8634
7631.63, 2.86163, 85057, 1.1996e+06, 44.165
8242.57, 3.247, 89207.8, 1.19936e+06, 34.4571
8503.93, 3.41996, 90506.5, 1.19924e+06, 35.9468
9308.22, 3.94389, 92877.7, 1.19789e+06, 30.3196
9673.7, 4.19489, 94079.8, 1.19745e+06, 27.7771
10415.1, 4.96241, 96442.3, 1.1941e+06, 24.6968
11218.8, 6.05631, 104416, 1.19322e+06, 33.2784
9536.75, 4.92183, 68411.2, 1.15126e+06, 33.8114
9220.29, 5.71389, 60646.3, 1.13673e+06, 33.8349
11493.6, 5.91862, 70618.8, 1.12839e+06, 24.7796
10524.9, 6.10356, 64333.1, 1.11823e+06, 17.8918
10607.7, 6.64124, 68676.4, 1.11036e+06, 23.8144
10018.7, 7.60401, 72447.1, 1.10488e+06, 23.662
10856, 8.30571, 78973.3, 1.10118e+06, 24.6563
10772.1, 9.11236, 74111, 1.09235e+06, 19.3597
9967.46, 8.52217, 52564.6, 1.0766e+06, 20.351
10193.3, 8.93917, 50417.6, 1.0736e+06, 18.8193
10378.8, 9.35595, 48362.8, 1.06704e+06, 17.5821
10760.4, 9.95311, 53253.3, 1.06255e+06, 16.3692
10561.9, 9.61985, 59838, 1.05691e+06, 20.4073
10796.2, 10.6383, 61633.3, 1.05151e+06, 17.0908
10286.4, 9.66937, 56209.5, 1.03593e+06, 19.0316
9975.8, 10.0769, 54489.6, 1.0254e+06, 21.5521
10747.9, 11.5486, 55471.9, 1.02417e+06, 20.3132
11002.4, 11.9703, 60181.4, 1.01876e+06, 19.0853
11099.3, 12.3203, 56194, 1.00993e+06, 17.7324
10900.3, 12.1897, 58591.3, 1.00934e+06, 16.8798
10860.1, 12.2621, 56562.8, 1.00414e+06, 18.3629
11210.6, 11.9388, 58689, 998313, 16.0144
10092.9, 11.2306, 48302.4, 984471, 16.8698
9963.14, 11.5625, 35061.3, 438672, 17.929
5215.71, 5.47859, 37688.6, 437287, 25.0979
4361.98, 4.66059, 28638.6, 429892, 25.7302
4301.18, 4.60911, 18020.3, 418424, 19.6968
4290.9, 4.59979, 16770, 417041, 18.8697
4288.56, 4.59766, 16500.3, 416741, 18.6869
