Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.101084, 1.01166e-09, 0.0165822, 1170.84, 0.0180334
0.118364, 1.41951e-09, 0.00887078, 1170.2, 0.0189903
0.31484, 1.16865e-08, 0.131073, 1164.67, 0.0493667
0.369033, 1.66639e-08, 0.0261604, 1163.2, 0.0310549
0.40469, 2.06678e-08, 0.0447071, 1162.3, 0.0366503
0.460103, 2.82308e-08, 0.0706857, 1160.9, 0.0385236
0.545438, 4.33903e-08, 0.0978772, 1158.78, 0.0511331
0.647887, 6.83796e-08, 0.0807428, 1156.24, 0.0518638
0.722213, 9.2787e-08, 0.0531445, 1154.3, 0.0438102
1.27786, 4.8817e-07, 0.345746, 1141.64, 0.106104
1.35168, 5.91173e-07, 0.0977552, 1139.46, 0.0597982
1.33418, 5.86549e-07, 0.0607485, 1139.43, 0.0618744
1.32229, 5.83451e-07, 0.039799, 1139.42, 0.0537869
1.31208, 5.80877e-07, 0.0229425, 1139.42, 0.0431133
1.30104, 5.78101e-07, 0.0166531, 1139.42, 0.0375919
1.28192, 5.734e-07, 0.000354794, 1139.41, 0.0146614
1.28192, 5.734e-07, 0.000354794, 1139.41, 0.0146614
1.28192, 5.734e-07, 1.56549e-23, 1139.41, 0.0130656
1.28192, 5.734e-07, 2.74266e-26, 1139.41, 0.0130656
