Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
13.1837, 1.68945e-05, 697.032, 2.11412e+06, 3.82225
130.52, 0.00168013, 4846.52, 2.1134e+06, 11.8309
286.582, 0.00835302, 7819.12, 2.1123e+06, 17.3347
872.921, 0.0860931, 8463.09, 2.10646e+06, 19.3767
1319.67, 0.220895, 17419.8, 2.10614e+06, 33.7436
1751.95, 0.436471, 18829.8, 2.10034e+06, 40.4211
2472.04, 1.03151, 23015.4, 2.09412e+06, 48.93
2720.36, 1.59361, 18228.7, 2.08206e+06, 48.0484
2875.86, 2.5667, 18877.2, 2.07204e+06, 47.2738
2981.5, 3.90908, 23638, 2.06806e+06, 56.9612
2732.85, 5.42775, 31297.9, 2.06629e+06, 73.0666
2462.29, 6.7922, 19170.4, 2.04786e+06, 60.5274
2298.45, 9.77687, 24026.1, 2.04385e+06, 56.6582
2213.37, 9.61209, 16271.5, 2.03562e+06, 53.8973
2133.44, 9.44585, 10117, 2.02924e+06, 46.4203
2089.48, 9.36792, 5281.35, 2.0241e+06, 33.1841
2044.44, 9.28341, 4423.7, 2.02286e+06, 30.9288
2012.14, 9.22363, 2795.18, 2.02092e+06, 22.59
1980.54, 9.17387, 2451.8, 2.02026e+06, 20.715
1949.3, 9.12122, 2685.5, 2.02014e+06, 22.9579
1926, 9.09332, 2270.29, 2.01941e+06, 20.0841
1901.6, 9.0578, 2364.62, 2.01915e+06, 21.2183
1883.58, 9.0433, 1933.66, 2.0185e+06, 17.5528
1865.25, 9.02599, 1905.95, 2.01811e+06, 17.5381
1849.39, 9.02855, 2240.82, 2.01806e+06, 20.8142
1836.04, 9.02692, 2098.65, 2.01757e+06, 19.6034
1824.86, 9.04427, 2388.51, 2.01748e+06, 22.0989
1815.38, 9.055, 2149.1, 2.01689e+06, 20.0133
1804.52, 9.05019, 2101.85, 2.0165e+06, 7.90562
1794.76, 9.06974, 1808.97, 2.01592e+06, 9.64393
1792.85, 9.1335, 2145.3, 2.01571e+06, 13.8414
1790.6, 9.15971, 2149.53, 2.01543e+06, 10.9659
1765.86, 9.1508, 1983.92, 2.01489e+06, 14.8933
1755, 9.16241, 2153.06, 2.01464e+06, 16.6207
1751.3, 9.20545, 1837.71, 2.01395e+06, 14.6985
1740.28, 9.21591, 1853.29, 2.01354e+06, 15.4052
1733.39, 9.25658, 2266.99, 2.01354e+06, 19.2722
1721.74, 9.26065, 2199.49, 2.01315e+06, 19.2354
1718.5, 9.30221, 1708.35, 2.01232e+06, 14.8175
1711.83, 9.32684, 1680.59, 2.0119e+06, 13.9702
1710.79, 9.38834, 1868.05, 2.01169e+06, 15.6289
1704.06, 9.41163, 1742.82, 2.01118e+06, 13.857
1704.9, 9.47973, 1902.6, 2.01093e+06, 14.824
1702.05, 9.52096, 1905.34, 2.01051e+06, 12.5499
1697.01, 9.56302, 2028.96, 2.01031e+06, 12.6062
1683.04, 9.56586, 2140.7, 2.00995e+06, 14.7655
1675.75, 9.60051, 1883.2, 2.0094e+06, 13.7884
1671.85, 9.64193, 2091.01, 2.00918e+06, 15.2672
1666.99, 9.68434, 1848.21, 2.00856e+06, 13.4339
1664.5, 9.7314, 1983.4, 2.00828e+06, 14.1414
1661.22, 9.78841, 2320, 2.0082e+06, 16.2068
1657.52, 9.82511, 2125.02, 2.00758e+06, 14.8248
1653.53, 9.88087, 2470.04, 2.00748e+06, 16.0964
1648.57, 9.9114, 1933.34, 2.00664e+06, 13.6392
1646.37, 9.97151, 1977, 2.00629e+06, 13.8363
1643.41, 10.0115, 1689.33, 2.00562e+06, 11.1173
1642.73, 10.0764, 1719.53, 2.00527e+06, 10.7457
1640.9, 10.1321, 2049.59, 2.00515e+06, 12.3434
1641.54, 10.1968, 2247.21, 2.00494e+06, 11.3404
1639.18, 10.2518, 2079.38, 2.00435e+06, 12.1378
1637.55, 10.3117, 1762.87, 2.00366e+06, 10.2834
1634.81, 10.3658, 1830.72, 2.00331e+06, 10.4062
1632.2, 10.4361, 2194.54, 2.00324e+06, 12.3142
1627.82, 10.4798, 2058.34, 2.00268e+06, 11.7489
1625.97, 10.5519, 2351.62, 2.00256e+06, 13.1975
1623.01, 10.6003, 2077.42, 2.00187e+06, 11.8417
1622.06, 10.6745, 2248.98, 2.00164e+06, 12.5956
1621.09, 10.7307, 1932.32, 2.00101e+06, 10.7226
1624.29, 10.82, 2051.3, 2.00072e+06, 11.079
1650.59, 10.9501, 2284.14, 2.0006e+06, 6.03626
1628.44, 11.0123, 2781.88, 2.00044e+06, 10.2174
1615.78, 11.0291, 2390.77, 1.99952e+06, 11.2356
1618.64, 11.1169, 2006.11, 1.99873e+06, 10.2727
1614.94, 11.1609, 2062.08, 1.99815e+06, 7.69592
1647.39, 11.385, 2181.57, 1.99774e+06, 9.17602
1619.56, 11.3828, 2603.59, 1.99773e+06, 12.5967
1617.09, 11.4516, 1961.12, 1.99696e+06, 9.76368
1605.67, 11.4908, 2413.86, 1.99694e+06, 12.9263
1599.68, 11.5299, 1751.82, 1.99618e+06, 9.49736
1600.04, 11.5984, 1719.18, 1.99565e+06, 8.51801
1597.23, 11.6851, 2363.3, 1.99538e+06, 12.3472
1593.25, 11.7418, 2857.59, 1.99529e+06, 14.8068
1606.64, 11.8888, 2696.01, 1.99507e+06, 14.337
1601.6, 11.9434, 3110.36, 1.99495e+06, 16.5251
1618.44, 12.1092, 2741.2, 1.99415e+06, 15.0673
1613.77, 12.1805, 2909.57, 1.99363e+06, 16.3196
1607.08, 12.2355, 2385.97, 1.99255e+06, 14.0604
1599.3, 12.2816, 2446.14, 1.99211e+06, 14.5471
1592.26, 12.3254, 1998.7, 1.99126e+06, 11.8113
1586.35, 12.3581, 1421.77, 1.9909e+06, 7.56766
1583.26, 12.4318, 1574.51, 1.99057e+06, 8.42058
1581.58, 12.515, 2004.9, 1.9902e+06, 10.9593
1580.96, 12.5965, 2128.77, 1.98986e+06, 11.7869
1582.11, 12.6748, 1920.76, 1.98941e+06, 10.4014
1581.56, 12.7438, 1688.1, 1.989e+06, 7.39712
1585.32, 12.853, 2054.87, 1.98877e+06, 8.87029
1593.66, 12.9654, 2317.31, 1.9884e+06, 8.72967
1587.52, 13.0292, 2078.06, 1.98768e+06, 9.68041
1585.17, 13.1025, 1772.65, 1.98713e+06, 8.74838
1578.41, 13.155, 1890.81, 1.98682e+06, 9.24305
1573.57, 13.2209, 2024.62, 5.94141e+06, 15.1927
2222.16, 16.4765, 27764.8, 5.94023e+06, 50.1963
2489.28, 17.837, 21291.4, 5.92745e+06, 52.0111
2748.27, 19.3778, 29956.2, 5.92628e+06, 63.5236
2916.81, 20.5297, 27169.9, 5.91681e+06, 62.2832
3040.99, 21.6633, 33640.3, 5.91558e+06, 72.9649
3300.46, 23.4261, 29456.3, 5.90601e+06, 68.0052
3285.4, 24.0179, 32704.7, 5.90184e+06, 76.012
3582.3, 26.1573, 29411.8, 5.89283e+06, 66.5874
3517.33, 26.5339, 27796.4, 5.88569e+06, 69.3573
3626.17, 27.6869, 18558.5, 5.87143e+06, 56.6378
3730.92, 28.8057, 19321.7, 5.86613e+06, 56.578
3950.81, 30.6418, 15720.6, 5.85788e+06, 44.2971
3908.54, 31.1829, 14304.6, 5.85154e+06, 41.8099
3956.03, 32.2013, 15203.8, 5.8478e+06, 46.3393
4049.47, 33.5573, 21409, 5.84765e+06, 59.4517
4072.08, 34.4972, 21638, 5.84327e+06, 61.6169
4100.64, 35.2707, 15882.3, 5.83328e+06, 50.2143
4170.01, 36.4501, 16135.6, 5.82891e+06, 50.0967
4406.46, 38.7815, 16265.9, 5.8245e+06, 39.5918
4307.09, 39.1572, 20969.2, 5.82372e+06, 54.0435
4358.06, 40.2671, 23262.7, 5.82159e+06, 60.0962
4396.02, 41.4142, 17912.9, 5.81281e+06, 51.7841
4491.4, 42.9904, 18636.2, 5.80831e+06, 53.3167
4498.55, 43.9953, 15303.9, 5.8006e+06, 43.7083
4472.17, 44.7397, 14761, 5.79651e+06, 43.1528
4492.47, 45.8443, 18110, 5.79503e+06, 49.9995
4523.89, 46.8935, 16614.9, 5.78985e+06, 46.1089
4538.52, 48.1012, 18146.4, 5.78708e+06, 50.3779
4539.44, 48.9074, 15189.4, 5.78001e+06, 44.3086
4635.36, 50.4209, 14228.1, 5.77454e+06, 30.5907
4638.25, 51.537, 15701, 5.77223e+06, 37.2418
4698.01, 52.9972, 16447.7, 5.76923e+06, 37.2098
4713.72, 53.8224, 15996.4, 5.76501e+06, 29.7597
4737.24, 55.5739, 19278.4, 5.76249e+06, 40.0926
4910.51, 57.5241, 17424.6, 5.75961e+06, 12.9286
4904.11, 57.8769, 21664.9, 5.75771e+06, 19.1129
4710.11, 58.4924, 19971.2, 5.7487e+06, 23.4993
4694.28, 59.7735, 15977.7, 5.74136e+06, 25.3811
4708.76, 61.1642, 21035.8, 5.74112e+06, 32.5883
4662.91, 61.9474, 19046.4, 5.7353e+06, 35.2013
4694.04, 63.2916, 17687, 5.72932e+06, 31.0004
4679.1, 64.1236, 17325.8, 5.72487e+06, 32.7612
4714.4, 65.5039, 14780.8, 5.71912e+06, 28.0395
4747.47, 66.9862, 14957.5, 5.71532e+06, 28.1586
4721.89, 68.2443, 15433.5, 5.71186e+06, 31.9767
4705.94, 69.4381, 19586.2, 5.71137e+06, 42.9281
4688.53, 70.4186, 20470.8, 5.70895e+06, 47.4922
4751.72, 71.9619, 19114.5, 5.70369e+06, 41.5845
4721.27, 72.8433, 17846.4, 5.69894e+06, 43.1746
4764.78, 74.4798, 20787.8, 5.69805e+06, 49.4387
4747.77, 75.4482, 18461.4, 5.69229e+06, 46.1464
4858.86, 77.2655, 19844.2, 5.68884e+06, 33.6459
4746.53, 77.7256, 20339, 5.68745e+06, 42.4153
4747.94, 78.8809, 18697.1, 5.68135e+06, 43.6403
