Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
1460.95, 1.88863e-08, 32.3328, 48974.3, 1.02837
1599.31, 0.000556882, 833.666, 48840.1, 2.52608
1682.81, 0.00178802, 864.403, 48744.3, 2.66143
1807.22, 0.00526276, 813.681, 48591.9, 2.72955
1996.81, 0.0159595, 1335.98, 48418.5, 4.05182
2118.57, 0.0290474, 1355.61, 47869.3, 4.09432
2241.36, 0.0535726, 2269.94, 47701.9, 5.80407
2262.59, 0.0764878, 2528.89, 47217.5, 6.64512
2187.19, 0.101313, 3294.38, 46913.3, 8.24166
2097.47, 0.128512, 3123.28, 46002.4, 8.61742
2002.7, 0.167965, 3962.49, 45969.3, 10.018
1942.04, 0.219259, 3699.92, 45253.2, 10.2886
1922.3, 0.282292, 3064.08, 44148.8, 8.01109
1909.22, 0.276751, 1899.65, 42986.8, 6.63401
1901.07, 0.272967, 1434.5, 42489.8, 5.61874
1892.69, 0.269483, 1373.75, 42405.7, 6.10399
1886.38, 0.266534, 1157.84, 41933.6, 5.44038
1877.68, 0.263625, 1136.18, 41669.7, 5.89569
1869.43, 0.260329, 915.006, 41561.9, 4.97714
1863.57, 0.25821, 617.58, 41362.7, 3.24264
1857.71, 0.255593, 546.956, 41257.1, 2.61878
1851.2, 0.252691, 623.989, 41165.7, 3.68525
1846.75, 0.25067, 519.312, 41028.9, 2.7879
1843.43, 0.249233, 426.916, 40994.6, 1.73211
1838.02, 0.247107, 471.805, 40829.6, 2.51225
1838.01, 0.247104, 470.966, 40828.7, 2.50275
1838.01, 0.247104, 470.773, 40828.5, 2.50057
1838.01, 0.247104, 470.764, 40828.5, 2.50047
1838.01, 0.247103, 5.34058e-05, 40512.4, 0.851874
1838.01, 0.247108, 0.00361928, 40511.4, 0.848702
1838.06, 0.24718, 1.02029, 40497.3, 0.809344
1838.21, 0.247377, 10.3617, 40469.5, 0.742623
1838.21, 0.24738, 10.546, 40469.1, 0.741609
1838.21, 0.247381, 10.5516, 40469.1, 0.741577
1838.21, 0.247381, 4.6096e-09, 40458.5, 0.846966
1838.21, 0.247381, 5.23103e-09, 40458.5, 0.846966
1838.21, 0.247381, 2.9272e-13, 40458.5, 0.84697
1838.21, 0.247381, 2.61119e-15, 40458.5, 0.84697
1838.21, 0.247381, 8.88544e-17, 40458.5, 0.84697
1838.21, 0.247381, 3.02361e-18, 40458.5, 0.84697
1838.21, 0.247381, 3.09612e-13, 117979, 2.37924
1838.21, 0.247381, 7.32819e-10, 117979, 2.37924
1838.22, 0.247381, 1.81622e-07, 117979, 2.37921
1838.22, 0.247383, 4.64933e-05, 117979, 2.37888
1838.31, 0.247418, 0.0118946, 117973, 2.3737
1839.83, 0.247991, 3.40408, 117878, 2.31681
1868.67, 0.258441, 739.371, 117128, 2.37439
1942.24, 0.284344, 1026.05, 116665, 4.176
1986.15, 0.300016, 2527.46, 115897, 4.70549
2006.33, 0.308311, 956.026, 115588, 2.29519
2010.42, 0.309989, 977.353, 115511, 2.1373
2011.18, 0.310297, 988.155, 115504, 2.13147
2011.29, 0.310342, 990.078, 115503, 2.13163
2013.08, 0.311071, 1.86287, 115028, 2.44368
2027.48, 0.316338, 488.33, 115015, 2.10002
2186.74, 0.378389, 4045.09, 114927, 5.5382
2211.46, 0.385004, 4361.82, 114375, 3.72206
2302.7, 0.41909, 4918.14, 114037, 4.55712
2332.31, 0.43445, 3160.79, 112781, 4.63428
2368.77, 0.452253, 2179.97, 111820, 4.01383
2387.42, 0.464139, 1116.87, 111115, 3.03806
2402.91, 0.474362, 724.377, 110545, 2.09946
2443.91, 0.504535, 1988.94, 110476, 4.60748
2460.35, 0.518229, 1458.31, 109546, 3.87701
2474.86, 0.532575, 1129.15, 109043, 3.86555
2487.86, 0.545636, 1079.93, 108537, 3.06954
2501.66, 0.560822, 877.766, 108353, 3.0079
2510.25, 0.570536, 634.686, 107819, 1.68926
2512.59, 0.573442, 609.236, 107740, 1.47223
2512.87, 0.573783, 608.031, 107732, 1.45817
2512.89, 0.573815, 607.928, 107732, 1.45692
2512.89, 0.573816, 607.924, 107732, 1.45687
2512.89, 0.573816, 1.93442e-10, 107124, 1.69781
2512.89, 0.573817, 2.53013e-07, 107124, 1.69778
2512.92, 0.573831, 6.44561e-05, 107123, 1.69743
2513.33, 0.574053, 0.0164834, 107117, 1.692
2519.87, 0.577604, 4.68863, 107023, 1.62934
2519.89, 0.577615, 4.71368, 107023, 1.6292
2519.89, 0.577616, 1.22382e-07, 107018, 1.69324
2519.91, 0.577627, 4.84088e-05, 107018, 1.69294
2520.25, 0.577809, 0.0111699, 107013, 1.6885
2525.59, 0.580724, 3.18669, 106936, 1.6345
2525.99, 0.580941, 3.59806, 106930, 1.63159
2526.01, 0.580952, 3.6184, 106930, 1.63145
2526.01, 0.580952, 2.75243e-08, 106926, 1.6897
2526.02, 0.580957, 1.04401e-05, 106926, 1.68956
2526.17, 0.581041, 0.00240462, 106924, 1.68748
2528.63, 0.582387, 0.690827, 106887, 1.65828
2529.72, 0.58299, 1.35495, 106872, 1.64799
2529.79, 0.583026, 1.40103, 106871, 1.64741
2529.8, 0.58303, 3.42903e-06, 106869, 1.68765
2529.9, 0.583085, 0.00116818, 106868, 1.68619
2531.51, 0.58397, 0.302809, 106844, 1.66586
2533.71, 0.585182, 1.52296, 106812, 1.64419
2533.79, 0.585229, 1.58567, 106811, 1.64346
2533.81, 0.585236, 1.37387e-05, 106809, 1.68565
2534.01, 0.585346, 0.00472906, 106806, 1.68276
2537.23, 0.587123, 1.22145, 106758, 1.64641
2538.66, 0.587917, 2.36672, 106738, 1.63421
2538.77, 0.587976, 2.46524, 106736, 1.63335
2538.78, 0.58798, 3.59903e-06, 106734, 1.68362
2538.88, 0.588038, 0.00129592, 106732, 1.68211
2540.56, 0.588964, 0.336872, 106707, 1.66113
2547.55, 0.592845, 7.72355, 106609, 1.60405
2547.55, 0.592846, 7.72816, 106609, 1.60403
2547.55, 0.592847, 9.64116e-09, 106601, 1.68073
2547.56, 0.59285, 4.16917e-06, 106601, 1.68065
2547.65, 0.592902, 0.000967219, 106600, 1.67937
2549.15, 0.593737, 0.27853, 106577, 1.66033
2573.21, 0.607222, 67.4935, 106283, 1.5374
2573.49, 0.607382, 68.2675, 106280, 1.53635
2573.52, 0.607401, 68.3587, 106280, 1.53623
2573.52, 0.607404, 8.07002e-07, 106211, 1.67826
2573.61, 0.60745, 0.000911773, 106210, 1.67706
2574.93, 0.608199, 0.249373, 106190, 1.66031
2596.09, 0.620272, 60.8529, 105923, 1.55441
2597.54, 0.621127, 65.9197, 105910, 1.54994
2597.76, 0.621253, 66.6699, 105908, 1.5493
2597.8, 0.621276, 8.21212e-05, 105841, 1.69291
2598.47, 0.621666, 0.0784102, 105830, 1.68408
2609.34, 0.627935, 20.8982, 105674, 1.61702
2614.01, 0.630665, 37.954, 105622, 1.60688
2614.18, 0.630769, 38.6762, 105620, 1.60663
2614.19, 0.63077, 2.30941e-07, 105581, 1.72955
2614.21, 0.630784, 0.000138539, 105581, 1.72925
2614.6, 0.631008, 0.0326502, 105574, 1.72513
2620.8, 0.634598, 9.374, 105477, 1.69315
2633.84, 0.642184, 80.0156, 105333, 1.76448
2634.14, 0.642362, 83.0543, 105331, 1.77176
2634.14, 0.642363, 83.0705, 105331, 1.7718
2634.14, 0.642363, 1.4127e-10, 105248, 1.91137
2634.14, 0.642363, 7.61739e-08, 105248, 1.91138
2634.15, 0.642367, 1.78785e-05, 105248, 1.91146
2634.24, 0.642417, 0.00457958, 105246, 1.91287
2635.66, 0.643221, 1.33542, 105219, 1.94837
2644.99, 0.648466, 80.3545, 105105, 2.54205
2645.39, 0.648668, 93.6568, 338638, 6.02976
2648.83, 0.651418, 310.052, 337423, 5.69004
2830.64, 0.756899, 13450.2, 329514, 10.1971
3027.57, 0.879116, 12164.1, 327706, 7.39919
3034.94, 0.913043, 17162.9, 324511, 11.3133
3112.37, 0.963276, 18438.2, 320736, 8.99512
3221.93, 1.04792, 11977.6, 315216, 7.98217
3331.54, 1.16351, 15999.4, 313464, 9.29619
3476.49, 1.28589, 11784.7, 306095, 9.15255
3573.67, 1.39831, 8062.31, 302140, 8.11974
3675.61, 1.51338, 8022.07, 299594, 8.61773
3746.18, 1.61064, 8214.55, 297201, 8.19431
3793.92, 1.68766, 9105.78, 297011, 7.09372
3842.72, 1.80063, 10486.6, 294808, 8.3747
3877.22, 1.88729, 7097.58, 290635, 8.08831
3925.3, 1.99067, 9818.81, 289457, 8.89108
3960.12, 2.08138, 6766.9, 287347, 8.0446
3999.97, 2.18153, 8179.75, 286603, 8.60886
4016.94, 2.25803, 6833.02, 284236, 7.69822
4062.29, 2.35584, 7926.99, 282639, 7.96476
4070.53, 2.4328, 5567.27, 280944, 6.58124
4096.69, 2.52381, 5608.86, 279149, 6.17145
4107.59, 2.60743, 6400.69, 278525, 6.72811
4142.74, 2.70106, 6119.03, 276208, 6.5287
4139.07, 2.78217, 6965.51, 274889, 6.84765
4164.24, 2.88715, 7428.1, 274421, 7.88883
4158.57, 2.95138, 6687, 272115, 7.50618
4195.05, 3.07197, 7347.08, 271442, 8.32498
4179.12, 3.12907, 6260.66, 269316, 7.65072
4200.16, 3.24259, 6707.81, 268337, 8.14996
4184.43, 3.29973, 5367.13, 266119, 7.17658
4203.76, 3.41226, 5734.43, 265070, 7.38828
4188.31, 3.48461, 6531.24, 264903, 8.71345
4214.37, 3.6043, 6233.7, 263169, 8.44824
4192.95, 3.6694, 6682.62, 262774, 9.52105
4213.67, 3.78386, 5940.2, 260647, 8.73831
4191.19, 3.84676, 6230.93, 260157, 9.48592
4203.46, 3.95243, 5467.14, 258094, 8.3834
4188.61, 4.01899, 5288.31, 257154, 8.65028
4206.61, 4.14658, 6746.53, 257114, 10.3301
4189.72, 4.2064, 6021.26, 255716, 10.0654
4204.3, 4.32884, 7237.03, 255491, 11.4765
4186.21, 4.38566, 6124.3, 253749, 10.5699
4193.47, 4.49838, 7030.09, 253303, 11.5191
4178.89, 4.55607, 5364.09, 251017, 9.93946
4181.86, 4.66137, 5574.51, 250031, 10.1911
4169.82, 4.72051, 4284.41, 248076, 8.38238
4171.66, 4.82083, 4276.56, 246986, 8.17867
4164.2, 4.90188, 4572.15, 246417, 9.25067
4168.85, 5.00196, 4148.59, 244943, 8.45938
4160.5, 5.08073, 4390.88, 244348, 9.14771
4158.31, 5.17226, 3915.04, 242898, 7.97618
4153.03, 5.25161, 3931.33, 242107, 8.20166
4152.58, 5.36377, 4742.57, 241772, 9.74229
4147.25, 5.43832, 4217.57, 240474, 9.358
4153.34, 5.55335, 4837.79, 239985, 10.5461
4146.23, 5.62449, 4300.72, 238745, 9.63133
4144.19, 5.73101, 4678.17, 238082, 10.3432
4137.74, 5.80125, 3832.73, 236541, 8.8681
4136.47, 5.90465, 4055.18, 235798, 9.0359
4131.05, 5.99341, 4676.11, 235583, 10.7255
4133.2, 6.09914, 4390.66, 234351, 10.2287
4125.94, 6.18383, 4884.36, 234065, 11.5303
4126.08, 6.28536, 4276.68, 232549, 10.3444
