Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.67943, 3.43895e-08, 20.2773, 287314, 1.00652
59.9026, 0.000269945, 387.564, 285654, 1.74689
104.681, 0.00084023, 183.35, 284830, 1.41718
215.616, 0.00370549, 248.065, 283632, 2.06754
332.545, 0.00915582, 265.364, 282572, 1.92661
461.974, 0.018527, 419.331, 281468, 2.06182
588.809, 0.0319148, 476.578, 280494, 2.09338
699.817, 0.0484019, 622.809, 279699, 2.3308
877.55, 0.0888513, 786.322, 278206, 2.99723
816.375, 0.0830592, 614.491, 277950, 4.43626
778.074, 0.0870342, 646.115, 277597, 4.13985
806.325, 0.101612, 858.926, 277484, 2.80606
822.603, 0.111903, 708.006, 277076, 3.24582
830.761, 0.118546, 599.02, 276754, 3.10538
844.628, 0.129953, 477.037, 276287, 2.62666
854.407, 0.13676, 525.135, 276153, 2.84745
872.486, 0.148559, 563.912, 275914, 3.02737
896.581, 0.164543, 585.885, 275610, 2.87102
919.695, 0.181221, 608.396, 275327, 2.9389
940.279, 0.198062, 618.557, 275046, 3.09563
968.135, 0.224701, 628.434, 274519, 3.37414
997.916, 0.258949, 657.936, 273865, 3.66413
1029.79, 0.303374, 750.903, 273313, 3.85712
1064.58, 0.361858, 921.8, 272725, 4.24771
1119.13, 0.465067, 1199.61, 271747, 4.6927
1170.35, 0.581748, 1346.95, 270788, 4.83718
1221.65, 0.741132, 1374.9, 269696, 4.95611
1170.31, 0.726589, 1278.11, 269463, 7.68255
1151.28, 0.73862, 530.068, 268379, 4.0608
1154.86, 0.752908, 540.482, 268218, 3.93735
1180.57, 0.796827, 704.452, 268169, 4.43201
1197.34, 0.820183, 822.343, 268124, 4.36084
1220.7, 0.852589, 834.885, 267939, 3.8437
1250.14, 0.895468, 825.983, 267907, 3.72744
1277.63, 0.939266, 831.342, 267690, 4.08772
1308.04, 0.993956, 832.985, 267424, 4.43791
1294.96, 1.00557, 857.367, 267329, 7.07715
1312.71, 1.02764, 970.98, 267272, 7.14335
1326.49, 1.04633, 811.405, 267039, 7.06735
1343.69, 1.06552, 783.009, 266855, 6.22604
1351.99, 1.07443, 913.342, 794930, 8.22598
1586.85, 1.29723, 3626.21, 794711, 6.07318
1711.7, 1.43541, 5150.16, 794596, 7.58126
2011.01, 1.77728, 7861.98, 794356, 8.01286
2291.01, 2.13059, 9860.38, 794060, 8.92706
2976.98, 3.21602, 15136, 793756, 10.6821
3820.83, 5.28758, 24839.9, 792622, 16.6244
3040.79, 4.49523, 23464.4, 790454, 21.189
2902.51, 4.51093, 13432, 779655, 18.9999
2865.72, 4.57596, 7886.34, 773410, 14.9732
2894.74, 4.79137, 7959.02, 771679, 15.6258
2911.95, 4.93742, 6886.6, 769953, 14.2702
2970.48, 5.26539, 8688, 769819, 15.1595
2882.49, 5.24159, 5061.62, 765876, 12.7941
2895.25, 5.48098, 5865.13, 764728, 12.7655
2908.17, 5.6724, 6785.22, 764635, 15.1158
2967.3, 5.96884, 7905.21, 763857, 14.8746
2922.53, 6.0472, 4895.04, 760659, 11.6195
2947.07, 6.29323, 5073.74, 760428, 11.3377
3022.25, 6.58923, 5903.41, 760039, 9.263
2865.36, 6.51795, 5692.46, 759007, 11.1965
2874.33, 6.67636, 6090.55, 757573, 11.7748
2873.59, 6.83376, 5894.9, 756094, 9.93931
2867, 6.92462, 4843.85, 753983, 9.77015
2935.47, 7.21056, 5037.74, 753283, 8.3411
2933.52, 7.35792, 5118.68, 752102, 8.8747
2961.65, 7.48201, 5919.92, 752006, 5.55333
2957.09, 7.60199, 5577.7, 751308, 6.19377
2952.11, 7.78236, 5646.42, 749990, 7.17818
2988.81, 7.86056, 5938.84, 749867, 8.84805
3026.22, 7.94474, 6873.11, 6.60907e+06, 33.8514
9024.29, 15.3116, 82842.3, 6.41295e+06, 49.712
8448.29, 24.0081, 152722, 6.37596e+06, 46.2131
12905, 36.9257, 263532, 6.35039e+06, 53.7898
13195.1, 43.8744, 269576, 6.22876e+06, 68.166
16758.7, 48.1912, 269710, 6.18883e+06, 48.9806
14157.8, 50.3945, 237317, 6.11691e+06, 55.6656
13456.1, 63.3158, 278233, 6.04326e+06, 53.6125
15290.7, 67.0086, 197686, 5.88797e+06, 54.7045
12904.8, 76.0022, 197193, 5.82486e+06, 63.2907
18909.4, 78.4663, 220678, 5.80981e+06, 65.4387
38410.2, 80.7956, 239226, 5.79245e+06, 116.967
16001.4, 92.9384, 255116, 5.78457e+06, 65.1217
30850.8, 95.0113, 240651, 5.74832e+06, 70.307
16669.2, 114.912, 232612, 5.68936e+06, 53.0187
14590.6, 115.617, 216192, 5.59e+06, 61.2582
47451.8, 116.184, 189733, 5.52342e+06, 110.565
15064.4, 127.706, 211751, 5.51527e+06, 77.8513
15350.5, 133.57, 225740, 5.51068e+06, 54.8091
14145.7, 127.66, 207124, 5.42268e+06, 55.1358
12783.5, 124.136, 173284, 5.35257e+06, 56.0717
13128, 132.171, 211820, 5.30688e+06, 64.3108
12561.7, 145.106, 176366, 5.21188e+06, 64.9291
13385.5, 155.957, 232753, 5.18667e+06, 48.7499
13437.4, 157.665, 189874, 5.13258e+06, 53.8504
13245.5, 176.717, 227899, 5.08006e+06, 51.342
13387.3, 185.173, 284307, 5.05901e+06, 64.5589
16020.1, 202.29, 335789, 5.01118e+06, 69.1481
14415.1, 207.197, 319293, 4.99172e+06, 79.09
14074.3, 213.424, 250759, 4.81846e+06, 77.2494
12747.9, 212.126, 152970, 4.7112e+06, 58.2231
13382.5, 225.358, 187651, 4.66567e+06, 57.7861
12866, 236.049, 211715, 4.63952e+06, 62.0969
13127.6, 257.057, 211341, 4.59832e+06, 63.6629
12952.3, 255.794, 180464, 4.53479e+06, 50.8813
18964.6, 259.311, 184330, 4.47904e+06, 62.3489
18919.1, 284.514, 242177, 4.47791e+06, 68.3471
15409.4, 283.455, 222739, 4.46183e+06, 56.1635
13710.8, 297.777, 228347, 4.45738e+06, 44.8734
12301.4, 295.803, 194435, 4.39051e+06, 49.6892
14181.3, 320.572, 244508, 4.30884e+06, 66.6235
14370.2, 329.951, 238260, 4.28583e+06, 48.525
12691.1, 320.519, 205389, 4.27301e+06, 54.0901
12129.9, 330.561, 206067, 4.18789e+06, 56.2006
12975.5, 341.797, 197789, 4.1362e+06, 62.9182
11048, 355.4, 183883, 4.04197e+06, 62.654
11304.3, 382.515, 219574, 3.9843e+06, 73.2083
10887.2, 384.572, 192820, 3.92989e+06, 73.8503
12275.4, 395.721, 207928, 3.87919e+06, 66.2765
10466.5, 403.002, 174237, 3.83306e+06, 66.7541
10296.4, 410.539, 214836, 3.78852e+06, 72.7273
10398.9, 430.098, 233113, 3.78136e+06, 92.5676
19561.7, 438.553, 210739, 3.70501e+06, 59.8932
11482.7, 482.719, 170536, 3.67889e+06, 49.8
12828.6, 491.049, 248701, 3.66021e+06, 65.4041
12248, 480.057, 227955, 3.6115e+06, 71.3499
13183.9, 494.394, 253203, 3.56674e+06, 88.9824
10341.7, 501.182, 242656, 3.51924e+06, 93.7954
10277.4, 514.472, 200001, 3.4104e+06, 90.7318
9960.22, 523.247, 160152, 3.34065e+06, 72.8571
10651, 535.539, 170609, 3.30712e+06, 76.3348
11012.1, 548.527, 160205, 3.2696e+06, 38.5818
10783, 555.174, 179628, 3.24469e+06, 44.4425
9723.76, 556.174, 159787, 3.20516e+06, 51.5381
11080.9, 583.619, 253165, 3.20187e+06, 69.9924
10660.3, 596.836, 216409, 3.16636e+06, 79.4221
8905.78, 598.127, 178447, 3.10064e+06, 81.7607
10116.2, 636.215, 251677, 3.09687e+06, 106.309
10270.7, 637.882, 283319, 3.08347e+06, 109.809
8932.42, 636.956, 170613, 2.9745e+06, 92.5516
9922.35, 665.561, 166886, 2.90993e+06, 68.7664
9600.73, 673.754, 148549, 2.86919e+06, 62.9277
9769.04, 697.483, 157456, 2.82719e+06, 50.5196
9972.18, 705.394, 176093, 2.8127e+06, 57.3118
9111.44, 702.958, 135607, 2.76483e+06, 56.8846
9714.5, 734.504, 149963, 2.7238e+06, 54.1577
12357.7, 729.181, 145656, 2.72271e+06, 38.5575
9388.59, 746.064, 160012, 2.6837e+06, 43.7666
10777.9, 760.827, 203569, 2.68008e+06, 51.1781
10618.4, 758.024, 187945, 2.64048e+06, 58.4036
8350.36, 760.418, 121342, 2.54939e+06, 41.3297
8376.85, 762.385, 125235, 2.54931e+06, 36.6369
8739.18, 768.251, 128741, 2.54492e+06, 32.9625
8866.66, 791.344, 156991, 2.54112e+06, 51.1751
14552.5, 787.941, 165729, 2.52748e+06, 50.6973
24722.8, 792.795, 144928, 2.50962e+06, 85.4078
9220.07, 813.293, 145234, 2.49745e+06, 43.3274
10557.8, 825.638, 165004, 2.49714e+06, 36.7303
9174.14, 835.544, 164617, 2.47154e+06, 41.6999
8804.38, 841.832, 193022, 2.46283e+06, 52.898
8785.98, 850.401, 215712, 2.44565e+06, 62.045
36077.2, 862.147, 180730, 2.40231e+06, 110.336
11454.7, 893.681, 186950, 2.3811e+06, 63.4983
10602.1, 886.445, 187686, 2.36136e+06, 51.582
9603.36, 915.843, 211998, 2.35212e+06, 44.8847
9549.58, 915.212, 198476, 2.34575e+06, 43.6931
10127, 929.946, 216038, 2.33917e+06, 46.4688
13512.7, 929.19, 222943, 2.304e+06, 49.1339
9762.52, 950.791, 214085, 2.26582e+06, 50.8715
9275.29, 973.915, 223543, 2.23556e+06, 52.1411
10916.2, 980.437, 228658, 2.23318e+06, 40.1948
8781.17, 957.044, 171707, 2.1893e+06, 40.9691
8150.47, 958.465, 198415, 2.17454e+06, 51.4468
8429.29, 986.431, 201945, 2.15408e+06, 37.6238
8280.79, 983.775, 159849, 2.11577e+06, 40.6634
8733.93, 1018.02, 210411, 2.08885e+06, 47.123
7729.31, 985.278, 194818, 2.05788e+06, 45.9593
6935.87, 985.174, 153158, 2.01837e+06, 50.4951
8521.78, 1020.4, 190063, 1.99655e+06, 44.9309
9452.29, 1023.42, 180536, 1.9727e+06, 52.0016
8028.74, 1035.93, 169049, 1.96315e+06, 39.7593
8494.52, 1023.17, 161435, 1.93368e+06, 37.1838
8361.19, 1047.94, 165622, 1.89886e+06, 39.5673
8971.88, 1057.92, 180243, 1.88362e+06, 39.933
7700.61, 1065.35, 146381, 1.85607e+06, 33.5037
7890.63, 1079.96, 168587, 1.84361e+06, 38.5136
7876.82, 1075.25, 178570, 1.84353e+06, 46.1749
6558.23, 1067.64, 165630, 1.80091e+06, 49.366
6743.87, 1083.59, 149142, 1.76496e+06, 46.9179
6270.48, 1080.22, 146396, 1.7625e+06, 52.8468
6376.94, 1087.54, 152689, 1.72356e+06, 52.8893
7542.97, 1099.52, 144049, 1.71528e+06, 35.5414
6898.36, 1100.61, 136800, 1.69039e+06, 37.9699
6939.3, 1114.35, 141628, 1.67869e+06, 34.1908
6502.57, 1109.43, 136188, 1.673e+06, 39.7758
7143.66, 1118.44, 152695, 1.65363e+06, 41.2867
6058.92, 1113.68, 145156, 1.63463e+06, 47.8358
6382.88, 1123.24, 156157, 1.62994e+06, 48.5774
6215.98, 1121.74, 149740, 1.62092e+06, 54.0167
5783.73, 1121.87, 118224, 1.57874e+06, 37.2849
5915.36, 1125.58, 105726, 1.55661e+06, 28.7024
6732.03, 1140.82, 132153, 1.54663e+06, 29.0372
6920.71, 1151.11, 140551, 1.54362e+06, 27.5078
6759.18, 1149.88, 128584, 1.54226e+06, 28.0546
6559.59, 1161.23, 131571, 1.5362e+06, 30.4338
6881.73, 1171.32, 151518, 1.53509e+06, 26.2052
7339.23, 1181.39, 160467, 1.5299e+06, 32.7728
6399.11, 1172.46, 123245, 1.51331e+06, 25.8942
6336.41, 1173.03, 139557, 1.49695e+06, 30.512
5905.27, 1174, 132081, 1.49525e+06, 32.7855
5568.49, 1172.74, 145771, 1.48967e+06, 40.4363
5787.99, 1181.05, 154250, 1.47242e+06, 46.0347
8540.25, 1188.33, 145383, 1.44058e+06, 36.3183
5851.78, 1188.61, 129405, 1.4381e+06, 32.1796
6106.53, 1202.04, 128714, 1.42428e+06, 32.3104
5999.3, 1205.03, 132397, 1.4112e+06, 35.7626
5291.77, 1198.18, 116954, 1.3934e+06, 33.6533
5394.72, 1201.01, 112965, 1.37306e+06, 27.9612
5753.76, 1218.14, 149425, 1.36952e+06, 38.6137
5350.64, 1214.59, 120981, 1.3579e+06, 36.1398
5174.34, 1218.79, 116840, 1.34761e+06, 40.2666
5320.81, 1222.96, 117121, 1.33593e+06, 39.4756
5350.99, 1226.78, 130685, 1.31755e+06, 44.3141
5097.91, 1221.9, 100288, 1.29824e+06, 29.1476
5109.77, 1222.95, 109426, 1.28536e+06, 31.9824
4943.06, 1223.69, 90224.9, 1.27088e+06, 24.1833
5435.64, 1241.54, 109307, 1.26973e+06, 26.5723
5008.98, 1234.14, 93211.8, 1.26691e+06, 25.3254
4979.91, 1232.37, 127945, 1.26511e+06, 32.6596
5135.03, 1234.84, 106818, 1.25462e+06, 28.6645
4761.4, 1236.22, 95446.4, 1.24038e+06, 27.4404
4748.6, 1236.73, 100862, 1.22983e+06, 31.1875
5892.77, 1259.41, 126303, 1.22454e+06, 30.3006
4887.26, 1246.55, 85306.1, 1.21914e+06, 19.4653
4887.75, 1246.76, 108383, 1.21683e+06, 26.9803
4661.71, 1244.7, 99732.3, 1.21423e+06, 26.6011
4744.45, 1247.61, 127084, 1.20898e+06, 36.6315
5032.86, 1260.29, 115520, 1.19538e+06, 34.0742
4640.34, 1250.64, 106805, 1.1852e+06, 36.7857
4965.97, 1259.85, 99765.1, 1.17105e+06, 26.2544
4777.82, 1270.2, 105751, 1.16372e+06, 28.2981
4654, 1261.81, 99078.2, 1.16025e+06, 26.3176
5551.66, 1267.94, 106535, 1.14856e+06, 29.5529
4967.63, 1274.11, 109228, 1.14144e+06, 21.8505
4532.11, 1264.22, 90243.1, 1.13566e+06, 22.317
4522.13, 1268.97, 93281.2, 1.13565e+06, 24.8442
4815.4, 1286.54, 105349, 1.11951e+06, 20.7707
4711.53, 1275.88, 97580.2, 1.11046e+06, 18.5418
4518.13, 1272, 87257.5, 1.10873e+06, 18.8118
4583.34, 1276.91, 87131.2, 1.10559e+06, 20.2706
4472.68, 1277.4, 84440.5, 1.08635e+06, 15.9842
4440.93, 1278.02, 80593.6, 1.08504e+06, 17.0222
4651.83, 1289.51, 101772, 1.07909e+06, 18.3814
4378.86, 1284.31, 78598.4, 1.07636e+06, 17.6309
4373.18, 1284.32, 78551.7, 1.07452e+06, 16.6819
4372.86, 1284.32, 78547.2, 1.07443e+06, 16.5507
4372.81, 1284.32, 78546.3, 1.07441e+06, 16.5338
4372.8, 1284.32, 78546.2, 1.07441e+06, 16.5323
4372.8, 1284.32, 78546.2, 1.07441e+06, 16.532
4372.79, 1284.32, 0.000474134, 1.00573e+06, 11.9329
4374.13, 1284.39, 0.178944, 1.00562e+06, 11.851
4395.79, 1285.57, 44.1588, 994033, 11.0799
4782.78, 1305.38, 7461.44, 975469, 11.5913
7020.06, 1391.65, 55283.1, 971582, 19.4613
6695.65, 1413.3, 47121.7, 961377, 20.5745
6604.44, 1434.82, 44296.1, 942193, 26.387
7256.36, 1464.33, 67601.2, 935361, 28.668
6977.7, 1478.42, 39940.7, 919095, 27.2089
7106.24, 1499.58, 53142.5, 910960, 31.2118
7475.09, 1528.8, 48480.3, 894272, 30.6768
7169.98, 1539.42, 35826, 872530, 25.1006
7066.08, 1544.13, 35202.7, 862135, 24.4135
7085.24, 1559, 22848.9, 858169, 19.7241
7004.24, 1572.8, 25543.2, 849502, 24.5297
7329.46, 1595.01, 39658.4, 844689, 25.7958
7252.77, 1608.95, 28514.4, 832301, 22.8611
7047, 1618.74, 30233, 826963, 23.4002
7169.13, 1634.88, 22638.5, 822911, 20.3726
7058.47, 1644.03, 24805.8, 812495, 20.4411
7119.79, 1657.87, 31991.2, 811512, 23.3001
7058.5, 1668.11, 29503.5, 803417, 22.3477
7208.19, 1680.81, 34775.3, 800681, 24.4402
7022.93, 1690.44, 25968.1, 793921, 21.8213
6934.23, 1698.29, 27358.9, 789030, 22.6419
6927.35, 1708.1, 23860.9, 779421, 19.8207
6941.77, 1716.32, 26095.7, 777030, 20.5431
7104.2, 1726.37, 26116.4, 769175, 17.819
6848.55, 1732.73, 22053.8, 767884, 17.8089
6815.48, 1743.51, 24880.5, 762765, 19.3317
6810.83, 1750, 21901.8, 756197, 17.925
7017.48, 1762.35, 30227.5, 755315, 19.5165
6703.24, 1766.5, 20920.3, 749561, 17.4683
6705.28, 1776.04, 23647.6, 744601, 17.8239
6753.95, 1781.02, 21551.1, 741270, 15.7399
6630.62, 1790.62, 19117, 735383, 15.5208
6563.55, 1796.57, 21231.3, 732869, 17.1234
6633.49, 1806.5, 22170.9, 728097, 16.5328
6583.59, 1810.76, 17409.5, 723271, 13.5938
6538.22, 1821.54, 22891.2, 722098, 16.2789
6484.96, 1825.98, 20902, 718555, 16.6944
6516.86, 1837.16, 26768.5, 717669, 18.4513
6451.98, 1840.97, 21216.4, 711813, 17.0284
6464.38, 1851.26, 24412.5, 708075, 17.9689
6430.93, 1855.27, 19104.9, 701853, 15.9081
6420.59, 1864.63, 22322.8, 699175, 16.4118
6387.05, 1868.7, 17114.2, 692870, 14.2942
6375.56, 1877.24, 19673.6, 689730, 14.4384
6368.82, 1881.4, 15262.6, 684768, 12.4312
6316.28, 1889.28, 16784.9, 680873, 12.228
6333.11, 1893.41, 13513.6, 676433, 10.6949
