Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
5.69045, 1.34139e-07, 50.4225, 1.00793e+06, 2.3677
1327.62, 0.165802, 11317.3, 1.00383e+06, 13.444
1169.03, 0.121577, 8818.1, 999606, 17.9559
1466.98, 0.181179, 7058.48, 997234, 10.8193
1504.34, 0.209656, 7633.52, 996977, 13.0845
1298.41, 0.254894, 9517.99, 994994, 20.4694
1602.93, 0.410214, 8985.62, 992409, 14.6168
1719.38, 0.541973, 10481.9, 991905, 19.0437
1528.71, 0.643635, 12234.4, 990592, 21.0562
1683.2, 0.979379, 13330.6, 988537, 24.24
1963.61, 1.49248, 13548.7, 985400, 21.9746
1853.93, 1.89491, 14275.6, 981154, 28.5419
1948.43, 2.95167, 18038.5, 978760, 34.1422
1767.97, 2.80209, 14522.9, 974987, 36.8801
1714.19, 2.75548, 8998.35, 968882, 28.9316
1668.42, 2.73691, 9190.03, 968857, 30.3939
1636.08, 2.72099, 6730.23, 966030, 25.6152
1609.68, 2.71475, 3227.71, 962369, 16.6731
1585.15, 2.70998, 2494.4, 961173, 13.6882
1561.81, 2.70853, 2287.78, 960982, 13.6416
1544.89, 2.71199, 1792.89, 960327, 10.7334
1527.73, 2.71764, 1596.1, 959708, 10.2333
1511.64, 2.72727, 1836.57, 959376, 11.5201
1498.67, 2.73702, 1537.63, 958874, 10.3942
1486.37, 2.75025, 1706.13, 958700, 11.1687
1476.27, 2.76293, 1378.39, 958400, 9.54516
1466.48, 2.77883, 1449.83, 958148, 9.71563
1456.38, 2.79709, 1620.58, 957847, 11.718
1448.35, 2.81402, 1630.04, 957530, 11.3263
1441.53, 2.82954, 1221.49, 956929, 8.56782
1434.66, 2.84745, 1206.17, 956617, 7.86496
1427.51, 2.86798, 1220.08, 956604, 8.52558
1420.55, 2.892, 1549.01, 956579, 10.8349
1413.82, 2.91156, 1565.66, 956362, 11.2228
1407.73, 2.93389, 1999.45, 956238, 13.6898
1401.19, 2.95248, 1827.28, 955836, 13.284
1396.57, 2.97693, 2253.82, 955814, 15.3976
1391.7, 2.99767, 1916.26, 955246, 14.035
1387.78, 3.02274, 2195.22, 955193, 15.3181
1383.94, 3.04481, 1748.27, 954755, 13.0928
1380.62, 3.07081, 1862.22, 954553, 13.4515
1376.81, 3.09949, 2339.95, 954539, 16.4288
1374.29, 3.12539, 2265.52, 954150, 15.8793
1371.56, 3.1484, 1549.65, 953221, 11.819
1369.27, 3.17513, 1471.46, 952853, 10.7762
1367.18, 3.19913, 1125.25, 952521, 7.66919
1365.08, 3.23371, 1412.9, 952474, 9.65824
1362.48, 3.26272, 1434.59, 952013, 9.93385
1360.98, 3.28935, 1227.29, 951536, 8.0453
1359.26, 3.3196, 1209.53, 951257, 7.8158
1358.18, 3.35258, 1319.39, 951071, 8.30734
1356.3, 3.38808, 1609.27, 951062, 10.3098
1355.69, 3.42097, 1612.61, 950771, 10.3249
1354.55, 3.44977, 1266.45, 950421, 8.14364
1353.89, 3.49156, 1773.55, 950358, 11.0904
1353.01, 3.52732, 1975.82, 950273, 12.3662
1352.77, 3.56018, 1696.86, 949513, 10.9176
1352.36, 3.59639, 1779.47, 949313, 11.4973
1352.23, 3.62904, 1478.92, 948966, 9.53899
1351.93, 3.66584, 1479.52, 948926, 9.50101
1352.1, 3.70745, 1791.57, 948924, 11.1004
1351.77, 3.74324, 1637.67, 948280, 10.3807
1352.01, 3.78371, 1872.71, 948002, 11.5143
1352.21, 3.81956, 1598.79, 947467, 10.1035
1352.37, 3.85163, 1194.14, 946821, 6.93185
1352.72, 3.88802, 1114.37, 946712, 5.92192
1353.43, 3.92906, 1179.73, 946494, 5.9089
1353.63, 3.97312, 1332.94, 946350, 6.77949
1354.85, 4.02312, 1776, 946250, 9.01143
1355.5, 4.06661, 1908.47, 946081, 9.88247
1356.42, 4.10593, 1624.4, 945531, 8.63723
1357.39, 4.15004, 1679.6, 945300, 8.95669
1358.36, 4.1892, 1426.32, 945016, 7.42405
1359.45, 4.23363, 1431.93, 944740, 7.30017
1361.02, 4.28284, 1676.84, 944264, 8.38473
1362.45, 4.32634, 1556.83, 944101, 7.7972
1364.1, 4.37509, 1736, 943751, 8.47723
1366.2, 4.41899, 1553.01, 943294, 7.4187
1368.76, 4.46807, 1675.66, 943130, 7.68547
