Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.629594, 3.25272e-08, 44.6281, 687532, 2.43439
53.603, 0.000231383, 942.079, 685476, 3.99367
179.065, 0.00262156, 670.872, 683044, 4.5018
512.28, 0.0223486, 813.156, 679763, 4.60451
873.953, 0.0672509, 1289.47, 676872, 4.87662
1253.99, 0.145982, 1618.95, 673944, 5.36343
1588.19, 0.251515, 1910.57, 670578, 5.87251
1847.88, 0.371312, 2158.35, 667924, 6.26945
2020.66, 0.490972, 2252.02, 665457, 6.62937
1881.83, 0.457504, 1970.5, 664973, 9.5737
1865.4, 0.466762, 1793.85, 664645, 6.38819
1875.71, 0.49697, 2303.82, 664625, 7.90622
1866.42, 0.504228, 2056.27, 664190, 10.8111
1987.15, 0.602614, 2896.33, 663409, 9.61025
2238.96, 0.791236, 3214.83, 662846, 7.47901
2395.53, 1.02211, 4560.72, 661861, 12.6742
2344.77, 1.26771, 6292.46, 660837, 18.2726
2312.03, 1.70293, 8605.67, 659948, 24.6665
2382.54, 2.37643, 9821.29, 657678, 28.3923
2380.34, 3.23428, 10765.9, 654012, 31.9397
2298.98, 3.14944, 10181.4, 652944, 35.5084
2265.99, 3.13417, 9037.12, 651707, 34.5117
2245.44, 3.13095, 5486.47, 647816, 26.2872
2233.46, 3.14563, 4746.27, 646860, 24.7873
2215.95, 3.14062, 2879.98, 644608, 18.0255
2221.03, 3.18769, 2398.3, 643888, 16.0845
2211.5, 3.20637, 2532.87, 643685, 17.2043
2195.5, 3.20964, 1885.69, 642811, 14.4084
2180.9, 3.21254, 1890.56, 642377, 14.6467
2170.71, 3.22127, 1360.8, 641709, 11.5837
2160.8, 3.22886, 1299.68, 641344, 11.0706
2154.44, 3.24866, 1432.95, 641213, 12.5523
2149.76, 3.26514, 1293.82, 640795, 11.2896
2147.5, 3.29214, 1349.3, 640600, 12.1107
2144.65, 3.31137, 1163.8, 640149, 10.2391
2144.88, 3.34263, 1167.82, 639906, 10.3908
2141.76, 3.35931, 1154.42, 639649, 8.50241
2142.83, 3.3906, 1137.36, 639332, 8.2141
2136.94, 3.40848, 1093.28, 639065, 9.17913
2134.41, 3.43067, 893.35, 638768, 8.24861
2132.15, 3.45541, 1000.72, 638564, 8.77391
2134, 3.49468, 1159.72, 638356, 10.9414
2131.91, 3.51813, 1262.61, 638159, 11.0871
2149.4, 3.58739, 1159.92, 637836, 8.7145
2153.02, 3.63413, 1364.09, 637699, 12.1786
2157.38, 3.6537, 1513.18, 637671, 3.11296
2146.9, 3.69248, 1747.56, 637539, 4.97602
2134.94, 3.70766, 2182.61, 637520, 7.0347
2138.21, 3.75475, 2416.01, 637358, 8.49615
2124.39, 3.75875, 1606.42, 636476, 8.21978
2121.12, 3.79603, 1892.46, 636469, 10.8988
2115.56, 3.80901, 1128.3, 635680, 7.89922
2122.57, 3.86216, 1395.59, 635591, 10.0011
2115.41, 3.88413, 1238.98, 635065, 10.2846
2109.94, 3.9077, 995.97, 634652, 8.46611
2105.16, 3.94054, 1481.12, 634648, 11.9644
2108.84, 3.98732, 1705.69, 634592, 13.8759
2107.05, 4.01713, 1573.16, 634120, 13.0236
2111.19, 4.05726, 1273.89, 633502, 9.37819
2104.5, 4.07836, 850.901, 633204, 7.9407
2095.83, 4.10734, 1102.02, 633186, 11.3751
2094, 4.13681, 908.596, 632748, 9.13048
2094.59, 4.18473, 1261.31, 632517, 12.9169
2094.23, 4.21635, 1001.6, 632142, 9.81316
2096.67, 4.26073, 1068.02, 632075, 9.01248
2101.26, 4.32572, 1567.75, 632034, 14.0275
2108.01, 4.37816, 1313.5, 631507, 11.9548
2108.41, 4.42436, 1164.17, 631199, 12.0901
2103.01, 4.46257, 1349.08, 630938, 14.5623
2098.83, 4.49746, 1267.63, 630482, 14.0439
2094.42, 4.52612, 934.24, 630003, 10.4891
2091.12, 4.56044, 874.008, 629745, 9.56357
2088.73, 4.6021, 916.435, 629501, 10.2773
2086.73, 4.63751, 828.166, 629291, 8.7525
2086.55, 4.69167, 1132.48, 629268, 12.7379
2086.16, 4.72877, 983.876, 628908, 10.2237
2089.44, 4.77718, 1086.59, 628727, 9.84028
2089.29, 4.83668, 1457.91, 628700, 15.7622
2084.79, 4.87203, 1217.42, 628192, 13.9805
2080.69, 4.91214, 1292.59, 628004, 14.9248
2077.07, 4.94693, 1071.08, 627542, 12.5371
2074.05, 4.9863, 1093.19, 627376, 12.6444
2072.28, 5.03276, 1287.64, 627284, 15.007
2072.51, 5.0776, 1252.32, 626910, 14.2271
2073.15, 5.11802, 981.394, 626562, 10.4168
2074.57, 5.16308, 990.061, 626439, 9.46376
2081.45, 5.19468, 1090.58, 626384, 2.63942
2089.58, 5.31632, 1379.26, 625960, 3.96165
2082.1, 5.36315, 1180.49, 625510, 5.08379
2085.62, 5.43809, 1371.66, 625483, 5.65357
2071.04, 5.46776, 1539.19, 625162, 7.11889
2078.39, 5.54537, 1269.38, 624572, 7.51048
2071.57, 5.5904, 1404.44, 624538, 9.42727
2073.41, 5.65594, 1450.18, 624417, 9.83074
2083.58, 5.72047, 1408.45, 623993, 8.17961
2070.97, 5.77285, 1505.74, 623783, 11.4361
2059.27, 5.79213, 1089.77, 623184, 8.7414
2052.22, 5.83991, 1357.91, 623138, 11.6666
2057.97, 5.90803, 1484.38, 623138, 12.7837
2053.22, 5.94583, 1240.9, 622658, 11.0618
2056.4, 6.0004, 1121.33, 1.85984e+06, 14.1787
2423.46, 6.8124, 8650.15, 1.85807e+06, 25.3377
2739.3, 7.55058, 8465.32, 1.85438e+06, 21.1138
2952.49, 8.22263, 13289.6, 1.8528e+06, 27.3691
3156.99, 8.87703, 14839, 1.85049e+06, 41.0318
3360.4, 9.52349, 19055.3, 1.84913e+06, 52.5079
3608.27, 10.1992, 20508.8, 1.84677e+06, 54.2551
3706.85, 10.7428, 23326.3, 1.84506e+06, 66.696
3912.64, 11.5579, 21220.4, 1.84031e+06, 64.6835
3901.45, 11.8208, 24922, 1.83951e+06, 74.7237
3954.28, 12.2224, 19908.8, 1.83274e+06, 67.9792
3990.23, 12.513, 11944.7, 1.82254e+06, 47.2615
4063.92, 12.9504, 10074.2, 1.8179e+06, 41.9991
4186.61, 13.3934, 9897.51, 1.81491e+06, 17.2133
4237.17, 14.0618, 11871.6, 1.81345e+06, 27.373
4305.98, 14.5741, 9824.07, 1.80877e+06, 26.723
4407.73, 15.2551, 10144.6, 1.8054e+06, 31.1856
4383.09, 15.4483, 11124.3, 1.80403e+06, 28.9429
4395.02, 15.7506, 9493.58, 1.79976e+06, 30.7821
4460.02, 16.3248, 11265.9, 1.79829e+06, 38.7373
4487.17, 16.6785, 11211.3, 1.79597e+06, 26.0686
4526.08, 17.1645, 12141.1, 1.79351e+06, 31.127
4549.79, 17.5983, 9527.12, 1.78946e+06, 30.3375
4638.93, 18.2755, 9846.79, 1.78783e+06, 24.1866
4677.49, 18.7743, 10177.9, 1.78607e+06, 23.0342
4673.52, 19.2588, 13956.8, 1.78524e+06, 33.6952
4685.62, 19.7096, 12810.4, 1.78298e+06, 41.4998
4728.94, 20.2339, 14021.8, 1.78036e+06, 41.4836
4763.2, 20.7185, 15159.9, 1.78e+06, 49.4679
4799.18, 21.2872, 14856, 1.77631e+06, 47.3783
4772.87, 21.6429, 16588.1, 1.77579e+06, 53.7171
4791.81, 22.1658, 14426.8, 1.77119e+06, 47.9963
4738.26, 22.3647, 14397.5, 1.769e+06, 51.8026
4962.93, 23.6951, 15766.5, 1.76782e+06, 44.7294
4774.87, 23.3546, 14253.7, 1.76386e+06, 44.7782
4788.86, 23.8793, 15744.2, 1.76353e+06, 53.2895
4790.02, 24.3282, 15678.2, 1.76129e+06, 50.8323
4834.7, 24.7912, 11909.7, 1.75594e+06, 38.7058
5034.51, 25.9399, 12823.7, 1.75403e+06, 23.8291
4895.11, 25.9444, 12260.2, 1.75052e+06, 26.1804
4870.8, 26.4935, 13948.7, 1.75019e+06, 32.6542
4788.3, 26.5265, 12849.7, 1.74701e+06, 32.6524
4857.87, 27.2666, 14918.4, 1.7468e+06, 37.8881
4780.99, 27.3517, 12208.4, 1.74226e+06, 35.659
4786.46, 27.7093, 10216.8, 1.73835e+06, 26.6825
4785.27, 28.0466, 9535.38, 1.73581e+06, 24.711
4790.12, 28.4482, 11850.1, 1.7351e+06, 27.0729
4803.37, 28.8406, 10830.7, 1.73225e+06, 24.2581
4829.87, 29.2827, 13984.2, 1.73208e+06, 26.8042
4898.98, 29.7577, 13168.3, 1.73003e+06, 11.7861
4912.63, 30.212, 12472.6, 1.72815e+06, 16.6827
4959.92, 30.4542, 13265.1, 1.72812e+06, 11.8616
4994.22, 30.9879, 13662.1, 1.72559e+06, 12.9414
5091.06, 31.6373, 13708.6, 1.72417e+06, 10.7678
5039.55, 32.323, 13077.7, 1.72216e+06, 12.6968
4970.93, 32.9507, 15202.7, 1.72032e+06, 16.5131
4903.99, 33.2247, 15977, 1.71907e+06, 20.7015
5142.96, 34.6434, 15004.4, 1.71682e+06, 11.2462
4764.03, 33.6389, 13805, 1.71281e+06, 13.3035
4791.5, 34.2571, 11749.3, 1.70908e+06, 13.424
4669.18, 34.2019, 10154.1, 1.70754e+06, 14.6452
4645.03, 34.4162, 9828.99, 1.70496e+06, 15.2034
4671.37, 34.9117, 12574.8, 1.70487e+06, 13.7517
4829.55, 36.4017, 15254.1, 1.70465e+06, 17.6846
4753.24, 36.5528, 18866.8, 1.70395e+06, 21.3688
4775.81, 36.7429, 18453.6, 1.70358e+06, 14.9761
4798.67, 37.5015, 18810.4, 1.70021e+06, 19.8927
4817.92, 37.9233, 19198, 1.69764e+06, 21.9596
4759.2, 38.2367, 13048.6, 1.69083e+06, 20.1344
4769.11, 38.9099, 14114.3, 1.68859e+06, 21.4369
4752.55, 39.4083, 11834.3, 1.6865e+06, 19.2322
4713.83, 39.7871, 11151.4, 1.68362e+06, 19.3187
4700.51, 40.19, 9724.28, 1.68019e+06, 16.7131
4703.77, 40.6954, 10218.2, 1.6779e+06, 17.0926
4705.13, 41.1428, 9281.82, 1.67632e+06, 15.7084
4767.4, 41.9013, 9960.8, 1.67502e+06, 10.5712
4779.37, 42.2329, 10658.9, 1.67441e+06, 9.20766
4756.17, 42.8283, 10289.5, 1.67331e+06, 11.528
4803.17, 43.3623, 13094.9, 1.67327e+06, 11.2056
4994.64, 45.3865, 17222.9, 1.67302e+06, 16.8447
5077.86, 46.2236, 17512.6, 1.67172e+06, 12.1056
4844.13, 46.0791, 16888.5, 1.67089e+06, 15.9259
5011.61, 47.1795, 17398.5, 1.66875e+06, 11.7258
4842.47, 47.9725, 20661.4, 1.66657e+06, 16.9961
4876.91, 48.5189, 17932, 1.66434e+06, 13.1818
5021.94, 50.1694, 21168.6, 1.66395e+06, 17.3359
5124.61, 51.8336, 19252.4, 1.6618e+06, 14.0066
4992.24, 52.5248, 19448.2, 1.65989e+06, 18.3339
5063.64, 53.2066, 22637.2, 1.65979e+06, 16.5257
4831.07, 53.396, 18695.9, 1.65199e+06, 19.1983
4754.39, 53.6709, 15255.9, 1.64648e+06, 20.3436
4949.65, 55.7022, 14945.2, 1.64336e+06, 17.818
4769.58, 55.6181, 11366.5, 1.63785e+06, 17.6842
4848.31, 57.0592, 10030.6, 1.63712e+06, 11.7315
4724.73, 56.8632, 10078.5, 1.63523e+06, 13.8314
4741.61, 57.9137, 13036.6, 1.6342e+06, 19.3497
4752.27, 58.7293, 15677.3, 1.6336e+06, 23.9412
4773.78, 59.8625, 16617.4, 1.63115e+06, 24.7911
4777.62, 60.3025, 13018, 1.62632e+06, 21.7491
4797.88, 60.8442, 13634.7, 1.62445e+06, 15.78
4756.34, 61.4755, 11194.3, 4.83184e+06, 34.588
5954.51, 69.6508, 53575.4, 4.82073e+06, 35.3605
7621.84, 80.822, 87999.2, 4.80451e+06, 51.0393
8827.87, 92.8952, 97507.2, 4.76321e+06, 53.7182
9056.26, 98.1325, 95249.9, 4.73196e+06, 62.6263
9639.7, 114.601, 125113, 4.72355e+06, 64.313
9324.94, 113.605, 91379.1, 4.6792e+06, 52.6871
10147.9, 121.576, 102220, 4.65819e+06, 65.8791
9263.8, 122.655, 91280.4, 4.62068e+06, 68.8875
