Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
1.26202, 1.40353e-07, 50.2308, 1.00792e+06, 2.36967
1311.76, 0.167251, 11271.1, 1.00371e+06, 13.3973
1154.96, 0.123477, 8695.09, 999412, 17.7923
1448.31, 0.182755, 6920.18, 997011, 10.7761
1489.35, 0.212285, 7559.55, 996820, 12.9791
1279.85, 0.258138, 9471.5, 994861, 20.4114
1671.22, 0.469218, 11831.5, 994669, 17.1701
1743.26, 0.647968, 13887.6, 993598, 22.4911
1727.41, 0.996143, 17858.1, 993488, 30.1526
2293.95, 1.88694, 20222.9, 991761, 26.8195
2010.05, 2.61181, 25797.9, 989320, 41.1134
2429.35, 4.03353, 23211.3, 981581, 35.0565
2105.83, 5.19953, 21653.7, 973882, 40.3602
1921.72, 4.94203, 15308.9, 967263, 39.3746
1853.77, 4.88894, 14780.5, 966529, 41.938
1799.32, 4.80523, 12539.1, 963944, 39.7034
1766.71, 4.79222, 7880.21, 959044, 30.9095
1728.63, 4.74722, 7491.42, 958533, 30.7121
1702.43, 4.73701, 5061.24, 955882, 24.1638
1674.23, 4.71324, 4831.82, 955326, 23.6511
1653.65, 4.70815, 3276.54, 953566, 18.111
1631.93, 4.69779, 3022.57, 953001, 17.0696
1615.76, 4.69796, 2117.22, 951891, 12.5213
1598.92, 4.69688, 1925.31, 951409, 11.2764
1583.3, 4.70301, 2010.01, 951235, 12.1414
1570.33, 4.70806, 1764.97, 950709, 10.3581
1558.15, 4.71898, 1767.62, 950681, 10.61
1545.29, 4.73052, 2093.92, 950668, 12.765
1535.58, 4.74495, 2003.27, 950337, 12.3603
1524.53, 4.75743, 2335.52, 950131, 14.2228
1516.74, 4.7736, 2116.08, 949673, 13.0099
1509.11, 4.78539, 1726.22, 949012, 9.3417
1507.36, 4.80922, 1745.89, 948807, 5.43135
1500.69, 4.83346, 1595.28, 948533, 7.47772
1493.82, 4.86002, 1625.16, 948271, 8.88735
1486.61, 4.88624, 2195.56, 948261, 12.4523
1480.91, 4.91328, 2406.97, 948224, 14.3186
1473.83, 4.93027, 2178.03, 947686, 13.018
1469.9, 4.96138, 2287.54, 947550, 14.1537
1463.82, 4.98068, 1970.22, 946937, 12.0797
1461.43, 5.01451, 1958.73, 946907, 12.409
1456.06, 5.03594, 1660.43, 946324, 9.96629
1455.46, 5.08253, 2273.91, 946224, 14.0934
1449.33, 5.10057, 1771.06, 945438, 10.5777
1455.94, 5.1517, 1675.99, 945075, 9.65904
1446.09, 5.17557, 1733.56, 944906, 10.4089
1434.08, 5.198, 2117.38, 944847, 13.195
1426.59, 5.21874, 2154.36, 944568, 13.4469
1425.44, 5.25192, 1688.03, 943858, 10.6679
1422.27, 5.28203, 1679.6, 943554, 10.2711
1423.82, 5.32877, 1921.52, 943506, 11.7296
1420.49, 5.35763, 1856.84, 943154, 10.7677
1427.65, 5.40774, 1605.21, 942638, 7.75817
1421.38, 5.4347, 1663.36, 942401, 6.79787
1414.62, 5.47432, 1743.98, 942118, 9.543
1407.84, 5.50432, 1931.23, 942071, 11.2153
1406.12, 5.54202, 1788.67, 941651, 10.6296
1403.86, 5.58064, 2048.19, 941251, 12.0606
1404.6, 5.62226, 1795.49, 940812, 10.8416
1402.79, 5.65192, 1370.47, 940312, 7.59137
1403.96, 5.69403, 1295.51, 940168, 6.53454
1403.41, 5.73529, 1426.2, 939997, 6.74075
1406.88, 5.79112, 1815.02, 939848, 8.00875
1403.05, 5.83495, 2223.03, 939556, 11.16
1401.57, 5.86935, 1957.15, 939374, 8.49955
1396.73, 5.90919, 2351.42, 939373, 11.0361
