Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
6318.39, 3.19515e-07, 59.4583, 1.01453e+06, 2.54782
6425.63, 0.00130551, 1085.82, 1.01185e+06, 4.06237
6618.4, 0.00839903, 823.698, 1.00922e+06, 5.2565
6826.62, 0.02325, 865.379, 1.0073e+06, 4.19939
7008.16, 0.0429803, 1154.74, 1.0056e+06, 4.81632
7222.28, 0.0763165, 1378.96, 1.00355e+06, 4.98088
7175.23, 0.0743549, 1985.84, 1.00352e+06, 10.4708
7282.21, 0.100611, 3613.74, 1.00292e+06, 13.5367
7566.2, 0.181249, 4639.88, 1.00184e+06, 15.5207
7966.79, 0.353767, 5967.63, 1.00005e+06, 19.848
8225.56, 0.573184, 9245.82, 998972, 28.7465
8389.32, 0.872414, 13678.5, 998433, 38.5793
8523.83, 1.23566, 11640.5, 992226, 37.6702
8671.39, 2.01627, 16965.4, 990773, 47.8816
8757.84, 2.80097, 15338.1, 984361, 48.4894
8811.83, 4.20958, 16832, 979062, 51.9823
8818.26, 5.49258, 12593.5, 969535, 46.9345
8762.92, 5.41006, 6298.36, 962917, 33.4018
8714.81, 5.3419, 5428.1, 961927, 32.1245
8679.39, 5.29507, 3471.18, 959617, 24.5426
8646.4, 5.25005, 3068.19, 959310, 23.2778
8621.23, 5.22018, 2018.81, 958254, 17.0195
8597.57, 5.19306, 1736.81, 957846, 15.2756
8574.79, 5.17136, 1852.71, 957593, 16.4661
8557.18, 5.15515, 1520.77, 957146, 13.9236
8539.97, 5.14266, 1535.19, 956803, 14.1788
8526.53, 5.13414, 1237.95, 956589, 11.3028
8513.33, 5.12851, 1199.2, 956196, 10.8582
8500.71, 5.12557, 1326.29, 956165, 12.337
8491.09, 5.12577, 1213.64, 955803, 11.1926
8481.41, 5.12846, 1307.34, 955547, 12.051
8472.58, 5.13481, 1639.39, 955481, 15.2313
8467.06, 5.1407, 1123.57, 954924, 9.73082
8461.49, 5.15285, 1256.56, 954774, 11.5343
8457.02, 5.16856, 1821.98, 954628, 16.263
8463.06, 5.19429, 1745.81, 954501, 12.3252
8464.4, 5.21584, 1871.19, 954279, 3.09182
8456.83, 5.23693, 1881.41, 953674, 3.93202
8443.01, 5.23485, 1469.46, 953264, 4.21167
8446.78, 5.2756, 1817.32, 953208, 5.03175
8442.82, 5.29367, 1725.96, 953050, 5.49426
8446.63, 5.32831, 1485, 952711, 5.28513
8454.42, 5.3598, 1613.59, 952420, 4.39374
8450.7, 5.3977, 1906.06, 952094, 6.60701
8442.89, 5.41064, 1553.38, 951524, 6.78034
8439.68, 5.43797, 2100.89, 951466, 8.25684
8431.62, 5.45272, 1815.53, 950824, 8.13411
8428.58, 5.47369, 1194.21, 950450, 6.36387
8426.26, 5.49783, 1069.05, 950242, 5.89626
8430.74, 5.54611, 1646.69, 950192, 8.69227
8427.55, 5.57297, 1557.76, 949925, 8.80186
8428.44, 5.607, 1971.97, 949774, 10.3956
8432.37, 5.64712, 1746.49, 949157, 9.9897
8435.24, 5.6783, 1373.5, 948710, 7.67965
8440.28, 5.719, 1302.68, 948584, 7.33429
8441.14, 5.74896, 1342.04, 948299, 5.74035
8452.45, 5.80723, 1538.47, 948273, 7.0356
8456.17, 5.86113, 2057.79, 948047, 10.0769
8455.33, 5.90506, 2231.56, 947964, 11.9169
8450.19, 5.93078, 1953.78, 947723, 11.3627
8441.42, 5.95603, 2114.86, 947656, 12.6909
8437.77, 5.97941, 1847.19, 946788, 11.4955
8441.41, 6.02324, 1970.99, 946633, 12.3467
8448.28, 6.06645, 1697.96, 946290, 10.7169
8464.84, 6.12158, 1704.63, 946188, 7.424
8455.43, 6.16684, 2249.94, 946057, 12.0843
8446, 6.18825, 1808.99, 945439, 11.4736
8443.9, 6.223, 2104.56, 945160, 12.7771
8443.88, 6.2596, 1749.29, 945024, 11.4302
8448.01, 6.30527, 1987, 944703, 12.2249
8446.85, 6.33819, 1597.31, 943789, 10.4124
8448.24, 6.38031, 1656.11, 943543, 10.5354
8444.83, 6.40745, 1234.66, 943178, 8.40923
8447.67, 6.45305, 1231.61, 942959, 8.039
8446.77, 6.49247, 1441.24, 942659, 9.00982
8448.48, 6.53597, 1281.73, 942203, 8.11828
8449.99, 6.57896, 1415.61, 941993, 8.67208
8450.84, 6.62184, 1199.79, 941561, 7.50739
8448.39, 6.65852, 1281.95, 941393, 7.60233
8449.29, 6.70943, 1477.38, 941372, 8.79104
8448.05, 6.74682, 1338.31, 940757, 8.2707
8451.39, 6.80191, 1574.7, 940690, 9.16779
8451.35, 6.84188, 1342.34, 940370, 8.19986
8454.92, 6.89689, 1494.95, 940227, 8.62773
8455.62, 6.93755, 1249.88, 939915, 7.41939
8457.35, 6.98853, 1335.39, 939534, 7.48693
8457.34, 7.03673, 1553.24, 939233, 8.63657
8457.9, 7.08729, 1277.7, 938722, 7.94386
8456.91, 7.13642, 1439.74, 938485, 8.6495
8458.47, 7.18768, 1227.56, 938197, 7.60751
8461.01, 7.23986, 1358.44, 937801, 8.03106
8462.45, 7.28954, 1174.17, 937333, 6.79988
8463.79, 7.33936, 1199.48, 937140, 6.76272
8466.32, 7.39125, 995.043, 936973, 5.48625
8467.4, 7.44099, 1016.34, 936702, 5.17032
8472.63, 7.52224, 1537.02, 936608, 7.48431
8471.3, 7.5636, 1277.94, 935977, 6.67251
8474.63, 7.62912, 1346.98, 935853, 6.87223
8474.65, 7.67679, 1202.15, 935512, 5.89059
8480.05, 7.74604, 1226.82, 935229, 5.95415
8485.34, 7.79262, 1325.78, 935207, 2.9788
8490.55, 7.87276, 1559.87, 934952, 3.89826
8487.18, 7.93824, 1880.44, 934868, 5.22552
8490.1, 8.00033, 1433.19, 934172, 4.73057
8482.57, 8.04256, 1271.17, 933720, 4.7765
8495.15, 8.15553, 1396.43, 933439, 5.31613
8487.72, 8.19421, 1087.25, 933069, 5.20188
8483.74, 8.24898, 1317.83, 932910, 5.81475
8485.19, 8.30388, 1105.66, 932458, 5.4951
8481.42, 8.34233, 1006.83, 932084, 4.37943
8475.25, 8.38768, 1071.35, 932011, 5.18794
8475.86, 8.45011, 1002.22, 931822, 5.29191
8477.94, 8.5149, 1226.9, 931591, 6.80498
8488.07, 8.5718, 1385.46, 931542, 3.25573
8487.45, 8.64554, 1537.57, 931242, 4.20842
8487.06, 8.70928, 1788.53, 931193, 5.06296
8480.58, 8.7485, 1445.26, 930517, 5.34015
8481.24, 8.80178, 1301.35, 930129, 4.88938
8485.06, 8.87874, 1271.19, 929875, 5.09641
8499.92, 8.99506, 1528.64, 929868, 5.6769
8490.34, 9.04209, 1689.1, 929641, 7.32407
8490.55, 9.10493, 1875.85, 929586, 8.07796
8487.95, 9.15343, 1563.87, 928916, 7.31222
8488.68, 9.21397, 1739.51, 928686, 7.83111
8486.51, 9.26187, 1339.42, 928259, 6.75711
8483.49, 9.31116, 1269.86, 927791, 6.76766
8484.07, 9.36407, 1128.74, 927594, 5.67905
8486.15, 9.42703, 1275.6, 927407, 5.53682
8490.64, 9.52706, 1689.22, 927381, 8.18311
8495.25, 9.60201, 1451.44, 926905, 7.31001
8498.66, 9.68053, 1467.35, 926615, 7.84485
8500.93, 9.74335, 1323.88, 926320, 6.80079
8500.8, 9.80836, 1409.09, 926113, 6.92775
8499.88, 9.87148, 1692.64, 925948, 8.22266
8500.58, 9.93554, 1630.67, 925584, 7.93212
8499.69, 9.99668, 1846.89, 925525, 8.91037
8499.85, 10.0571, 1649.5, 925056, 8.0785
8499.4, 10.1161, 1787.71, 924923, 8.60694
8499.81, 10.1746, 1528.45, 924516, 7.42097
8499.71, 10.2322, 1626.28, 924458, 7.53691
8501.15, 10.3037, 1988.09, 924418, 8.94165
8501.44, 10.3582, 1927.5, 924036, 8.53152
8504.5, 10.4205, 1687.76, 923547, 6.60094
8509.94, 10.489, 1924.3, 923492, 6.2114
8516.61, 10.5791, 1804.05, 923091, 6.84544
8537.3, 10.7189, 1874.73, 922974, 6.09595
8528.7, 10.7817, 2068.01, 922841, 8.13147
8528.49, 10.8601, 2278.96, 922613, 9.29189
8524.6, 10.9186, 1909.86, 921982, 8.67111
8521.22, 10.9654, 1372.75, 921289, 6.53413
8519.06, 11.0228, 1216.55, 920878, 5.56725
8517.16, 11.0835, 1282.08, 920673, 5.51399
8516.33, 11.142, 1118.36, 920266, 4.56832
8515.45, 11.2027, 1165.79, 920168, 4.43425
8516.12, 11.278, 1294.79, 920003, 4.79099
8516.29, 11.3555, 1587.72, 919989, 5.83062
8518.02, 11.4324, 1604.18, 919728, 6.00628
8518.64, 11.4936, 1346.73, 919223, 5.11355
8520.66, 11.5692, 1390.47, 919010, 5.0698
8521.62, 11.6448, 1583.29, 918913, 5.68972
8523.61, 11.7186, 1475.63, 918550, 5.34557
8524.98, 11.7935, 1624.89, 918419, 5.74397
8527.13, 11.8662, 1452.04, 918000, 5.146
8528.68, 11.9402, 1543.71, 917819, 5.29504
8531.03, 12.012, 1378.2, 917415, 4.58745
8532.94, 12.086, 1453.9, 917204, 4.74804
8533.4, 12.1476, 1373.41, 916845, 4.14106
8533.35, 12.2305, 1610.19, 916700, 5.06527
8536.99, 12.3218, 1612.18, 916366, 5.41246
8537.96, 12.3906, 1433.89, 915912, 4.87106
8541.68, 12.4807, 1480.45, 915796, 4.95164
8543.88, 12.5707, 1749.01, 915572, 5.63312
8547.89, 12.6619, 1654.32, 915219, 5.44038
8550.51, 12.7371, 1383.79, 914622, 4.48913
8555.71, 12.8313, 1411.01, 914583, 4.30228
8561.13, 12.9352, 1527.83, 914507, 4.56666
8572.04, 13.0729, 1912.08, 914323, 5.54158
8595.98, 13.2313, 1787.99, 913928, 4.3568
8616.84, 13.4286, 2082.33, 913892, 5.13726
8592.52, 13.4558, 2495.6, 913818, 6.5275
8578.32, 13.4864, 1784.83, 913232, 5.10457
8559.86, 13.5111, 1738.36, 912915, 5.86189
8566.62, 13.623, 1679.05, 912337, 6.01103
8574.86, 13.7285, 1641.96, 912100, 6.14937
8600.34, 13.8539, 1681.23, 912023, 3.96209
8606.86, 14.015, 1905.58, 911945, 4.29672
8578.77, 14.0135, 1798.27, 911574, 5.22875
8574.13, 14.0799, 1748.12, 911199, 5.38955
8569.85, 14.154, 1712.75, 910837, 6.42511
8568.31, 14.219, 1694.22, 910521, 6.62945
8602.42, 14.4574, 1578.98, 910208, 5.45513
8602.35, 14.5754, 1725.98, 910027, 6.96744
8595.01, 14.6497, 1934.66, 909888, 7.80892
8589, 14.704, 1670.16, 909407, 7.25555
8580.89, 14.7563, 1755.13, 909141, 7.74447
8577.17, 14.8065, 1522.02, 908826, 6.84939
8580.77, 14.9016, 1603.54, 908514, 7.22678
8615.09, 15.1409, 1711.95, 908325, 6.06741
8610.73, 15.2588, 1801.3, 908187, 7.8743
8604.99, 15.335, 1924.37, 907996, 8.70494
8601.34, 15.4027, 1704.13, 907525, 7.92603
8596.26, 15.4693, 1783.99, 907405, 8.52918
8593.62, 15.529, 1597.2, 906940, 7.37272
8591.76, 15.6015, 1571.07, 906510, 7.6143
8591.01, 15.675, 1848.94, 906498, 9.17677
8597.21, 15.7863, 1811.42, 906368, 8.92055
8622.31, 16.0057, 2021.69, 906256, 9.87854
8636.76, 16.179, 1860.71, 905819, 8.92173
8634.17, 16.2698, 1905.02, 905574, 9.51449
8632.49, 16.3802, 2338.98, 905553, 11.9483
8631.45, 16.4668, 2254.61, 905086, 12.1065
8628.64, 16.5403, 1769.58, 904440, 9.59809
8627.88, 16.625, 1697.89, 904025, 9.20397
8625.36, 16.7101, 1860.44, 903866, 10.3219
8624.58, 16.785, 1690.85, 903627, 9.34082
8623.07, 16.8677, 1792.2, 903279, 9.99557
8625.26, 16.9515, 1577.52, 902879, 8.49727
8627.23, 17.0467, 1641.81, 902575, 8.9105
8639.34, 17.1452, 1655.3, 902559, 3.97037
8644.67, 17.2792, 1762.06, 902276, 6.19692
8651.1, 17.3982, 1808.61, 901881, 6.95998
8663.74, 17.6007, 2057.13, 901719, 8.94938
8696.67, 17.8309, 1806.92, 901349, 6.42231
8674.36, 17.8976, 1693.38, 901007, 7.54319
8670.27, 17.9984, 1623.62, 900648, 7.43825
8668.16, 18.1234, 1860.61, 900629, 8.51977
8675.56, 18.2734, 1805.43, 900248, 8.03701
8667.11, 18.3792, 2295.57, 900232, 12.4094
8663.8, 18.4571, 1829.55, 899636, 10.8015
8658.16, 18.532, 1942.45, 899521, 11.1866
8654.48, 18.6112, 2206.78, 899492, 13.7481
8651.22, 18.6811, 2290.97, 899328, 13.5551
8655.07, 18.7709, 1820.83, 898597, 10.5331
8658.68, 18.877, 1944.81, 898303, 9.88948
8653.73, 18.9613, 1875.44, 898143, 10.8971
8666.57, 19.1411, 1962.37, 898036, 9.54457
8666.86, 19.2104, 2100.37, 897903, 6.7632
