Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
17.9952, 1.2848e-07, 50.6155, 1.00795e+06, 2.36757
1351.04, 0.164405, 11364.2, 1.00395e+06, 13.4934
1190.61, 0.119734, 8944.03, 999811, 18.1252
1493.16, 0.179691, 7200.45, 997469, 10.8643
1526.7, 0.2071, 7707.1, 997142, 13.192
1324.97, 0.251829, 9561.88, 995133, 20.5305
1646.66, 0.411507, 9501.59, 993038, 14.7573
1744.25, 0.534561, 10476.8, 992001, 19.1194
1542.89, 0.632335, 12532, 990982, 21.164
1748.81, 0.991339, 14025.2, 989385, 24.5141
2002.87, 1.49187, 14101.9, 986070, 22.1587
1843.21, 1.85628, 14442.2, 981355, 28.7211
2022.98, 2.9776, 18642.1, 979466, 34.4518
1791.05, 2.79015, 14638.3, 975191, 37.0721
1745.37, 2.75101, 9120.1, 969078, 29.1555
1698.52, 2.72892, 9295.34, 969046, 30.5519
1668.32, 2.71608, 6797.28, 965991, 25.6913
1641.96, 2.70791, 3206.44, 962654, 16.6488
1617.99, 2.70456, 2483.41, 961243, 13.649
1594.31, 2.70173, 2278.21, 960827, 13.617
1577.37, 2.70497, 1798.09, 960180, 10.7259
1559.98, 2.70947, 1593.12, 959787, 10.2298
1543.88, 2.7191, 1836.79, 959670, 11.5235
1530.83, 2.72834, 1543.98, 959172, 10.4203
1518.5, 2.74152, 1710.08, 958781, 11.2091
1508.12, 2.75311, 1380.68, 958251, 9.57802
1498.14, 2.76827, 1459.21, 958003, 9.78389
1489.73, 2.78189, 1177.97, 957748, 7.9441
1481.46, 2.79877, 1198.23, 957461, 7.68503
1470.76, 2.82242, 1667.8, 957388, 12.339
1464, 2.84015, 1590.58, 956992, 11.2788
1456.81, 2.85984, 1647.45, 956812, 12.3139
1451.16, 2.87839, 1505.56, 956367, 10.6308
1444.6, 2.89791, 1505.08, 956363, 11.0194
1439.67, 2.91628, 1324.71, 955900, 8.97821
1433.37, 2.93541, 1273.14, 955498, 8.84082
1428.59, 2.95958, 1493.82, 955167, 10.1754
1423.1, 2.97893, 1329.07, 954896, 9.3606
1419.18, 3.00391, 1499.2, 954741, 10.2033
1414.92, 3.02504, 1278.91, 954176, 8.8777
1411.65, 3.05058, 1367.89, 953951, 9.15105
1408.22, 3.07267, 1149.84, 953736, 7.51062
1405.58, 3.09915, 1186.96, 953477, 7.33777
1402.12, 3.12762, 1311.03, 953101, 8.40881
1400.01, 3.15362, 1256.97, 952761, 7.76469
1397.1, 3.18217, 1331.69, 952562, 8.43519
1395.56, 3.20903, 1220.22, 952177, 7.3469
1393.25, 3.23823, 1242.68, 952163, 7.5745
1391.95, 3.27268, 1509.89, 952106, 9.06746
1389.82, 3.30148, 1421.63, 951537, 8.81227
1388.76, 3.33031, 1285.09, 951124, 7.69097
1387.38, 3.36246, 1317.75, 950885, 7.9479
1386.76, 3.39922, 1626.72, 950874, 9.58757
1385.57, 3.43088, 1536.05, 950316, 9.3597
1385.13, 3.46696, 1817.89, 950278, 10.7324
1384.41, 3.49892, 1594.12, 950252, 9.82483
1384.03, 3.53581, 1775.48, 950122, 10.6141
1383.5, 3.56819, 1481.39, 949355, 9.14225
1383.34, 3.60441, 1559.1, 949135, 9.36919
1383.16, 3.63695, 1282.02, 948615, 7.62326
1383.23, 3.67333, 1301.17, 948145, 7.42855
1383.33, 3.71354, 1473, 948019, 8.43286
1383.7, 3.74942, 1375.89, 947871, 7.72235
1383.76, 3.78957, 1481.67, 947687, 8.29776
1384.62, 3.8348, 1933.8, 947607, 10.4154
1385.01, 3.87402, 1911.24, 947538, 10.5876
1385.42, 3.90956, 1501.6, 946861, 8.47711
1385.88, 3.94927, 1453.59, 946533, 8.13534
1386.82, 3.99393, 1685.2, 946251, 9.16438
1387.5, 4.03286, 1513.91, 945811, 8.29626
1388.51, 4.07669, 1658.13, 945663, 8.84654
1389.39, 4.11582, 1426.64, 945174, 7.56837
1390.17, 4.15057, 1141.24, 944884, 5.23541
1391.53, 4.20025, 1304.98, 944734, 6.06982
1393.57, 4.2549, 1755.74, 944677, 8.15557
1394.84, 4.30253, 1932.43, 944530, 9.10072
1396.37, 4.34536, 1720.3, 943823, 8.18231
1398.77, 4.39401, 1837.91, 943640, 8.65552
1401.1, 4.43749, 1628.52, 943170, 7.41287
1405.92, 4.48996, 1761.25, 942995, 7.6352
1410.21, 4.53535, 1725.13, 942757, 6.35714
1410.07, 4.58843, 2206.38, 942706, 8.49454
1406.93, 4.63137, 2209.37, 942656, 9.38606
1405.05, 4.66933, 1856.14, 942010, 8.32956
1412.03, 4.72883, 2005.7, 941622, 8.76109
1408.9, 4.76606, 1641.27, 941051, 7.45284
1406.7, 4.80691, 1691.44, 940808, 7.44011
