Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
62.4693, 4.18182e-07, 77.3046, 1.00782e+06, 2.48408
234.632, 0.00372287, 1267.02, 1.00313e+06, 4.54306
383.545, 0.0121867, 968.927, 1.00043e+06, 4.62877
585.782, 0.0321951, 913.486, 998059, 4.19522
770.964, 0.0604791, 1140.45, 996115, 4.6806
1049.74, 0.125194, 1558.78, 993341, 5.3852
1311.49, 0.218621, 1824.8, 990205, 5.76294
1531.81, 0.33543, 1859.76, 987179, 5.91854
1665.63, 0.437626, 1833.39, 984685, 6.0029
1787.55, 0.572667, 1894.19, 981933, 6.46702
1872.2, 0.713671, 2119.74, 979871, 6.93435
1962.3, 0.951475, 2281.68, 976640, 7.77644
1852.35, 0.915748, 1822.51, 976450, 10.8927
1788.45, 0.925638, 933.893, 975033, 6.60687
1778.82, 0.968957, 1155.1, 974581, 8.06711
1813.85, 1.02038, 1504.1, 974544, 7.08677
1837.19, 1.05631, 1568.35, 974350, 5.95468
1858.67, 1.09868, 1519.1, 973963, 5.40053
1871.78, 1.13755, 1378.15, 973469, 6.28155
1880.19, 1.17456, 1357.44, 973257, 7.00325
1891.96, 1.23306, 1321.92, 972515, 7.1527
1911.53, 1.31137, 1352.47, 971602, 7.12746
1923.73, 1.34711, 1526.19, 971364, 9.73062
1976.2, 1.45463, 1044.41, 969914, 6.40926
2006.41, 1.52318, 1057, 969380, 5.50419
2033.77, 1.59988, 1125.87, 968780, 6.12522
2024.28, 1.62577, 1084.96, 968574, 8.51399
2067.37, 1.74681, 997.127, 967344, 5.27782
2101.86, 1.81028, 1132.28, 966865, 8.75542
2165, 1.91284, 779.454, 965868, 5.19152
2190.34, 1.96192, 1011.35, 965781, 4.38953
2181.54, 2.00022, 1225.73, 965742, 5.8983
2279.08, 2.23428, 2249.51, 965289, 6.50395
2460.75, 2.67191, 2936.67, 964112, 8.38532
2484.95, 3.15405, 5561.35, 963775, 11.9689
2478.55, 3.74726, 7274.83, 962575, 15.2473
2407.23, 4.54074, 10686, 961856, 19.8358
2375.57, 5.59245, 11876.4, 959013, 21.8465
2345.94, 7.11459, 11734.8, 954256, 24.2846
2370.09, 8.97049, 9863.87, 947926, 23.6041
2448.66, 11.7824, 11927.6, 944516, 26.2513
2504.91, 14.9194, 14546.3, 941543, 26.8737
2442.09, 14.8167, 9131.99, 935857, 19.2077
