E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
12.4542, 9.83602, 0, 23.1243, 0.00510603
7.60903, 1.1886, 16.6331, 25.9263, 0.139142
7.97445, 14.5897, 4.68272, 27.8073, 0.0443158
11.879, 7.24848, 6.71611, 26.3507, 0.0721272
11.5636, 9.04341, 8.10015, 29.275, 0.0729556
10.7864, 8.73091, 4.82466, 24.8532, 0.0448574
10.8886, 8.73535, 8.02167, 28.1911, 0.0922897
6.99549, 8.54246, 0.178858, 16.2206, 0.0100053
7.28809, 8.47216, 0.0100209, 16.28, 0.00311854
9.87156, 8.43964, 0.00888853, 18.8287, 0.00355339
7.86129, 8.42148, 0.00882005, 16.7998, 0.00368547
10.2971, 8.4098, 6.32931e-05, 19.2148, 0.00598127
8.64389, 8.31784, 0.000817809, 17.4696, 0.00340269
10.1634, 8.2603, 0.00172975, 18.932, 0.00323693
8.50053, 8.22306, 0.00272216, 17.2325, 0.0026885
8.32029, 8.19768, 7.63309e-05, 17.0239, 0.00432084
8.96369, 8.14691, 0.000211384, 17.6163, 0.00606597
10.0644, 8.10686, 0.000426609, 18.6768, 0.00601133
7.38241, 8.07731, 0.0011227, 15.9657, 0.00397473
8.22975, 8.05494, 6.54992e-05, 16.7894, 0.00155523
11.4288, 8.02487, 0.000285088, 19.9584, 0.00481665
13.3709, 8.00134, 0.000540714, 22.0362, 0.00252675
10.2191, 7.98265, 0.000866604, 18.8654, 0.0029859
9.28282, 7.96758, 0.000958891, 17.9135, 0.00311526
10.3142, 7.9553, 2.08551e-05, 18.9311, 0.00313394
9.38766, 7.93908, 2.1637e-05, 17.9879, 0.00180656
12.5088, 7.92506, 2.26788e-05, 21.0946, 0.00246615
7.82312, 7.91264, 6.36562e-05, 16.3962, 0.00268266
9.50084, 7.90221, 1.21821e-05, 18.0631, 0.00725786
7.94728, 7.89249, 1.02201e-05, 16.4995, 0.00698901
10.6998, 7.88394, 3.07951e-05, 19.2432, 0.0048313
13.3969, 7.87664, 6.67531e-06, 21.9328, 0.00426408
10.1216, 7.86997, 1.74646e-05, 18.6506, 0.00541698
8.1433, 7.86424, 2.85439e-06, 16.6664, 0.00358246
7.89392, 7.85906, 8.86252e-06, 16.4117, 0.0020045
12.0649, 7.85548, 1.99176e-05, 20.5789, 0.00449433
10.5342, 7.85236, 2.94264e-05, 19.045, 0.0066822
11.7972, 7.84966, 4.17376e-05, 20.3053, 0.00643562
8.3615, 7.8473, 5.33528e-05, 16.8672, 0.00414339
8.15323, 7.84524, 3.93394e-07, 16.6567, 0.00778907
13.0222, 7.8433, 1.48927e-06, 21.5236, 0.00239153
8.1434, 7.8416, 2.63903e-06, 16.8511, 0.00516439
9.40343, 7.84011, 3.90099e-06, 18.1096, 0.00189122
9.03792, 7.83881, 8.62452e-06, 17.7427, 0.00200784
9.3089, 7.83767, 6.9548e-06, 18.0124, 0.00480216
7.64325, 7.83667, 4.46589e-08, 16.3457, 0.00517234
7.65738, 7.83576, 3.46073e-07, 16.3589, 0.00343767
8.66936, 7.83496, 6.23348e-08, 17.37, 0.00298613
8.47867, 7.83426, 1.87677e-07, 17.1785, 0.00557821
5.3059, 7.83364, 3.20987e-08, 14.0051, 0.00186989
10.8428, 7.8331, 9.84486e-08, 19.5414, 0.00417436
10.0345, 7.83262, 1.89966e-07, 18.7326, 0.00477778
6.65063, 7.8322, 4.02391e-07, 15.3483, 0.0107042
8.47855, 7.83183, 1.78454e-08, 17.1758, 0.00197176
9.07029, 7.83151, 4.19496e-08, 17.7672, 0.00423228
8.39636, 7.83122, 8.65721e-08, 17.093, 0.00532301
10.6051, 7.83097, 1.40187e-07, 19.3014, 0.00546061
15.2953, 7.83075, 2.10829e-07, 23.9914, 0.00473858
10.8834, 7.83055, 3.43694e-09, 19.5793, 0.00199149
7.66447, 7.83038, 2.74118e-09, 16.3602, 0.000566289
9.01525, 7.83023, 1.08922e-08, 17.7108, 0.00171475
10.6046, 7.83009, 2.82041e-08, 19.5735, 0.011019
18.6259, 7.82998, 5.37498e-08, 27.5947, 0.018993
10.4269, 7.82987, 2.983e-08, 19.3956, 0.00723069
8.29887, 7.82978, 5.34292e-08, 17.2674, 0.00750311
4.21621, 7.8297, 2.36628e-07, 13.1846, 0.00146732
8.14337, 7.82965, 2.55974e-10, 17.1117, 0.00461705
6.81044, 7.8296, 8.82939e-10, 15.7788, 0.00366326
11.5916, 7.82955, 1.46854e-09, 20.5599, 0.00387543
9.90398, 7.82951, 1.16883e-10, 18.8722, 0.00537307
11.6533, 7.82948, 1.08886e-10, 20.6215, 0.00566982
8.17172, 7.82945, 3.09829e-10, 17.1399, 0.00362701
5.96247, 7.82942, 5.96801e-11, 14.9306, 0.00235822
10.5169, 7.8294, 3.30569e-10, 19.485, 0.00308638
8.31996, 7.82938, 5.21197e-10, 17.288, 0.0103104
9.83327, 7.82936, 2.14202e-11, 18.8013, 0.0021057
9.96755, 7.82935, 1.14201e-10, 18.9356, 0.00321103
11.7915, 7.82933, 1.92615e-10, 20.7596, 0.00315976
10.6697, 7.82932, 3.31003e-10, 19.6377, 0.00310481
11.1684, 7.82931, 1.12917e-11, 20.1364, 0.00285551
8.63571, 7.8293, 7.71446e-12, 17.6037, 0.00539926
11.021, 7.82929, 4.55371e-12, 20.3489, 0.00427908
9.84889, 7.82928, 2.50151e-11, 19.1768, 0.00747413
11.5741, 7.82928, 3.96531e-11, 20.9019, 0.00468368
7.38715, 7.82927, 5.98678e-11, 16.715, 0.00207083
8.19106, 7.82927, 1.38975e-10, 17.5189, 0.00398091
7.25587, 7.82926, 1.21969e-10, 16.5837, 0.000911816
8.85798, 7.82926, 1.72052e-10, 18.1858, 0.00248144
6.8014, 7.82926, 1.80082e-10, 16.1292, 0.00351693
9.49886, 7.82925, 2.5231e-10, 18.8267, 0.00311314
9.5506, 7.82925, 2.15098e-10, 18.8784, 0.00356877
6.19304, 7.82925, 2.69475e-13, 15.5209, 0.00348614
10.4341, 7.82925, 2.2565e-13, 19.7619, 0.00260915
13.0763, 7.82925, 2.36295e-13, 22.4042, 0.00208857
12.2236, 7.82925, 1.41635e-13, 21.5515, 0.00362526
8.2481, 7.82924, 9.10867e-14, 17.5759, 0.00796391
11.3296, 7.82924, 4.04682e-13, 20.6574, 0.00406701
12.4621, 7.82924, 8.90583e-13, 21.7899, 0.00432929
7.58919, 7.82924, 1.33178e-12, 16.917, 0.00522896
10.646, 7.82924, 4.63796e-14, 19.9738, 0.00182941
9.54141, 7.82924, 3.61683e-14, 18.8692, 0.00429211
9.0655, 7.82924, 1.25662e-13, 18.867, 0.00369803
6.81141, 7.82924, 2.73893e-13, 16.6129, 0.00335951
12.4071, 7.82924, 1.30584e-14, 22.2086, 0.004735
9.40394, 7.82924, 1.15308e-14, 19.2054, 0.00273885
9.77544, 7.82924, 5.41807e-14, 19.5769, 0.00354094
10.1742, 7.82924, 8.73699e-14, 19.9756, 0.00362565
8.57138, 7.82924, 6.55235e-15, 18.3728, 0.000864029
10.1714, 7.82924, 3.68178e-15, 19.9729, 0.00495263
7.98238, 7.82924, 1.26371e-14, 17.7838, 0.00415572
10.7963, 7.82924, 2.06603e-14, 20.5977, 0.00618631
12.8249, 7.82924, 1.86273e-15, 22.6264, 0.00734971
9.05806, 7.82924, 5.33623e-15, 18.8595, 0.00372477
9.24707, 7.82924, 1.4501e-14, 19.0485, 0.00456209
