,Type,Index,Particle,Molecule,Molecule Index,X,Y,Z,Occupancy,Atom
0,ATOM,1,COM,A,0,-0.1704936949703061,6.5786012813672405,13.784480346646403,0,0CL
1,ATOM,2,b,A,0,0.8622986182455842,5.779119027692456,13.026379321834222,0,0CL
2,ATOM,3,c,A,0,-0.3239290699670914,5.197876142318028,14.768778409276374,0,0CL
3,ATOM,4,d,A,0,0.4797029483239843,7.330304120129883,12.036239754724047,0,0CL
4,ATOM,5,p,A,0,-0.5008869444334841,7.0722543761916015,12.056008211296945,0,0CL
5,ATOM,6,q,A,0,-1.1969220695265506,5.807315818558495,14.731529197955371,0,0CL
6,ATOM,7,COM,A,1,0.39353764279976805,0.5451429573454665,14.272482705560574,0,0CL
7,ATOM,8,b,A,1,0.3136260262282421,-0.7118547516383098,13.43936453078195,0,0CL
8,ATOM,9,c,A,1,-0.9738771759708973,-0.06267756991639496,15.083872205150994,0,0CL
9,ATOM,10,d,A,1,1.5564536935109574,0.44386999532019833,12.63453305854425,0,0CL
10,ATOM,11,p,A,1,0.8389265203861814,1.160167932304642,12.60901793950789,0,0CL
11,ATOM,12,q,A,1,-0.8877083652579093,0.9989794795199682,15.106615235783986,0,0CL
12,ATOM,13,COM,A,2,2.831333398485173,-0.3422543669121133,14.186903254389849,0,0CL
13,ATOM,14,b,A,2,3.8129055427954817,-1.025799274809822,13.263823363805589,0,0CL
14,ATOM,15,c,A,2,2.730057268934855,-1.8466437353624245,14.977625565746354,0,0CL
15,ATOM,16,d,A,2,3.3797502830035824,0.645966855058597,12.522549104209734,0,0CL
16,ATOM,17,p,A,2,2.401142041027928,0.3851952356955673,12.565223115880716,0,0CL
17,ATOM,18,q,A,2,1.859784416183245,-1.2405466088455332,15.077352367517788,0,0CL
18,ATOM,19,COM,A,3,4.812794115291873,1.322868654433899,13.986327205133167,0,0CL
19,ATOM,20,b,A,3,5.825761625036661,1.8480925661970562,12.99644707768657,0,0CL
20,ATOM,21,c,A,3,6.1173859999332425,0.46469449545902153,14.66559087072672,0,0CL
21,ATOM,22,d,A,3,4.111788918711201,2.326318061798499,12.39127360063376,0,0CL
22,ATOM,23,p,A,3,3.849121658394286,1.348356207055209,12.43312477773409,0,0CL
23,ATOM,24,q,A,3,5.166596567118778,0.013635680776532853,14.827054179703135,0,0CL
24,ATOM,25,COM,A,4,-0.1349921655187254,-2.2333505191020326,14.258191342521569,0,0CL
25,ATOM,26,b,A,4,-0.07077532745046561,-0.964528865044417,13.441460170162493,0,0CL
26,ATOM,27,c,A,4,1.248714547001765,-1.636369911296397,15.0513999453681,0,0CL
27,ATOM,28,d,A,4,-1.3298117183469684,-2.1104654246775527,12.645141284480104,0,0CL
28,ATOM,29,p,A,4,-0.6133567915777312,-2.825619902309316,12.595619460691887,0,0CL
29,ATOM,30,q,A,4,1.162835884932445,-2.697675705098011,15.061242071374952,0,0CL
30,ATOM,31,COM,A,5,7.4601339455889555,2.240614815496438,13.596809802726563,0,0CL
31,ATOM,32,b,A,5,6.232170376197829,1.6399537683091794,12.952445170984493,0,0CL
32,ATOM,33,c,A,5,6.364018338031803,3.1716985875324797,14.507960495159356,0,0CL
33,ATOM,34,d,A,5,7.737576708048482,1.087539388245471,11.972037027034936,0,0CL
34,ATOM,35,p,A,5,7.990952975162576,2.0630172357711145,11.855690835648751,0,0CL
35,ATOM,36,q,A,5,7.318923269185518,3.624139031429895,14.377564110300636,0,0CL
36,ATOM,37,COM,A,6,-4.706146537230879,0.5079233456270771,14.089753494844807,0,0CL
37,ATOM,38,b,A,6,-3.598581564232052,-0.19106930100625297,13.337299436088584,0,0CL
38,ATOM,39,c,A,6,-4.928132330807618,-0.9826960544967464,14.88207736260636,0,0CL
39,ATOM,40,d,A,6,-3.9113022398533785,1.4681263297395746,12.511553326226174,0,0CL
40,ATOM,41,p,A,6,-4.8870306066669995,1.2076027704898553,12.409501235257585,0,0CL
41,ATOM,42,q,A,6,-5.802691130468512,-0.37579316348593644,14.839161318771442,0,0CL
42,ATOM,43,COM,A,7,0.4186306719851708,-8.25981832157658,13.677442188814279,0,0CL
43,ATOM,44,b,A,7,-0.6290638213623602,-7.4496018354652715,12.95095785020629,0,0CL
44,ATOM,45,c,A,7,0.592048596628339,-6.892379682786476,14.676865418760567,0,0CL
45,ATOM,46,d,A,7,-0.266692604854544,-8.986967581679195,11.931440482127268,0,0CL
46,ATOM,47,p,A,7,0.7144857267235664,-8.728995605164751,11.934837683153122,0,0CL
47,ATOM,48,q,A,7,1.4628820346889742,-7.501083165160253,14.614325881654073,0,0CL
48,ATOM,49,COM,A,8,7.8063222269290415,-9.125163395285297,12.85732732343326,0,0CL
49,ATOM,50,b,A,8,6.661676909597008,-8.305013256330067,12.310238804926827,0,0CL
50,ATOM,51,c,A,8,8.12811535123846,-7.774695608163669,13.843643672833355,0,0CL
51,ATOM,52,d,A,8,6.866700470283572,-9.8231702422905,11.221484606063292,0,0CL
52,ATOM,53,p,A,8,7.83720327312368,-9.56397637195137,11.082229993004457,0,0CL
53,ATOM,54,q,A,8,8.980074760584522,-8.380653724421757,13.640565052177227,0,0CL
54,ATOM,55,COM,A,9,-4.257465107893487,-10.751168030428065,13.072315850264648,0,0CL
55,ATOM,56,b,A,9,-3.081798608215448,-10.051224850986172,12.431135043403158,0,0CL
56,ATOM,57,c,A,9,-3.0985037751182065,-11.803058404544258,13.741246541721836,0,0CL
57,ATOM,58,d,A,9,-4.656589379027161,-9.366565263471639,11.668623222255007,0,0CL
58,ATOM,59,p,A,9,-4.924241556911854,-10.31425459634898,11.426013989075237,0,0CL
59,ATOM,60,q,A,9,-4.064450380630321,-12.235812551463628,13.620064844986294,0,0CL
60,ATOM,61,COM,A,10,1.961106531848931,4.727289046699334,13.960720191156907,0,0CL
61,ATOM,62,b,A,10,0.8864026539615825,5.323772593523959,13.082384860419602,0,0CL
62,ATOM,63,c,A,10,2.155581955801205,6.30627498222469,14.567927507393849,0,0CL
63,ATOM,64,d,A,10,1.2285263223837335,3.5758934240203897,12.483513585168517,0,0CL
64,ATOM,65,p,A,10,2.2074836724643006,3.8241021317779387,12.389721559299762,0,0CL
65,ATOM,66,q,A,10,3.0287470086083865,5.700174127479936,14.63751590034793,0,0CL
66,ATOM,67,COM,A,11,-1.7091829440776982,-6.4110265362480225,13.92003680911549,0,0CL
67,ATOM,68,b,A,11,-0.652277019782825,-6.994846121226341,13.013378902633542,0,0CL
68,ATOM,69,c,A,11,-1.891125766417425,-7.997645425192081,14.510983770056113,0,0CL
69,ATOM,70,d,A,11,-1.0058669009313752,-5.239124317719077,12.444588831835372,0,0CL
70,ATOM,71,p,A,11,-1.9862680669756687,-5.48675830011843,12.367174592964123,0,0CL
71,ATOM,72,q,A,11,-2.7629644192704292,-7.394085083904876,14.605043739313603,0,0CL
72,ATOM,73,COM,A,12,-2.7144364234701532,2.1704951255567777,14.162244179243656,0,0CL
73,ATOM,74,b,A,12,-1.5634795539837896,2.679091683175356,13.326968281015624,0,0CL
74,ATOM,75,c,A,12,-1.5281131691386465,1.3246442036349928,15.043900208609076,0,0CL
75,ATOM,76,d,A,12,-3.1649342440672052,3.1467892664740416,12.462659975961007,0,0CL
76,ATOM,77,p,A,12,-3.433546847128286,2.1683555405749972,12.481307053482436,0,0CL
77,ATOM,78,q,A,12,-2.494041378362545,0.8760818572471823,15.068138938537533,0,0CL
78,ATOM,79,COM,A,13,7.348405095557089,-3.0910555628486005,13.623146863091288,0,0CL
79,ATOM,80,b,A,13,7.302320860014529,-1.8092666437786955,12.825794111679416,0,0CL
80,ATOM,81,c,A,13,8.841005349757266,-2.5183100363476805,14.207945155697182,0,0CL
81,ATOM,82,d,A,13,5.926158716480871,-2.9306200983115183,12.209475862142584,0,0CL
82,ATOM,83,p,A,13,6.619741141807129,-3.6510825483731773,12.041418498930847,0,0CL
83,ATOM,84,q,A,13,8.746879942835205,-3.578976459457497,14.213250498212133,0,0CL
84,ATOM,85,COM,A,14,-0.03657942065077522,3.082142642821303,14.159660244923103,0,0CL
85,ATOM,86,b,A,14,-1.1537530058755954,2.470436432916341,13.348278896086669,0,0CL
86,ATOM,87,c,A,14,-1.2542659268467242,4.028846481055827,14.879827874923361,0,0CL
87,ATOM,88,d,A,14,0.480492393906962,1.902259345534214,12.614613597286521,0,0CL
88,ATOM,89,p,A,14,0.7499737631589574,2.8756082033337433,12.521593208949195,0,0CL
89,ATOM,90,q,A,14,-0.2895791232070764,4.478240818078956,14.886617627132395,0,0CL
90,ATOM,91,COM,A,15,4.9604006699635415,-2.1927423510164545,13.975955928725202,0,0CL
91,ATOM,92,b,A,15,3.8378224931853726,-1.4844923282487568,13.254398486610597,0,0CL
92,ATOM,93,c,A,15,5.198526016020683,-0.7129928247181668,14.783874030382254,0,0CL
93,ATOM,94,d,A,15,4.134454145266535,-3.1313611223256124,12.400003473704095,0,0CL
94,ATOM,95,p,A,15,5.10773508600173,-2.869879763599717,12.283132992228076,0,0CL
95,ATOM,96,q,A,15,6.071999784602275,-1.3197301199706744,14.715489601237051,0,0CL
96,ATOM,97,COM,A,16,-2.5738037811500543,-1.3447059125859948,14.233378709213651,0,0CL
97,ATOM,98,b,A,16,-3.573034322507218,-0.6494449520670617,13.339557965441522,0,0CL
98,ATOM,99,c,A,16,-2.4570602429686192,0.14810100985867458,15.0426972117787,0,0CL
99,ATOM,100,d,A,16,-3.1553487554104707,-2.310201497174114,12.567340078493054,0,0CL
100,ATOM,101,p,A,16,-2.1756473408221524,-2.0503757522627515,12.59396188412124,0,0CL
101,ATOM,102,q,A,16,-1.5844149927412938,-0.4586824626969008,15.116440582254098,0,0CL
102,ATOM,103,COM,A,17,0.2931222458304766,-4.768438333853328,14.102483852995427,0,0CL
103,ATOM,104,b,A,17,1.3937829597952258,-4.145161773626747,13.277590331256505,0,0CL
104,ATOM,105,c,A,17,1.525262584775703,-5.724904474590781,14.78541628506082,0,0CL
105,ATOM,106,d,A,17,-0.2549017388413305,-3.567513730637902,12.584282677387826,0,0CL
106,ATOM,107,p,A,17,-0.525743219028448,-4.539497523475244,12.48313229888347,0,0CL
107,ATOM,108,q,A,17,0.5595425683382967,-6.175175115438397,14.80506825297208,0,0CL
108,ATOM,109,COM,A,18,7.9021688366734635,-0.3175953795892591,13.600778785392198,0,0CL
109,ATOM,110,b,A,18,7.68408363234378,-1.5598279279844471,12.769406943578854,0,0CL
110,ATOM,111,c,A,18,6.666240734008844,-0.928243926086196,14.59927319083722,0,0CL
111,ATOM,112,d,A,18,8.804141671797902,-0.39900473404558146,11.804927031570475,0,0CL
112,ATOM,113,p,A,18,8.098842363402442,0.3225835847097219,11.89877895649882,0,0CL
113,ATOM,114,q,A,18,6.7648421733261435,0.13212578614801537,14.624804143441034,0,0CL
114,ATOM,115,COM,A,19,-1.582044478866298,-9.886955343138894,13.38510154191962,0,0CL
115,ATOM,116,b,A,19,-2.674011178988405,-10.261716409978725,12.410745924803638,0,0CL
116,ATOM,117,c,A,19,-2.8232917619668423,-9.14910275333434,14.28750540822018,0,0CL
117,ATOM,118,d,A,19,-1.0166088490553709,-10.632080719542069,11.604894328705289,0,0CL
118,ATOM,119,p,A,19,-0.7452484915796957,-9.66989387805876,11.773814542022219,0,0CL
119,ATOM,120,q,A,19,-1.8596946589456718,-8.722916891861761,14.439805226112616,0,0CL
120,ATOM,121,COM,A,20,-3.142165951225626,4.7009513443381525,13.940341552137099,0,0CL
121,ATOM,122,b,A,20,-3.0243629447687943,5.84464010948914,12.960296930633987,0,0CL
122,ATOM,123,c,A,20,-1.8068347730449639,5.408028114133497,14.723925042388398,0,0CL
123,ATOM,124,d,A,20,-4.237535145391962,4.592696134664193,12.25699365640969,0,0CL
124,ATOM,125,p,A,20,-3.5213546885236826,3.881195617770441,12.349554812732407,0,0CL
125,ATOM,126,q,A,20,-1.8959615954668851,4.357570376432446,14.87521598999925,0,0CL
126,ATOM,127,COM,A,21,5.740462031485859,-7.28601379691297,13.449050576052421,0,0CL
127,ATOM,128,b,A,21,6.6483943515266395,-7.851347693414206,12.383109448366621,0,0CL
128,ATOM,129,c,A,21,5.64687218509658,-8.883527769038231,14.031932253168304,0,0CL
129,ATOM,130,d,A,21,6.21482097786675,-6.08659960099072,11.90543560572835,0,0CL
130,ATOM,131,p,A,21,5.2334180259415435,-6.334507299963409,11.97153415898481,0,0CL
131,ATOM,132,q,A,21,4.799867437597568,-8.282532269607156,14.265862514951126,0,0CL
132,ATOM,133,COM,A,22,-4.682409912184566,-8.245734326379717,13.496473684006475,0,0CL
133,ATOM,134,b,A,22,-4.535419317495975,-6.889424092151986,12.848876344912014,0,0CL
134,ATOM,135,c,A,22,-3.3722868333855893,-7.772491417424025,14.476755616677607,0,0CL
135,ATOM,136,d,A,22,-5.724176552001648,-7.90828656523479,11.810022891168895,0,0CL
136,ATOM,137,p,A,22,-5.010499763127549,-8.625728531253296,11.738116935797887,0,0CL
137,ATOM,138,q,A,22,-3.465446059073021,-8.82599493627013,14.349061864096665,0,0CL
138,ATOM,139,COM,A,23,4.390151921757456,3.8160595691156196,13.874462826562647,0,0CL
139,ATOM,140,b,A,23,4.38343323410857,4.975307864342203,12.907389277523816,0,0CL
140,ATOM,141,c,A,23,5.841557286572025,4.484461354939135,14.461880497130547,0,0CL
141,ATOM,142,d,A,23,3.054839278722554,3.75944257854274,12.37246992986517,0,0CL
142,ATOM,143,p,A,23,3.761453951519876,3.033066672244919,12.34586641623416,0,0CL
143,ATOM,144,q,A,23,5.754156212161747,3.433948006408835,14.607602001211255,0,0CL
144,ATOM,145,COM,A,24,-2.6059943714775264,7.456990586485678,13.600995515158168,0,0CL
145,ATOM,146,b,A,24,-2.6408343210850465,6.09568759474669,12.946994488711152,0,0CL
146,ATOM,147,c,A,24,-4.021888820981256,6.960120368443415,14.405053283161973,0,0CL
147,ATOM,148,d,A,24,-1.347514555325389,7.135888252777816,12.064518101193018,0,0CL
148,ATOM,149,p,A,24,-2.059970650947087,7.838097372070457,11.897971817554629,0,0CL
149,ATOM,150,q,A,24,-3.9336226232168756,8.014882695550558,14.28613099068603,0,0CL
150,ATOM,151,COM,A,25,9.43886543898978,3.7524249641195038,13.133158261648553,0,0CL
151,ATOM,152,b,A,25,8.258497179163067,4.383669509376261,12.435041440996581,0,0CL
152,ATOM,153,c,A,25,9.753933110958874,5.3156751432190195,13.731206118952048,0,0CL
153,ATOM,154,d,A,25,8.47152852499721,2.641813741439763,11.763969813375212,0,0CL
154,ATOM,155,p,A,25,9.430116720661754,2.8746105829677377,11.529356723997818,0,0CL
155,ATOM,156,q,A,25,10.614996680459912,4.693720636453889,13.658769106363998,0,0CL
156,ATOM,157,COM,A,26,2.8502824938571316,-9.13443786032378,13.432903685448528,0,0CL
157,ATOM,158,b,A,26,2.87133793560807,-7.765074926880876,12.796966719322729,0,0CL
158,ATOM,159,c,A,26,4.2818594720328855,-8.6485273792149,14.216019487808376,0,0CL
159,ATOM,160,d,A,26,1.5615430428048056,-8.793226135341333,11.927005552759653,0,0CL
160,ATOM,161,p,A,26,2.2699683398386434,-9.492954820574456,11.735330396350703,0,0CL
161,ATOM,162,q,A,26,4.190924870679819,-9.701601475980457,14.084342439701379,0,0CL
162,ATOM,163,COM,A,27,2.9693308133049663,-3.856433797952762,14.064373095025557,0,0CL
163,ATOM,164,b,A,27,1.802526824045848,-4.353236364866752,13.245443513097614,0,0CL
164,ATOM,165,c,A,27,1.8019346802236123,-3.022444402589333,14.980979857431402,0,0CL
165,ATOM,166,d,A,27,3.385947514238669,-4.809090280292383,12.343366950016362,0,0CL
166,ATOM,167,p,A,27,3.6556678238077014,-3.8318937757412503,12.370142799190877,0,0CL
167,ATOM,168,q,A,27,2.767806503037974,-2.573985879107332,14.992096269156928,0,0CL
168,ATOM,169,COM,A,28,-4.56682698635173,-2.9432572748987265,14.052829420719522,0,0CL
169,ATOM,170,b,A,28,-5.605239404832397,-3.444983469831898,13.07586704966166,0,0CL
170,ATOM,171,c,A,28,-5.848906383800678,-2.0818301301023023,14.768259845600195,0,0CL
171,ATOM,172,d,A,28,-3.9085849041489467,-3.932530275290543,12.429682387357175,0,0CL
172,ATOM,173,p,A,28,-3.6349356833835893,-2.9569996161240013,12.479058869619392,0,0CL
173,ATOM,174,q,A,28,-4.890549592573627,-1.642479339454547,14.916290732465729,0,0CL
174,ATOM,175,COM,A,29,3.3940259043656047,-6.4031690032490785,13.797298435551273,0,0CL
175,ATOM,176,b,A,29,3.244091475939883,-7.532421607101278,12.80528723406929,0,0CL
176,ATOM,177,c,A,29,2.0675152914444177,-7.1088391172032175,14.599895647158288,0,0CL
177,ATOM,178,d,A,29,4.4545025162082,-6.283703633576422,12.092544969156858,0,0CL
178,ATOM,179,p,A,29,3.7479624816148394,-5.566236678146079,12.210113448701044,0,0CL
179,ATOM,180,q,A,29,2.171498958227869,-6.061396962325763,14.762604986865535,0,0CL
180,ATOM,181,COM,A,30,12.338471059491479,5.548767252437153,12.268276981496939,0,0CL
181,ATOM,182,b,A,30,12.055136057150408,4.216841173132869,11.614729587869258,0,0CL
182,ATOM,183,c,A,30,11.202707100739733,5.06684138250012,13.440522982081244,0,0CL
183,ATOM,184,d,A,30,13.074823509076683,5.24938077448101,10.420948421980025,0,0CL
184,ATOM,185,p,A,30,12.375643201350757,5.980306001092348,10.491106888264806,0,0CL
185,ATOM,186,q,A,30,11.295359768401337,6.121869799065393,13.330857475129509,0,0CL
186,ATOM,187,COM,A,31,10.290100662222176,-1.2218597024347941,13.135068971280084,0,0CL
187,ATOM,188,b,A,31,11.11467479370871,-1.896916689949669,12.065221989095,0,0CL
188,ATOM,189,c,A,31,10.292389489400675,-2.7392552851071508,13.909173878225271,0,0CL
189,ATOM,190,d,A,31,10.592235013003968,-0.20976336350350822,11.423609700716055,0,0CL
190,ATOM,191,p,A,31,9.627787362276845,-0.4638972241593171,11.609218724944602,0,0CL
191,ATOM,192,q,A,31,9.454018515549224,-2.128142200104749,14.148012542478316,0,0CL
192,ATOM,193,COM,A,32,-7.127084990368038,1.3960081733252734,13.793437202795161,0,0CL
193,ATOM,194,b,A,32,-7.084319291134062,0.12465203922131979,12.979083670694266,0,0CL
194,ATOM,195,c,A,32,-8.603388033872408,0.8012072504019605,14.400562548855888,0,0CL
195,ATOM,196,d,A,32,-5.73163935745319,1.2671517991655428,12.351166243364425,0,0CL
196,ATOM,197,p,A,32,-6.436072258784099,1.9824699687778362,12.20582800426316,0,0CL
197,ATOM,198,q,A,32,-8.518903118656796,1.8633150804696026,14.417392771968212,0,0CL
198,ATOM,199,COM,A,33,7.747604782567992,-5.642328921813923,13.357913272224245,0,0CL
199,ATOM,200,b,A,33,8.712784517407181,-5.002133261524584,12.388885617302904,0,0CL
200,ATOM,201,c,A,33,9.066932180312305,-6.607899956599121,13.831483535590698,0,0CL
201,ATOM,202,d,A,33,6.978824025341071,-4.416072604187503,11.96066147286992,0,0CL
202,ATOM,203,p,A,33,6.69458587488523,-5.386563677146988,11.884073281016546,0,0CL
203,ATOM,204,q,A,33,8.115921235095037,-7.060070412151049,13.98768232304726,0,0CL
204,ATOM,205,COM,A,34,7.34302496944792,5.643706455888623,13.307310623452961,0,0CL
205,ATOM,206,b,A,34,8.234662900726125,4.841011686013384,12.39094993795792,0,0CL
206,ATOM,207,c,A,34,7.309752137278643,4.247842214003907,14.281771467646841,0,0CL
207,ATOM,208,d,A,34,7.740661200210884,6.416224043284494,11.494070152597327,0,0CL
208,ATOM,209,p,A,34,6.769005585910463,6.175843568597607,11.65504404671633,0,0CL
209,ATOM,210,q,A,34,6.454321621342094,4.872831033614444,14.384292722839515,0,0CL
210,ATOM,211,COM,A,35,-4.138641221216196,-5.4989188907259114,13.89519485622664,0,0CL
211,ATOM,212,b,A,35,-4.151185229380738,-6.645126083648967,12.911810028831681,0,0CL
212,ATOM,213,c,A,35,-5.57790876434766,-6.176292810107871,14.502051933823589,0,0CL
213,ATOM,214,d,A,35,-2.8324590454238567,-5.421390073590478,12.368081760822129,0,0CL
214,ATOM,215,p,A,35,-3.540743079823264,-4.694854733557562,12.3648995763293,0,0CL
215,ATOM,216,q,A,35,-5.4878892803963994,-5.127082583027725,14.660416677057627,0,0CL
216,ATOM,217,COM,A,36,-9.976661086214527,8.293747621266835,12.561493785956833,0,0CL
217,ATOM,218,b,A,36,-9.915366480360579,6.921600591240388,11.932900515802903,0,0CL
218,ATOM,219,c,A,36,-11.499371477387067,7.810296475274395,13.152947971886555,0,0CL
219,ATOM,220,d,A,36,-8.502866780568636,7.94785522525426,11.238494997209688,0,0CL
220,ATOM,221,p,A,36,-9.180495626777036,8.646389686271402,10.953679699941887,0,0CL
221,ATOM,222,q,A,36,-11.392331314065807,8.862471234249414,13.030173055832835,0,0CL
222,ATOM,223,COM,A,37,11.808603462878239,2.799586177540578,12.671632590717737,0,0CL
223,ATOM,224,b,A,37,11.68193613816384,3.9777075669003703,11.735253190697293,0,0CL
224,ATOM,225,c,A,37,13.34529973299295,3.4321022993390238,13.046495137634025,0,0CL
225,ATOM,226,d,A,37,10.263346805425186,2.7945820116000775,11.385068631592397,0,0CL
226,ATOM,227,p,A,37,10.943742256535797,2.0572018533407292,11.241463157067923,0,0CL
227,ATOM,228,q,A,37,13.259381967934404,2.380224114208954,13.18712380219012,0,0CL
228,ATOM,229,COM,A,38,1.2444449530202546,-21.56553132390911,9.607033576304024,0,0CL
229,ATOM,230,b,A,38,1.2984798203973322,-20.0781711653455,9.347678622957908,0,0CL
230,ATOM,231,c,A,38,2.6555632643253637,-21.321089518723173,10.52842562932861,0,0CL
231,ATOM,232,d,A,38,0.006690198402690301,-20.826111138459275,8.205426300077582,0,0CL
232,ATOM,233,p,A,38,0.7151205873540672,-21.46419206063886,7.859980036874866,0,0CL
233,ATOM,234,q,A,38,2.5596324528441396,-22.302911122002737,10.12623957941875,0,0CL
234,ATOM,235,COM,A,39,5.94643291581666,-10.69476473872825,12.830320415577384,0,0CL
235,ATOM,236,b,A,39,4.7344067425578915,-11.087948767947646,12.019146652131788,0,0CL
236,ATOM,237,c,A,39,4.831292636079241,-10.01108272428377,13.920829498360458,0,0CL
237,ATOM,238,d,A,39,6.26443427021575,-11.393517459048885,10.971902869802244,0,0CL
238,ATOM,239,p,A,39,6.530111970477961,-10.425342324089561,11.118713181531014,0,0CL
239,ATOM,240,q,A,39,5.793324430808864,-9.556567801790573,13.938236714114545,0,0CL
240,ATOM,241,COM,A,40,-2.883354328020337,9.909459553138758,13.128051097588722,0,0CL
241,ATOM,242,b,A,40,-3.9652180163901587,9.208440531909314,12.341071242915572,0,0CL
242,ATOM,243,c,A,40,-4.119375691546341,10.964174837162204,13.636232028512687,0,0CL
243,ATOM,244,d,A,40,-2.304070439217931,8.521474481968287,11.79414494707375,0,0CL
244,ATOM,245,p,A,40,-2.0069114609682694,9.46791747966578,11.58464269468734,0,0CL
245,ATOM,246,q,A,40,-3.147001759988982,11.396991953999839,13.641260010220682,0,0CL
246,ATOM,247,COM,A,41,10.388937026241937,-4.7238053148752215,12.936002900196545,0,0CL
247,ATOM,248,b,A,41,9.111218030166157,-5.2089061567426365,12.292124541896918,0,0CL
248,ATOM,249,c,A,41,9.371380300155197,-3.9090059833723516,14.031380167889276,0,0CL
249,ATOM,250,d,A,41,10.542818876861526,-5.645959415108405,11.154647744290475,0,0CL
250,ATOM,251,p,A,41,10.813225864175076,-4.66834168527334,11.157751858358885,0,0CL
251,ATOM,252,q,A,41,10.328932633578132,-3.4590637745167943,13.905958728547892,0,0CL
252,ATOM,253,COM,A,42,4.924876331692644,6.568416531907379,13.503283685458024,0,0CL
253,ATOM,254,b,A,42,4.766818337442627,5.220591762576751,12.840414119379991,0,0CL
254,ATOM,255,c,A,42,3.6351864339864504,6.081488054003274,14.501659679340426,0,0CL
255,ATOM,256,d,A,42,5.934625407232257,6.254872119776292,11.791803710095099,0,0CL
256,ATOM,257,p,A,42,5.219558904739928,6.972419772814537,11.743696926449346,0,0CL
257,ATOM,258,q,A,42,3.7259819386241317,7.13673971192952,14.387466357375079,0,0CL
258,ATOM,259,COM,A,43,10.76657914273025,-7.264787956727525,12.562181223912802,0,0CL
259,ATOM,260,b,A,43,10.469371363676887,-8.376953790321453,11.5841558179767,0,0CL
260,ATOM,261,c,A,43,9.575236684862272,-7.986656800789541,13.542204958346613,0,0CL
261,ATOM,262,d,A,43,11.560441987110092,-7.113539468455244,10.720991206801973,0,0CL
262,ATOM,263,p,A,43,10.879852240804597,-6.398812783187455,10.955436003268009,0,0CL
263,ATOM,264,q,A,43,9.702658151019659,-6.942162732545706,13.706640086484608,0,0CL
