,Type,Index,Particle,Molecule,Molecule Index,X,Y,Z,Occupancy,Atom
0,ATOM,254,b,A,42,4.894532876374117,-5.442864016442909,-8.605752452065957,0,0CL
1,ATOM,255,c,A,42,3.7018057673031732,-6.134378070203687,-6.908129008325117,0,0CL
2,ATOM,256,d,A,42,4.844406904604188,-3.658743733753096,-9.194581123114595,0,0CL
3,ATOM,257,p,A,42,3.8326910892454236,-3.688203396476018,-9.124693805057523,0,0CL
4,ATOM,258,q,A,42,3.001687233639588,-5.353911312082634,-6.7201937048592,0,0CL
5,ATOM,499,COM,A,83,-5.818093169179,12.611700038225505,-8.982127270580403,0,0CL
6,ATOM,500,b,A,83,-4.874604397444347,11.551242729152086,-9.498003450727747,0,0CL
7,ATOM,501,c,A,83,-6.387354539913185,11.403727507711386,-7.925386120954277,0,0CL
8,ATOM,502,d,A,83,-4.78976519250824,13.026663786633659,-10.659235990939129,0,0CL
9,ATOM,503,p,A,83,-5.79473695683693,12.963145614072284,-10.776539847041786,0,0CL
10,ATOM,504,q,A,83,-7.102173911749321,12.159481003408693,-8.151361604998678,0,0CL
11,ATOM,571,COM,A,95,7.721392306673739,1.7151244772152283,-7.83902793440421,0,0CL
12,ATOM,572,b,A,95,7.24359554593974,0.4979733061968831,-8.594821743799839,0,0CL
13,ATOM,573,c,A,95,6.3860553554378425,1.4435193401643107,-6.818040238008434,0,0CL
14,ATOM,574,d,A,95,8.581762628869328,1.332656511185359,-9.616848556302308,0,0CL
15,ATOM,575,p,A,95,8.044780757052564,2.192536992704487,-9.574398269582229,0,0CL
16,ATOM,576,q,A,95,6.707955368383006,2.4578665500469548,-6.856836107237243,0,0CL
17,ATOM,991,COM,A,165,0.5908279774466754,4.240845625987936,-7.306124542224281,0,0CL
18,ATOM,992,b,A,165,0.23061314483972437,2.9831466103865103,-8.05982969712584,0,0CL
19,ATOM,993,c,A,165,-0.8757026489883725,4.004217714239839,-6.474131060813671,0,0CL
20,ATOM,994,d,A,165,1.6972037519117447,3.7818648493994016,-8.921747422849236,0,0CL
21,ATOM,995,p,A,165,1.1559877363021183,4.635994710889728,-8.999621707167814,0,0CL
22,ATOM,996,q,A,165,-0.5562535431844502,5.018749241803811,-6.516921811915241,0,0CL
23,ATOM,1609,COM,A,268,7.832673117790092,4.303924005455323,-8.00438386463118,0,0CL
24,ATOM,1610,b,A,268,6.5038484453238,3.9380339464161627,-8.623579677392494,0,0CL
25,ATOM,1611,c,A,268,6.961300501622672,5.50097096722348,-7.163485336201591,0,0CL
26,ATOM,1612,d,A,268,7.854962478935847,3.019403730864319,-9.551961277410431,0,0CL
27,ATOM,1613,p,A,268,8.30970384331423,3.9102752257159072,-9.72501407624424,0,0CL
28,ATOM,1614,q,A,268,7.991038689708715,5.731153763208142,-7.311516226322335,0,0CL
29,ATOM,1633,COM,A,272,5.051483577652332,3.9944777196831596,-7.587249907670071,0,0CL
30,ATOM,1634,b,A,272,6.150799145063087,4.230078777460066,-8.596765348276493,0,0CL
31,ATOM,1635,c,A,272,6.145971338788747,2.9218736964961605,-6.843595317039686,0,0CL
32,ATOM,1636,d,A,272,4.575979316893125,5.022219041514654,-9.248413497868167,0,0CL
33,ATOM,1637,p,A,272,4.11116131087461,4.126224741537425,-9.149517412559845,0,0CL
34,ATOM,1638,q,A,272,5.121714418188473,2.694634096541581,-6.66499821511767,0,0CL
35,ATOM,1777,COM,A,296,-11.49708017517883,7.584943165142666,-8.910748530051132,0,0CL
36,ATOM,1778,b,A,296,-10.461037408492166,6.608888628583751,-9.417684351688333,0,0CL
37,ATOM,1779,c,A,296,-12.127692893657088,6.261299141168774,-8.045240530612853,0,0CL
