Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.0423947, 1.48438e-10, 0.014997, 395.556, 0.0125045
0.0531615, 2.34546e-10, 0.0130701, 395.146, 0.0162342
0.142887, 1.737e-09, 0.100982, 392.805, 0.0374059
0.148902, 1.91762e-09, 0.244874, 392.779, 0.0663988
0.193583, 3.58484e-09, 1.30931, 392.608, 0.167129
0.218772, 4.81466e-09, 1.25789, 392.102, 0.175009
0.381806, 1.84062e-08, 4.26319, 391.966, 0.340895
0.427187, 2.45401e-08, 4.65746, 391.531, 0.392834
0.530018, 4.48583e-08, 4.22977, 388.964, 0.302542
0.616993, 7.2782e-08, 4.62001, 387.687, 0.459233
0.657455, 9.37496e-08, 3.20514, 385.25, 0.387474
0.721458, 1.55958e-07, 5.45057, 385.1, 0.417577
0.741564, 2.03821e-07, 4.11393, 382.413, 0.473256
0.744385, 2.70141e-07, 5.05944, 381.671, 0.462126
0.730337, 2.6947e-07, 4.3336, 380.98, 0.529219
0.721105, 2.69295e-07, 2.18101, 378.781, 0.381449
0.711388, 2.69177e-07, 1.90013, 378.499, 0.353837
0.703195, 2.6921e-07, 0.961816, 377.519, 0.249946
0.694562, 2.69313e-07, 0.754906, 377.296, 0.220406
0.687281, 2.69519e-07, 0.333493, 376.837, 0.145587
0.679577, 2.69801e-07, 0.230039, 376.711, 0.120687
0.671461, 2.70236e-07, 0.238585, 376.676, 0.122176
0.664631, 2.70684e-07, 0.142966, 376.556, 0.0946731
0.657427, 2.71286e-07, 0.130852, 376.501, 0.0900775
0.651351, 2.71873e-07, 0.0676318, 376.411, 0.0651469
0.644933, 2.72611e-07, 0.0545131, 376.356, 0.0582153
0.638163, 2.73492e-07, 0.0627777, 376.327, 0.0626764
0.631067, 2.74581e-07, 0.104522, 376.315, 0.0801724
0.625121, 2.7561e-07, 0.106473, 376.281, 0.0812423
0.618883, 2.76855e-07, 0.15785, 376.276, 0.0983821
0.613642, 2.78004e-07, 0.141166, 376.224, 0.0934771
0.608137, 2.79375e-07, 0.185508, 376.211, 0.106769
0.6035, 2.80622e-07, 0.144757, 376.135, 0.0948584
0.598625, 2.82093e-07, 0.168019, 376.101, 0.101916
0.59451, 2.83421e-07, 0.113735, 376.01, 0.084464
