Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
836625, 1.46019e-05, 6.73076, 837764, 0.267828
836624, 1.2352e-05, 4.71629, 837760, 0.283768
836619, 5.59747e-06, 12.0664, 837760, 0.352114
836615, 2.34058e-06, 17.1218, 837758, 0.53086
836611, 7.02038e-07, 12.2435, 837748, 0.483466
836610, 3.92113e-07, 15.2143, 837746, 0.559929
836612, 9.86628e-07, 12.8423, 837741, 0.592964
836615, 2.76954e-06, 9.44543, 837737, 0.492536
836618, 5.66458e-06, 9.01547, 837736, 0.507847
836620, 8.80669e-06, 7.78759, 837733, 0.500059
836622, 1.1811e-05, 9.55251, 837733, 0.572756
836622, 1.33908e-05, 11.6242, 837731, 0.64352
836621, 1.261e-05, 18.219, 837729, 0.894202
836620, 1.11554e-05, 14.5694, 837724, 0.867887
836619, 1.00282e-05, 11.1496, 837720, 0.765732
836619, 9.2008e-06, 5.92347, 837714, 0.55118
836618, 8.37921e-06, 5.28699, 837713, 0.510552
836618, 7.76316e-06, 2.91012, 837709, 0.370807
836617, 7.15009e-06, 2.48778, 837708, 0.336994
836616, 6.57275e-06, 3.14421, 837708, 0.372192
836616, 6.11872e-06, 2.43442, 837707, 0.324118
836616, 5.68916e-06, 2.80204, 837707, 0.343102
836615, 5.34772e-06, 1.92734, 837705, 0.28383
836615, 5.02252e-06, 1.99136, 837705, 0.285791
836615, 4.76239e-06, 1.20634, 837704, 0.223473
836614, 4.51237e-06, 1.11201, 837703, 0.213283
836614, 4.26371e-06, 1.44467, 837703, 0.243087
836614, 4.07487e-06, 1.17591, 837702, 0.218848
836614, 3.88522e-06, 1.36647, 837702, 0.236637
836613, 3.74065e-06, 0.977354, 837701, 0.200145
836613, 3.59459e-06, 1.00813, 837701, 0.204426
836613, 3.45563e-06, 1.50768, 837701, 0.248491
836613, 3.34457e-06, 1.37755, 837700, 0.239171
836613, 3.23933e-06, 1.84191, 837700, 0.275713
836612, 3.15429e-06, 1.47849, 837700, 0.249068
836612, 3.07395e-06, 1.75607, 837700, 0.271099
836612, 3.00863e-06, 1.23106, 837699, 0.229227
836612, 2.94693e-06, 1.29353, 837699, 0.234968
836612, 2.89677e-06, 0.788847, 837698, 0.185663
836612, 2.84923e-06, 0.731743, 837697, 0.178891
836612, 2.80155e-06, 0.957067, 837697, 0.206206
836612, 2.76629e-06, 0.777567, 837697, 0.18623
836612, 2.73077e-06, 0.903198, 837697, 0.202457
836612, 2.70481e-06, 0.640543, 837696, 0.170884
836612, 2.67875e-06, 0.656766, 837696, 0.174732
836612, 2.65543e-06, 0.975107, 837696, 0.212897
836611, 2.63726e-06, 0.880979, 837696, 0.204321
836611, 2.62174e-06, 1.16374, 837696, 0.235146
836611, 2.6097e-06, 0.919774, 837695, 0.211091
836611, 2.60014e-06, 1.07526, 837695, 0.228723
836611, 2.59327e-06, 0.580195, 837694, 0.169881
836611, 2.58836e-06, 0.482572, 837694, 0.155252
836611, 2.58428e-06, 0.57133, 837694, 0.170544
836611, 2.583e-06, 0.414586, 837694, 0.145609
836611, 2.58262e-06, 0.433202, 837693, 0.150334
836611, 2.58459e-06, 0.653781, 837693, 0.184963
836611, 2.58732e-06, 0.602015, 837693, 0.17915
836611, 2.59239e-06, 0.808386, 837693, 0.208082
836611, 2.59754e-06, 0.651082, 837693, 0.188487
836611, 2.60497e-06, 0.773532, 837692, 0.205992
836611, 2.61201e-06, 0.541965, 837692, 0.174082
836611, 2.62121e-06, 0.5676, 837692, 0.178605
836611, 2.62974e-06, 0.344778, 837691, 0.140606
836611, 2.64026e-06, 0.317794, 837691, 0.135231
836611, 2.65241e-06, 0.413025, 837691, 0.155627
836611, 2.66416e-06, 0.33261, 837691, 0.139978
836611, 2.6775e-06, 0.38287, 837691, 0.151582
836611, 2.69334e-06, 0.631775, 837691, 0.195126
836611, 2.70767e-06, 0.642974, 837690, 0.198486
836611, 2.72111e-06, 0.387423, 837690, 0.154596
836611, 2.7361e-06, 0.34537, 837690, 0.147308
836611, 2.75343e-06, 0.449452, 837689, 0.168408
836611, 2.76896e-06, 0.349904, 837689, 0.149939
836611, 2.78676e-06, 0.402453, 837689, 0.161193
836611, 2.80266e-06, 0.272361, 837689, 0.133845
836611, 2.82074e-06, 0.275999, 837688, 0.135028
836611, 2.84093e-06, 0.392743, 837688, 0.16243
836611, 2.85928e-06, 0.348445, 837688, 0.153424
836611, 2.87968e-06, 0.440554, 837688, 0.173909
836611, 2.89815e-06, 0.340662, 837688, 0.153395
836611, 2.91864e-06, 0.380233, 837688, 0.163389
836611, 2.94176e-06, 0.608643, 837687, 0.207181
836611, 2.96228e-06, 0.598412, 837687, 0.206992
836611, 2.97172e-06, 0.477979, 837687, 0.186323
836611, 2.99206e-06, 0.41087, 837687, 0.174339
836611, 3.01489e-06, 0.518354, 837687, 0.195934
836611, 3.03512e-06, 0.386995, 837686, 0.170946
836611, 3.05777e-06, 0.429889, 837686, 0.180459
836611, 3.07783e-06, 0.277284, 837686, 0.146639
836611, 3.10024e-06, 0.270359, 837686, 0.145108
836611, 3.12508e-06, 0.375309, 837685, 0.171771
836611, 3.14727e-06, 0.319148, 837685, 0.158975
836611, 3.17182e-06, 0.391429, 837685, 0.177091
836611, 3.19374e-06, 0.289097, 837685, 0.152926
836611, 3.21797e-06, 0.311863, 837685, 0.159937
836611, 3.24498e-06, 0.48486, 837684, 0.199266
836611, 3.26889e-06, 0.458811, 837684, 0.195275
836611, 3.29554e-06, 0.631486, 837684, 0.22933
836611, 3.31909e-06, 0.52132, 837684, 0.209993
836611, 3.34533e-06, 0.633132, 837684, 0.23185
836611, 3.37e-06, 0.590775, 837684, 0.225516
836611, 3.39749e-06, 0.801863, 837684, 0.263174
836611, 3.42175e-06, 0.652274, 837683, 0.239089
836611, 3.44878e-06, 0.780878, 837683, 0.262196
836611, 3.4726e-06, 0.550719, 837683, 0.221945
836611, 3.49913e-06, 0.57949, 837682, 0.228257
836611, 3.52251e-06, 0.352304, 837682, 0.179676
836611, 3.54853e-06, 0.324727, 837682, 0.173002
836611, 3.57721e-06, 0.429224, 837682, 0.199856
836611, 3.60275e-06, 0.344462, 837681, 0.179733
836611, 3.63087e-06, 0.401542, 837681, 0.195129
836611, 3.65592e-06, 0.279343, 837681, 0.163547
836611, 3.68348e-06, 0.285887, 837681, 0.166528
836611, 3.71417e-06, 0.422529, 837681, 0.202411
836611, 3.74117e-06, 0.378474, 837680, 0.192892
836611, 3.77128e-06, 0.49466, 837680, 0.220766
836611, 3.79772e-06, 0.385687, 837680, 0.196392
836611, 3.82723e-06, 0.444201, 837680, 0.21113
836611, 3.85311e-06, 0.299843, 837679, 0.174955
836611, 3.882e-06, 0.30326, 837679, 0.176325
836611, 3.91369e-06, 0.436698, 837679, 0.212411
836611, 3.94204e-06, 0.385724, 837679, 0.200263
836611, 3.97303e-06, 0.491318, 837679, 0.22705
836611, 4.00082e-06, 0.377314, 837678, 0.199749
836611, 4.03113e-06, 0.423229, 837678, 0.212646
836611, 4.05832e-06, 0.281319, 837678, 0.174206
836611, 4.08797e-06, 0.276658, 837678, 0.17381
836611, 4.10496e-06, 0.346802, 837678, 0.194945
836611, 4.13391e-06, 0.298498, 837677, 0.182023
836611, 4.16639e-06, 0.375266, 837677, 0.204206
836611, 4.19466e-06, 0.280308, 837677, 0.177796
836611, 4.22643e-06, 0.310174, 837677, 0.18731
836611, 4.261e-06, 0.486533, 837677, 0.235142
836611, 4.29221e-06, 0.471502, 837677, 0.23213
836611, 4.32593e-06, 0.655404, 837677, 0.27464
836611, 4.35653e-06, 0.553885, 837676, 0.253347
836611, 4.38944e-06, 0.679652, 837676, 0.281786
836611, 4.41941e-06, 0.498533, 837676, 0.242305
836611, 4.45156e-06, 0.537801, 837676, 0.25283
836611, 4.48082e-06, 0.34071, 837675, 0.202225
836611, 4.51228e-06, 0.321727, 837675, 0.197601
836611, 4.54795e-06, 0.440611, 837675, 0.231369
836611, 4.57861e-06, 0.362793, 837675, 0.211221
836611, 4.61354e-06, 0.438355, 837674, 0.232487
836611, 4.64347e-06, 0.313062, 837674, 0.197832
