Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.0187402, 6.09296e-11, 0.00904318, 890.888, 0.00661839
0.0235357, 9.84467e-11, 0.00451207, 890.7, 0.00771088
0.0715991, 1.02258e-09, 0.0529301, 889.405, 0.017661
0.0903572, 1.68544e-09, 0.00939503, 888.931, 0.0122056
0.10391, 2.29295e-09, 0.0203129, 888.65, 0.0149872
0.108766, 2.60002e-09, 0.105072, 888.62, 0.036746
0.130497, 4.28451e-09, 0.655794, 888.571, 0.109955
0.142259, 5.44902e-09, 0.431243, 888.089, 0.103485
0.1765, 9.99505e-09, 1.07858, 887.995, 0.141178
0.20034, 1.44115e-08, 0.98874, 887.259, 0.149861
0.262059, 3.1784e-08, 1.73996, 886.719, 0.246252
0.292793, 4.48838e-08, 1.20189, 885.553, 0.235737
0.347708, 7.96843e-08, 2.16936, 885.353, 0.30846
0.385804, 1.16818e-07, 2.77981, 885.018, 0.395528
0.425406, 1.75205e-07, 2.44014, 883.623, 0.399714
0.456384, 2.46347e-07, 2.59716, 882.973, 0.428679
0.452368, 2.47374e-07, 1.12207, 881.421, 0.341336
0.449068, 2.48413e-07, 0.566374, 880.872, 0.253667
0.445553, 2.49609e-07, 0.50529, 880.793, 0.242379
0.44258, 2.50705e-07, 0.261473, 880.538, 0.176399
0.43943, 2.51965e-07, 0.209197, 880.472, 0.159207
0.436764, 2.53122e-07, 0.0941792, 880.343, 0.107828
0.433933, 2.54435e-07, 0.065937, 880.302, 0.091055
0.430939, 2.55941e-07, 0.06867, 880.286, 0.0934176
0.428411, 2.57307e-07, 0.0417049, 880.246, 0.0734886
0.425736, 2.58868e-07, 0.038302, 880.224, 0.0706709
0.42291, 2.60632e-07, 0.0498648, 880.218, 0.081413
0.420538, 2.62247e-07, 0.0400795, 880.189, 0.0731876
0.418026, 2.64063e-07, 0.0461521, 880.177, 0.0793002
0.415916, 2.65719e-07, 0.0323596, 880.144, 0.0664951
0.41368, 2.67575e-07, 0.0327785, 880.127, 0.0676189
0.411331, 2.69686e-07, 0.0480715, 880.117, 0.0820145
0.409353, 2.7158e-07, 0.0427719, 880.095, 0.0781095
0.407277, 2.7373e-07, 0.0557388, 880.082, 0.0892654
0.405526, 2.75653e-07, 0.0432694, 880.053, 0.0794058
0.403687, 2.7783e-07, 0.0498505, 880.034, 0.0852824
0.402133, 2.79772e-07, 0.0336022, 880, 0.0707052
0.400501, 2.81966e-07, 0.0341342, 879.976, 0.0712239
0.399617, 2.83215e-07, 0.0418514, 879.972, 0.0804003
0.398237, 2.85448e-07, 0.0372197, 879.941, 0.0757863
0.396774, 2.87928e-07, 0.0469733, 879.929, 0.0857876
0.395557, 2.90168e-07, 0.0362865, 879.892, 0.0755144
0.394266, 2.92653e-07, 0.0402933, 879.874, 0.0802949
0.392924, 2.95456e-07, 0.0651169, 879.868, 0.101593
0.391794, 2.97945e-07, 0.0635674, 879.845, 0.101285
0.391314, 2.99092e-07, 0.0513419, 879.82, 0.0911234
0.390298, 3.01559e-07, 0.043738, 879.79, 0.0849876
0.389242, 3.04333e-07, 0.0553179, 879.771, 0.0953028
0.38835, 3.06793e-07, 0.0408959, 879.736, 0.082921
0.387426, 3.09556e-07, 0.0455447, 879.711, 0.0873124
0.386623, 3.12078e-07, 0.033072, 879.677, 0.0753672
0.385791, 3.14907e-07, 0.0363311, 879.651, 0.0787582
0.384917, 3.18048e-07, 0.0556193, 879.643, 0.098012
0.384203, 3.20866e-07, 0.0533802, 879.611, 0.0959656
0.38345, 3.23992e-07, 0.0724804, 879.605, 0.112556
0.382839, 3.26792e-07, 0.060583, 879.563, 0.102975
0.382192, 3.299e-07, 0.0725902, 879.55, 0.113542
0.38167, 3.32672e-07, 0.0526439, 879.501, 0.0968288
0.381116, 3.3576e-07, 0.0553735, 879.479, 0.100159
0.380559, 3.39189e-07, 0.0849283, 879.473, 0.123637
0.380092, 3.42262e-07, 0.0783207, 879.443, 0.119733
0.379628, 3.4565e-07, 0.106175, 879.436, 0.139177
0.379237, 3.4871e-07, 0.0853242, 879.393, 0.125861
0.378853, 3.52047e-07, 0.101972, 879.375, 0.137454
0.378529, 3.55091e-07, 0.070966, 879.322, 0.115793
0.378214, 3.58376e-07, 0.0745607, 879.292, 0.118574
0.377948, 3.61395e-07, 0.0446319, 879.241, 0.0928494
0.377692, 3.6463e-07, 0.041126, 879.205, 0.0889953
0.377426, 3.68362e-07, 0.0535923, 879.19, 0.102331
0.377227, 3.71532e-07, 0.042955, 879.148, 0.0915865
0.377021, 3.75245e-07, 0.049325, 879.127, 0.0989451
0.376835, 3.79133e-07, 0.0821309, 879.122, 0.12715
0.376684, 3.82877e-07, 0.0830277, 879.098, 0.128823
0.376583, 3.85881e-07, 0.0494996, 879.034, 0.0996476
0.376479, 3.89571e-07, 0.0436087, 879.003, 0.094458
0.376397, 3.93289e-07, 0.0569814, 878.98, 0.107585
0.376334, 3.96982e-07, 0.0436755, 878.943, 0.0951849
0.376296, 4.00604e-07, 0.0502776, 878.915, 0.101819
0.37627, 4.04275e-07, 0.0333074, 878.873, 0.0838945
0.376268, 4.07828e-07, 0.0337039, 878.841, 0.0841213
0.376272, 4.10137e-07, 0.0421978, 878.834, 0.0947734
0.376299, 4.13555e-07, 0.0373098, 878.795, 0.088882
0.376333, 4.18047e-07, 0.0466978, 878.775, 0.100202
0.376403, 4.22165e-07, 0.0843776, 878.773, 0.133964
0.376469, 4.26856e-07, 0.0933083, 878.755, 0.141864
0.376555, 4.29863e-07, 0.0616174, 878.691, 0.115399
0.376649, 4.34479e-07, 0.0596182, 878.663, 0.11447
0.376717, 4.36393e-07, 0.0749673, 878.658, 0.128076
0.376834, 4.41061e-07, 0.0633837, 878.62, 0.118755
0.376988, 4.44629e-07, 0.0794673, 878.599, 0.132634
0.377123, 4.4935e-07, 0.0582911, 878.553, 0.114662
0.377298, 4.52779e-07, 0.0643091, 878.524, 0.120174
0.377452, 4.57444e-07, 0.0406663, 878.476, 0.0966508
0.377643, 4.60852e-07, 0.0393854, 878.44, 0.0948769
0.377856, 4.66473e-07, 0.0537313, 878.424, 0.111535
0.378065, 4.69592e-07, 0.0453136, 878.382, 0.102315
0.378295, 4.75307e-07, 0.0545704, 878.362, 0.113084
0.378574, 4.78978e-07, 0.0948328, 878.362, 0.148469
0.378699, 4.82189e-07, 0.102361, 878.356, 0.15497
0.378938, 4.84533e-07, 0.0644194, 878.284, 0.123054
