E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
14.2849, 1487.95, 0, 1519.31, 0.103015
2.58075, 698.952, 284.568, 992.236, 1.2276
13.7427, 698.952, 305.541, 1024.37, 0.801079
9.84002, 698.952, 519.132, 1234.06, 0.386416
8.53314, 698.952, 597.398, 1311.02, 0.356844
4.59621, 698.952, 350.169, 1059.85, 0.485891
6.21964, 698.952, 378.805, 1090.11, 0.726806
9.43094, 698.952, 574.428, 1288.95, 0.579976
9.46071, 698.952, 324.203, 1038.75, 0.212193
4.08266, 698.952, 207.114, 916.284, 0.329266
4.85619, 698.952, 406.379, 1116.32, 1.10025
6.16668, 698.952, 434.867, 1146.12, 0.298615
10.3366, 698.952, 345.631, 1061.05, 0.212543
14.5854, 698.952, 518.864, 1238.54, 0.169373
12.3191, 698.952, 317.609, 1035.02, 0.513608
10.8243, 698.952, 419.761, 1135.67, 0.890429
8.29772, 698.952, 314.684, 1028.07, 0.284871
2.89286, 698.952, 258.642, 966.622, 0.496652
6.92474, 698.952, 260.494, 972.506, 1.14781
4.70677, 698.952, 359.137, 1068.93, 0.410342
4.73961, 698.952, 507.27, 1217.1, 0.641151
12.794, 698.952, 356.335, 1074.22, 0.486804
9.4168, 698.952, 350.056, 1064.56, 0.230613
7.59148, 698.952, 316.999, 1029.68, 0.310244
9.26685, 698.952, 417.08, 1131.43, 0.353655
2.29296, 698.952, 362.464, 1069.84, 0.433202
10.0999, 698.952, 355.312, 1070.5, 0.215318
5.20444, 698.952, 245.012, 955.304, 0.367579
7.37541, 698.952, 430.864, 1143.33, 1.11834
11.6167, 698.952, 328.213, 1044.92, 0.290274
8.54826, 698.952, 338.344, 1051.98, 0.623486
5.65205, 698.952, 378.875, 1089.61, 0.23839
5.18257, 698.952, 330.853, 1041.12, 0.618324
11.4759, 698.952, 590.411, 1306.97, 0.736396
7.87038, 698.952, 318.802, 1031.76, 1.06717
7.88147, 698.952, 339.213, 1052.18, 0.509331
3.96166, 698.952, 446.229, 1155.28, 0.435446
7.94512, 698.952, 294.419, 1007.45, 0.495653
7.58319, 698.952, 370.04, 1082.71, 1.10225
7.22242, 698.952, 582.719, 1295.03, 0.640584
6.46302, 698.952, 569.22, 1280.77, 0.438926
3.46672, 698.952, 239.045, 947.599, 0.633717
17.4136, 698.952, 276.734, 999.235, 1.22334
5.72714, 698.952, 296.388, 1007.2, 0.264239
3.75995, 698.952, 325.981, 1034.83, 0.443862
