E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
48.3146, 996.344, 0, 1061.73, 0.0368369
46.9988, 375.997, 513.998, 942.158, 0.334924
43.4731, 819.336, 178.937, 1046.99, 0.385656
48.7387, 883.18, 50.1991, 987.258, 0.121084
51.0683, 897.088, 18.9096, 972.147, 0.0766047
42.7249, 901.108, 11.1675, 960.018, 0.0453954
41.8249, 902.293, 8.01189, 957.096, 0.0412809
44.5378, 902.52, 5.89752, 957.877, 0.0426994
43.519, 902.393, 5.69607, 956.492, 0.029729
40.7433, 902.136, 5.73867, 953.47, 0.0279598
45.2308, 901.839, 5.61627, 957.511, 0.0167512
37.8061, 901.542, 4.81195, 948.961, 0.0212781
41.5709, 901.261, 6.18582, 953.799, 0.0293184
45.9061, 901.002, 3.42594, 955.098, 0.0141447
37.1824, 900.768, 4.07082, 946.771, 0.0157813
49.5354, 900.558, 4.73779, 959.568, 0.026864
43.5492, 900.371, 4.3571, 953.003, 0.0276395
42.0485, 900.205, 3.44056, 950.41, 0.0231855
44.7663, 900.058, 0.000421005, 949.532, 0.0167727
40.0946, 897.062, 0.0062907, 941.861, 0.0480425
36.1654, 894.669, 0.026683, 935.553, 0.0430668
43.4542, 892.734, 0.0561623, 940.93, 0.0235129
43.8032, 891.152, 0.0852432, 939.72, 0.0216286
45.233, 889.846, 0.0791678, 939.833, 0.0245894
41.4571, 888.759, 0.100956, 934.987, 0.0182805
39.5793, 887.848, 0.137286, 932.231, 0.0527399
43.1286, 887.079, 0.130838, 935.002, 0.0215137
41.3583, 886.427, 0.173667, 932.62, 0.0217489
43.7012, 885.872, 0.187834, 934.419, 0.038194
46.5093, 885.397, 0.000297026, 936.563, 0.0262776
34.2107, 884.685, 0.00175178, 923.552, 0.0892844
39.3644, 884.072, 0.00291981, 928.092, 0.0189421
40.8075, 883.544, 0.00514601, 929.008, 0.0238793
43.9204, 883.087, 0.00885411, 931.666, 0.0441982
40.0416, 882.691, 0.00847828, 927.39, 0.0517063
43.9512, 882.348, 0.0116567, 930.958, 0.020823
38.1322, 882.049, 0.014588, 924.843, 0.0153999
42.8709, 881.789, 0.014613, 929.321, 0.0212899
43.9272, 881.562, 0.0212759, 930.156, 0.0183285
38.762, 881.364, 0.0179218, 924.789, 0.0180021
46.9338, 881.191, 0.0218887, 932.791, 0.0697882
42.2387, 881.04, 1.99282e-05, 927.923, 0.016578
43.2753, 880.885, 7.10091e-05, 928.805, 0.0365303
37.3724, 880.75, 0.000160482, 922.766, 0.0230435
