E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
17.7043, 57.9426, 0, 80.7858, 0.00907753
15.5797, 6.90169, 82.7493, 106.532, 0.0707316
14.0708, 63.2667, 39.483, 118.176, 0.160402
14.7937, 50.5403, 13.3458, 80.0115, 0.196777
14.4632, 51.4565, 4.30045, 71.5598, 0.169952
15.957, 51.4361, 1.54699, 70.2666, 0.0663672
20.1122, 51.3956, 0.535601, 73.3697, 0.0238019
14.6957, 51.3615, 0.537811, 67.9158, 0.0119489
15.3609, 51.3315, 0.399364, 68.4093, 0.00950747
15.4542, 51.3054, 0.416799, 68.4908, 0.00531259
17.5723, 51.2826, 0.408909, 70.5755, 0.00602308
13.8238, 51.2627, 0.381622, 66.7774, 0.0110932
15.7649, 51.2453, 0.000268545, 68.3176, 0.00780075
14.7556, 50.7475, 0.00404577, 66.8109, 0.00526101
13.9521, 50.4304, 0.0111048, 65.6946, 0.00874485
14.4977, 50.2178, 0.0226951, 66.0369, 0.00522336
16.379, 50.069, 0.0308687, 67.7755, 0.00485361
13.1526, 49.9612, 0.0297938, 64.4385, 0.00510143
14.7581, 49.8807, 0.0001828, 65.9323, 0.00959839
12.3119, 49.6645, 0.000857126, 63.2691, 0.00930119
17.1717, 49.4908, 0.00214124, 67.9553, 0.00526736
16.6429, 49.3551, 0.000349584, 67.6955, 0.00621998
14.2001, 49.2144, 0.00169893, 65.1108, 0.0144722
14.0657, 49.1014, 0.000253807, 64.8598, 0.0121004
17.0655, 48.9916, 0.00119026, 67.7488, 0.0068603
15.5394, 48.9015, 0.00160217, 66.1313, 0.00765407
12.6856, 48.8269, 0.00248922, 63.2024, 0.00963909
17.9974, 48.7646, 6.45006e-05, 68.4483, 0.00879582
12.0783, 48.6973, 0.000278187, 62.4609, 0.0107981
16.7669, 48.6404, 4.95062e-05, 67.0913, 0.00721726
12.9423, 48.5882, 0.000197086, 63.2138, 0.00716854
16.8299, 48.5437, 0.00038645, 67.0563, 0.00530325
