E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
20.8315, 60.7356, 0, 87.6139, 0.0126826
19.4909, 13.6932, 40.0882, 74.8464, 0.284209
20.0576, 51.2771, 14.3541, 87.3274, 0.128135
14.5707, 53.8359, 3.75124, 73.7838, 0.0403029
16.969, 54.3932, 1.29212, 74.2765, 0.0153872
16.4899, 54.538, 0.795636, 73.4356, 0.0233022
16.9701, 54.5696, 0.587242, 73.7304, 0.0149112
18.4365, 54.5659, 0.509843, 75.1074, 0.0134521
19.8371, 54.5504, 0.266119, 76.2413, 0.0109942
16.9547, 54.5317, 0.329689, 73.3969, 0.00739527
15.3411, 54.5127, 0.26895, 71.6976, 0.00529956
17.3502, 54.4949, 0.275357, 73.6899, 0.00441434
17.0397, 54.4785, 0.248407, 73.3313, 0.00602397
17.0482, 54.4638, 0.000205314, 73.0726, 0.00905672
20.6744, 54.0888, 0.00141303, 76.3187, 0.00983582
19.8406, 53.8227, 0.00742073, 75.2193, 0.0039622
18.2591, 53.6278, 0.000480376, 73.4311, 0.0147487
19.2126, 53.4004, 0.00287633, 74.1554, 0.00141939
23.941, 53.2266, 0.0048483, 78.7083, 0.00586439
13.0255, 53.0911, 0.00890637, 67.6581, 0.00447422
14.6065, 52.9838, 0.0141808, 69.1342, 0.00527619
19.0984, 52.8975, 0.0107527, 74.0167, 0.00280372
19.7364, 52.827, 8.79671e-05, 74.5695, 0.0155018
18.8809, 52.7155, 0.000609172, 73.5993, 0.00887981
13.1116, 52.6233, 0.00135163, 67.7354, 0.00482518
33.5047, 52.5466, 0.00192986, 88.0496, 0.0150106
13.8672, 52.4823, 0.00398915, 68.3473, 0.00775143
16.4584, 52.428, 0.00348542, 70.8816, 0.00423002
15.6636, 52.3819, 0.00389366, 70.0393, 0.00822115
19.2123, 52.3427, 0.00559773, 73.5488, 0.0122566
17.5421, 52.3091, 0.00477842, 71.8428, 0.00629526
21.4992, 52.2803, 0.00810164, 75.7731, 0.00547365
15.1024, 52.2554, 0.00524705, 69.3475, 0.00656696
19.5272, 52.234, 8.20398e-06, 73.7446, 0.00525682
17.6789, 52.2063, 4.52528e-05, 71.8677, 0.010681
17.5507, 52.1823, 6.4453e-05, 71.7148, 0.00771466
20.3603, 52.1615, 0.000202305, 74.503, 0.00487017
19.7706, 52.1433, 0.000199692, 73.8946, 0.00519355
14.4762, 52.1275, 0.000218834, 68.5839, 0.00929852
15.4875, 52.1138, 2.89562e-06, 69.5808, 0.004982
20.1619, 52.1009, 1.21472e-05, 74.2418, 0.00990369
20.6459, 52.0896, 2.41938e-05, 75.3397, 0.0151378
17.2672, 52.0798, 2.80446e-05, 71.9506, 0.00999365
24.1712, 52.0711, 4.24356e-05, 78.8454, 0.00952821
18.8592, 52.0635, 6.67016e-05, 73.5254, 0.00400039
21.9565, 52.0569, 7.38869e-07, 76.6156, 0.0176465
15.2056, 52.0509, 1.74271e-06, 69.8583, 0.0115303
17.4738, 52.0456, 4.71705e-06, 72.121, 0.00578629
18.5488, 52.041, 7.21662e-06, 73.1911, 0.00278247
15.745, 52.0377, 7.72002e-06, 70.3838, 0.00813069
16.8548, 52.0348, 1.14545e-05, 71.4906, 0.00955233
17.1219, 52.0323, 1.42256e-05, 71.755, 0.0257074
13.4499, 52.0301, 1.28442e-05, 68.0807, 0.00351758
15.4296, 52.0282, 1.89694e-05, 70.0583, 0.00993049
13.3864, 52.0265, 1.49843e-05, 68.0133, 0.0145398
16.2824, 52.025, 1.33726e-05, 70.9077, 0.0098887
13.5941, 52.0237, 2.63383e-05, 68.218, 0.0241521
15.2599, 52.0225, 2.07633e-05, 69.8826, 0.0199775
12.4127, 52.0215, 2.21936e-05, 67.0344, 0.00389195
13.822, 52.0206, 2.73118e-05, 68.4427, 0.00745925
10.2784, 52.0198, 3.10948e-05, 64.8983, 0.00494497
16.4282, 52.0191, 2.24669e-05, 71.8691, 0.00914589
16.2211, 52.0185, 2.21894e-05, 71.6614, 0.00758246
18.4148, 52.018, 3.08838e-05, 73.8545, 0.00644821
15.6684, 52.0175, 2.38396e-05, 71.1075, 0.015245
12.271, 52.0171, 3.46708e-05, 67.7097, 0.00670905
16.9762, 52.0167, 2.05354e-05, 72.4145, 0.00303952
18.3482, 52.0164, 2.99398e-05, 73.7861, 0.0071487
15.5772, 52.0161, 2.46128e-05, 71.0148, 0.0155528
11.0553, 52.0158, 3.07431e-05, 66.4926, 0.00873542
16.4835, 52.0156, 2.60398e-05, 71.9206, 0.0157884
16.7814, 52.0154, 3.79521e-05, 72.2182, 0.00395258
13.4267, 52.0152, 2.88066e-05, 68.8633, 0.00519879
18.9766, 52.0151, 2.92665e-05, 74.4131, 0.00327957
14.2348, 52.015, 2.61591e-05, 69.6711, 0.0109712
14.8129, 52.0149, 3.02576e-05, 70.2492, 0.02257
16.2293, 52.0147, 2.95053e-05, 71.6654, 0.00452216
17.9873, 52.0147, 3.05379e-05, 73.4233, 0.0182665
17.2416, 52.0146, 2.217e-05, 72.6776, 0.00282102
13.1305, 52.0145, 2.95186e-05, 68.5663, 0.0111497
15.1233, 52.0144, 3.06254e-05, 70.5591, 0.0166824
17.9862, 52.0144, 3.81687e-05, 74.5033, 0.00497588
16.9413, 52.0143, 3.01601e-05, 73.4584, 0.00462609
15.1043, 52.0143, 2.7016e-05, 71.6213, 0.00643256
12.7125, 52.0143, 1.8034e-11, 69.2294, 0.0113724
18.8094, 52.0142, 5.26332e-11, 75.3262, 0.011063
11.6902, 52.0142, 1.22673e-10, 68.2071, 0.0181438
15.5887, 52.0142, 9.13307e-12, 72.1055, 0.00754073
15.5428, 52.0142, 2.57304e-11, 72.0596, 0.00539566
16.7696, 52.0141, 7.24512e-11, 73.2863, 0.00774246
14.4653, 52.0141, 8.53444e-11, 70.9821, 0.011186
14.3375, 52.0141, 1.22032e-10, 70.8542, 0.0117867
13.6748, 52.0141, 1.63851e-10, 70.1915, 0.0206165
19.0057, 52.0141, 1.77948e-12, 75.5224, 0.0160464
15.9282, 52.0141, 4.73858e-12, 72.4448, 0.00767839
14.9167, 52.0141, 2.11021e-11, 71.4334, 0.0146509
11.6724, 52.0141, 1.97993e-11, 68.1891, 0.0117661
14.3636, 52.014, 4.0147e-11, 70.8803, 0.0190898
13.906, 52.014, 3.58134e-11, 70.4227, 0.0112938
15.6736, 52.014, 3.53561e-11, 72.1903, 0.00595374
17.7482, 52.014, 4.52526e-11, 74.2648, 0.0260158
13.9436, 52.014, 4.72022e-11, 71.8834, 0.00773141
13.1622, 52.014, 6.37291e-11, 71.102, 0.00793893
15.7573, 52.014, 4.67836e-11, 73.6971, 0.00865786
16.4662, 52.014, 1.30644e-13, 74.406, 0.00767579
18.0173, 52.014, 1.07124e-13, 75.9571, 0.0119367
14.6934, 52.014, 4.66837e-14, 72.6332, 0.0103193
15.7527, 52.014, 2.93613e-13, 73.6925, 0.00525798
16.501, 52.014, 4.18441e-13, 74.4408, 0.00563992
15.9659, 52.014, 8.8004e-13, 73.9057, 0.00229478
14.1666, 52.014, 2.55192e-14, 72.1064, 0.00840625
13.1292, 52.014, 6.28506e-14, 71.069, 0.0185583
14.2226, 52.014, 1.54294e-13, 72.1624, 0.00901966
17.9844, 52.014, 2.66688e-13, 75.9242, 0.0128662
11.4767, 52.014, 4.99153e-13, 69.4164, 0.0163459
15.8476, 52.014, 5.69298e-13, 73.7873, 0.0109937
14.1541, 52.014, 4.16409e-13, 72.0939, 0.0121742
15.0834, 52.014, 6.0482e-13, 73.0232, 0.0101558
18.3856, 52.014, 6.18692e-13, 76.3253, 0.00389262
14.2837, 52.014, 7.4361e-13, 72.2235, 0.00817888
12.7151, 52.014, 6.62442e-13, 70.6549, 0.00625633
17.184, 52.014, 9.48557e-13, 76.9967, 0.0068192
11.801, 52.014, 1.33274e-12, 71.6138, 0.0159618
15.3359, 52.014, 7.79782e-16, 75.1487, 0.00521532
16.0021, 52.014, 3.71915e-15, 75.8149, 0.00358144
15.7921, 52.014, 5.12074e-15, 75.6049, 0.00241813
15.2623, 52.014, 9.79241e-15, 75.075, 0.0026787
19.0716, 52.014, 1.14577e-14, 78.8843, 0.00615441
15.1764, 52.014, 2.10381e-16, 74.9892, 0.00551017
15.7147, 52.014, 1.19277e-15, 75.5275, 0.019388
16.871, 52.014, 1.33496e-16, 76.6837, 0.00465841
19.6411, 52.014, 6.85154e-16, 79.4538, 0.0128331
17.1094, 52.014, 9.519e-16, 76.9221, 0.00536756
18.3644, 52.014, 1.69275e-15, 78.1771, 0.00933361
10.6896, 52.014, 1.73346e-15, 70.5024, 0.0149682
16.6754, 52.014, 3.16025e-15, 76.4882, 0.0121339
23.1563, 52.014, 3.90607e-15, 82.969, 0.0270988
10.3277, 52.014, 4.37763e-15, 70.1404, 0.00735864
17.7189, 52.014, 4.42851e-15, 77.5316, 0.00648648
16.3617, 52.014, 5.63629e-15, 76.1745, 0.0241624
20.0883, 52.014, 1.17254e-17, 79.901, 0.0182331
12.364, 52.014, 2.77467e-17, 74.6418, 0.00192265
19.0036, 52.014, 8.99205e-17, 81.2813, 0.00781149
19.7265, 52.014, 1.03312e-16, 82.0042, 0.00665228
16.4748, 52.014, 1.75936e-16, 78.7526, 0.00206651
15.5053, 52.014, 1.87703e-16, 77.783, 0.00900727
15.1343, 52.014, 2.71795e-16, 77.412, 0.0166602
19.2788, 52.014, 3.33452e-16, 81.5565, 0.0102067
14.2711, 52.014, 3.25783e-16, 76.5488, 0.00495247
17.3223, 52.014, 4.44432e-16, 79.6, 0.00743358
16.2372, 52.014, 5.05079e-16, 78.5149, 0.00604175
14.6682, 52.014, 4.57018e-16, 76.9459, 0.00674918
16.5415, 52.014, 4.73227e-16, 78.8192, 0.0112633
16.2397, 52.014, 3.51451e-19, 78.5175, 0.00519425
17.0357, 52.014, 1.92547e-18, 79.3134, 0.00869808
17.2687, 52.014, 3.07539e-18, 79.5465, 0.018523
10.5134, 52.014, 3.7782e-18, 72.7911, 0.0100671
16.7796, 52.014, 6.43202e-18, 79.0573, 0.00741732
15.6738, 52.014, 4.85593e-18, 77.9515, 0.0101691
18.328, 52.014, 7.1831e-18, 80.6057, 0.0082158
22.1797, 52.014, 1.09324e-17, 84.4574, 0.00730843
16.8705, 52.014, 1.07839e-17, 82.3924, 0.00789631
12.3161, 52.014, 3.18014e-20, 77.8379, 0.0134302
18.5376, 52.014, 3.2105e-20, 84.0594, 0.00709524
16.4564, 52.014, 1.38136e-19, 81.9782, 0.00420008
14.3827, 52.014, 2.22403e-19, 79.9045, 0.0235822
18.5905, 52.014, 3.80187e-19, 84.1123, 0.0122647
15.331, 52.014, 6.71722e-19, 80.8528, 0.00401346
13.3026, 52.014, 5.44401e-19, 78.8244, 0.00690351
16.161, 52.014, 6.88582e-19, 81.6829, 0.00460321
15.6204, 52.014, 9.83211e-19, 81.1422, 0.00397692
14.3251, 52.014, 6.94004e-19, 79.8469, 0.0116508
17.5123, 52.014, 2.87735e-21, 83.0341, 0.0177515
15.1554, 52.014, 1.30323e-20, 80.6772, 0.0121994
13.6474, 52.014, 2.31863e-20, 79.1693, 0.0149394
16.7297, 52.014, 3.43434e-20, 82.2515, 0.0195668
14.7573, 52.014, 5.40438e-20, 80.2791, 0.00767976
14.2879, 52.014, 6.19368e-20, 79.8097, 0.0101068
18.1689, 52.014, 8.39855e-20, 83.6907, 0.00646032
18.7537, 52.014, 9.20122e-20, 84.2755, 0.0198619
14.3047, 52.014, 8.06822e-20, 79.8265, 0.00426083
16.1646, 52.014, 1.35591e-19, 85.9559, 0.00770893
15.0915, 52.014, 1.19452e-19, 84.8827, 0.00368101
16.1416, 52.014, 1.36577e-19, 85.9328, 0.00329533
13.9097, 52.014, 1.2703e-19, 83.701, 0.00348845
11.315, 52.014, 1.31398e-22, 81.1063, 0.00854321
18.954, 52.014, 8.49482e-23, 88.7453, 0.0186698
14.0276, 52.014, 2.27196e-22, 83.8189, 0.00854771
17.7169, 52.014, 5.46968e-22, 87.5081, 0.0121323
14.0834, 52.014, 9.31768e-22, 83.8747, 0.00707199
14.464, 52.014, 1.35286e-21, 84.2553, 0.0131089
14.2354, 52.014, 1.50791e-21, 84.0267, 0.0116531
15.6082, 52.014, 2.29095e-21, 85.3995, 0.0115678
16.9904, 52.014, 3.29938e-21, 86.7817, 0.0262676
18.5665, 52.014, 1.41026e-23, 88.3578, 0.00631305
16.3659, 52.014, 3.60613e-23, 86.1572, 0.0127198
15.6988, 52.014, 9.86674e-23, 85.4901, 0.00363339
14.8251, 52.014, 1.45816e-22, 84.6163, 0.0173333
14.444, 52.014, 1.95286e-22, 84.2353, 0.023897
20.843, 52.014, 2.45934e-22, 90.6343, 0.0113133
20.5473, 52.014, 2.60972e-22, 90.3385, 0.00628802
13.5134, 52.014, 3.26735e-22, 88.9236, 0.0419703
14.7299, 52.014, 3.08949e-22, 90.1401, 0.030114
20.9359, 52.014, 4.68199e-22, 96.3461, 0.0219949
17.4856, 52.014, 3.32534e-22, 92.8958, 0.0194681
15.8404, 52.014, 6.19552e-22, 91.2506, 0.0104473
16.3865, 52.014, 5.98592e-22, 91.7967, 0.0335489
12.0433, 52.014, 5.65538e-22, 87.4536, 0.027167
16.4387, 52.014, 5.13491e-22, 91.849, 0.0507022
18.7399, 52.014, 6.37721e-22, 94.1501, 0.0132687
14.9739, 52.014, 6.15395e-22, 90.3841, 0.00990125
15.6212, 52.014, 7.02394e-22, 91.0315, 0.0199638
15.8761, 52.014, 5.11909e-22, 91.2863, 0.0315602
13.3203, 52.014, 4.84719e-22, 88.7306, 0.00246127
11.9611, 52.014, 4.55311e-22, 87.3713, 0.0414103
12.7617, 52.014, 6.20923e-22, 88.1719, 0.0178169
14.4417, 52.014, 5.25797e-22, 89.8519, 0.00379745
19.6057, 52.014, 5.3878e-22, 95.016, 0.00454104
20.8504, 52.014, 5.51974e-22, 96.2606, 0.0170597
16.7935, 52.014, 2.73033e-27, 92.2037, 0.00997678
12.1269, 52.014, 4.93432e-28, 87.5371, 0.0195195
16.007, 52.014, 2.34545e-26, 98.8122, 0.00949072
14.6081, 52.014, 1.6678e-26, 97.4132, 0.0213514
10.0781, 52.014, 7.96729e-26, 92.8833, 0.00556064
12.0342, 52.014, 6.9245e-26, 94.8394, 0.00579967
16.0515, 52.014, 2.17439e-25, 98.8566, 0.0133811
11.5831, 52.014, 2.10531e-27, 94.3883, 0.00545102
14.848, 52.014, 2.204e-27, 97.6532, 0.00300864
15.7858, 52.014, 3.6185e-27, 98.591, 0.0355055
16.9832, 52.014, 8.91468e-27, 99.7884, 0.00400511
15.8418, 52.014, 1.46385e-26, 98.647, 0.00585279
14.1939, 52.014, 1.3224e-26, 96.9991, 0.0164195
16.9364, 52.014, 2.74677e-26, 99.7416, 0.0148644
13.5641, 52.014, 2.31255e-26, 96.3693, 0.0137761
16.274, 52.014, 1.67109e-26, 99.0791, 0.0360066
15.1775, 52.014, 7.89492e-28, 97.9826, 0.0165799
14.0214, 52.014, 5.1613e-26, 96.8266, 0.0309884
14.4802, 52.014, 8.77981e-26, 97.2853, 0.00948413
20.1332, 52.014, 5.34552e-26, 102.938, 0.00971168
