Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.00037211, 9.09926e-15, 0.0093706, 20505.1, 0.0344605
0.000372935, 9.13959e-15, 0.00938896, 21530.4, 0.0361409
0.000393298, 1.01658e-14, 0.00982266, 22555.6, 0.0378318
0.000519721, 1.77601e-14, 0.0124266, 23580.9, 0.0395674
0.000570637, 2.14136e-14, 0.0134442, 24606.1, 0.0412658
0.000643012, 2.71958e-14, 0.014863, 25631.3, 0.0429693
0.000723511, 3.4438e-14, 0.0164139, 26656.6, 0.0446726
0.000793178, 4.13955e-14, 0.0177367, 27681.8, 0.0463707
0.000866821, 4.94464e-14, 0.0191183, 28707.1, 0.0480682
0.000963238, 6.10681e-14, 0.0209066, 29732.3, 0.0497699
0.00104299, 7.16079e-14, 0.0223706, 30757.5, 0.0514661
0.00112413, 8.31923e-14, 0.0238474, 31782.8, 0.0531615
0.00122678, 9.90917e-14, 0.0257003, 32808, 0.0548603
0.00133016, 1.1651e-13, 0.0275515, 33833.2, 0.0565579
0.00141243, 1.31379e-13, 0.0290147, 34858.5, 0.0582506
0.00151397, 1.50962e-13, 0.0308098, 35883.7, 0.0599459
0.00163937, 1.77024e-13, 0.0330128, 36908.9, 0.0616444
0.00173782, 1.9894e-13, 0.0347323, 37934.2, 0.0633374
0.00185782, 2.27381e-13, 0.0368174, 38959.4, 0.065033
0.00197453, 2.56867e-13, 0.0388353, 39984.6, 0.0667273
0.00208742, 2.87097e-13, 0.0407781, 41009.8, 0.0684202
0.00222365, 3.25816e-13, 0.0431123, 42035.1, 0.0701156
0.00232835, 3.57237e-13, 0.0448991, 43060.3, 0.071806
0.00248528, 4.07045e-13, 0.0475667, 44085.5, 0.0735026
0.00260548, 4.47395e-13, 0.0496021, 45110.7, 0.0751936
0.00274868, 4.97952e-13, 0.0520187, 46136, 0.0768869
0.00288495, 5.48576e-13, 0.0543105, 47161.2, 0.0785786
0.00301411, 5.98819e-13, 0.0564762, 48186.4, 0.0802689
0.00316694, 6.61117e-13, 0.0590313, 49211.6, 0.0819613
0.00331144, 7.22852e-13, 0.0614402, 50236.8, 0.0836521
0.00348202, 7.9928e-13, 0.0642759, 51262.1, 0.085345
0.00364294, 8.74899e-13, 0.0669435, 52287.3, 0.0870362
0.00379421, 9.49096e-13, 0.0694447, 53312.5, 0.0887259
0.00397177, 1.04005e-12, 0.0723736, 54337.7, 0.0904175
0.00413836, 1.12916e-12, 0.0751148, 55362.9, 0.0921075
0.00429414, 1.2158e-12, 0.0776727, 56388.1, 0.0937959
0.0044761, 1.32107e-12, 0.080654, 57413.3, 0.0954862
0.00464597, 1.42328e-12, 0.0834315, 58438.5, 0.0971748
0.00484406, 1.54728e-12, 0.0866637, 59463.7, 0.0988653
0.0050287, 1.66752e-12, 0.0896704, 60489, 0.100554
0.00520031, 1.78332e-12, 0.09246, 61514.2, 0.102241
0.00539956, 1.92264e-12, 0.0956931, 62539.4, 0.10393
0.0055845, 2.05664e-12, 0.0986887, 63564.6, 0.105617
0.00579892, 2.21766e-12, 0.102156, 64589.8, 0.107306
0.00599768, 2.37233e-12, 0.105365, 65615, 0.108994
0.00622782, 2.55793e-12, 0.109074, 66640.2, 0.110683
0.00644087, 2.73599e-12, 0.112502, 67665.4, 0.11237
0.00663761, 2.90573e-12, 0.115662, 68690.6, 0.114056
0.00686458, 3.1079e-12, 0.119304, 69715.8, 0.115743
0.00707394, 3.30041e-12, 0.122658, 70741, 0.117428
0.00727428, 3.49004e-12, 0.125863, 71766.2, 0.119113
0.00750476, 3.71477e-12, 0.129546, 72791.4, 0.120799
0.00777026, 3.98231e-12, 0.133783, 73816.6, 0.122487
0.00796558, 4.18508e-12, 0.136895, 74841.8, 0.12417
0.0082461, 4.48509e-12, 0.14136, 75866.9, 0.125857
0.00845226, 4.71221e-12, 0.144638, 76892.1, 0.12754
0.0086885, 4.97935e-12, 0.14839, 77917.3, 0.129224
0.00895949, 5.29485e-12, 0.152688, 78942.5, 0.130909
0.00920806, 5.59277e-12, 0.156626, 79967.7, 0.132593
0.00943561, 5.87265e-12, 0.160228, 80992.9, 0.134276
0.0096959, 6.20117e-12, 0.164343, 82018.1, 0.135959
0.00999395, 6.58833e-12, 0.169051, 83043.3, 0.137644
0.0102669, 6.95312e-12, 0.173356, 84068.4, 0.139328
0.0105163, 7.29511e-12, 0.177288, 85093.6, 0.141009
0.0108011, 7.69568e-12, 0.181773, 86118.8, 0.142692
0.0110612, 8.07085e-12, 0.185864, 87144, 0.144374
0.0113581, 8.50983e-12, 0.190529, 88169.2, 0.146057
0.0116289, 8.92056e-12, 0.194782, 89194.3, 0.147738
0.0118756, 9.30315e-12, 0.198653, 90219.5, 0.149418
0.0121565, 9.74845e-12, 0.203056, 91244.7, 0.151099
0.0124765, 1.02685e-11, 0.208069, 92269.9, 0.152781
0.0127682, 1.07542e-11, 0.212633, 93295.1, 0.154461
0.0130335, 1.12058e-11, 0.216781, 94320.2, 0.15614
0.0133351, 1.17304e-11, 0.221494, 95345.4, 0.15782
0.0136783, 1.2342e-11, 0.226852, 96370.6, 0.159502
0.0139906, 1.2912e-11, 0.231724, 97395.7, 0.161181
0.0142743, 1.34411e-11, 0.236147, 98420.9, 0.16286
0.0145965, 1.40546e-11, 0.241165, 99446.1, 0.164539
0.014889, 1.46236e-11, 0.245719, 100471, 0.166217
0.0152209, 1.52829e-11, 0.250882, 101496, 0.167896
0.0155221, 1.58937e-11, 0.255564, 102522, 0.169574
0.0158637, 1.66009e-11, 0.26087, 103547, 0.171252
0.0162514, 1.74223e-11, 0.266888, 104572, 0.172932
0.0165327, 1.80305e-11, 0.271251, 105597, 0.174608
0.016851, 1.87315e-11, 0.276186, 106622, 0.176284
0.0172116, 1.95417e-11, 0.281773, 107647, 0.177962
0.0175383, 2.02905e-11, 0.286831, 108673, 0.179638
0.0179081, 2.11552e-11, 0.292554, 109698, 0.181315
0.018243, 2.19537e-11, 0.297732, 110723, 0.182991
0.0186219, 2.28751e-11, 0.303589, 111748, 0.184668
0.0189648, 2.37252e-11, 0.308885, 112773, 0.186343
0.0193526, 2.47054e-11, 0.314872, 113798, 0.18802
0.0197034, 2.56091e-11, 0.320284, 114823, 0.189695
0.0200999, 2.66501e-11, 0.326397, 115849, 0.19137
0.0204584, 2.76091e-11, 0.331922, 116874, 0.193045
0.0207821, 2.84895e-11, 0.336907, 117899, 0.194718
0.0211474, 2.94997e-11, 0.342531, 118924, 0.196392
0.0215599, 3.06617e-11, 0.348878, 119949, 0.198067
0.0219325, 3.17305e-11, 0.354607, 120974, 0.199741
0.0223531, 3.29589e-11, 0.361071, 122000, 0.201415
0.022712, 3.40255e-11, 0.366584, 123025, 0.203088
0.0231167, 3.52488e-11, 0.372798, 124050, 0.204761
0.0234817, 3.63706e-11, 0.3784, 125075, 0.206433
0.0238932, 3.76563e-11, 0.384712, 126100, 0.208106
