Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
0.102259, 8.27691e-10, 2.38804, 271334, 0.667743
0.110422, 9.65232e-10, 2.55383, 274724, 0.675923
0.12457, 1.22871e-09, 2.82414, 278112, 0.683987
0.133499, 1.4114e-09, 2.98817, 281501, 0.692077
0.141642, 1.58905e-09, 3.13381, 284891, 0.700161
0.148738, 1.75246e-09, 3.25822, 288281, 0.70825
0.154722, 1.89651e-09, 3.36152, 291671, 0.71635
0.16245, 2.09094e-09, 3.49315, 295061, 0.724414
0.168733, 2.25606e-09, 3.59895, 298451, 0.732499
0.175024, 2.42764e-09, 3.70383, 301841, 0.740581
0.181253, 2.60376e-09, 3.80678, 305231, 0.74866
0.187367, 2.78261e-09, 3.90702, 308621, 0.756738
0.193319, 2.96245e-09, 4.00392, 312011, 0.764817
0.199074, 3.14172e-09, 4.09701, 315402, 0.772898
0.206001, 3.36445e-09, 4.20835, 318791, 0.780955
0.211306, 3.54022e-09, 4.29314, 322182, 0.789039
0.217624, 3.75538e-09, 4.39359, 325572, 0.797104
0.223625, 3.96561e-09, 4.48851, 328962, 0.805172
0.23073, 4.22195e-09, 4.60035, 332352, 0.813219
0.237444, 4.47156e-09, 4.70551, 335742, 0.821272
0.243764, 4.71309e-09, 4.80406, 339132, 0.82933
0.249693, 4.94547e-09, 4.89614, 342522, 0.837394
0.256634, 5.22459e-09, 5.00349, 345911, 0.845438
0.263122, 5.49247e-09, 5.10345, 349301, 0.853489
0.269171, 5.74821e-09, 5.19629, 352691, 0.861546
0.276208, 6.0531e-09, 5.30393, 356081, 0.869585
0.28275, 6.3436e-09, 5.40363, 359471, 0.877631
0.290342, 6.68928e-09, 5.51893, 362861, 0.885657
0.297383, 7.01806e-09, 5.62549, 366250, 0.893691
0.303896, 7.32925e-09, 5.72376, 369640, 0.901734
0.311421, 7.69716e-09, 5.83694, 373030, 0.909758
0.318368, 8.04485e-09, 5.9411, 376420, 0.917791
0.324769, 8.37199e-09, 6.0368, 379809, 0.925832
0.332134, 8.7565e-09, 6.14662, 383199, 0.933855
0.338908, 9.1178e-09, 6.24735, 386589, 0.941887
0.346691, 9.54189e-09, 6.36275, 389978, 0.9499
0.353839, 9.93988e-09, 6.46846, 393368, 0.957924
0.362038, 1.04065e-08, 6.5894, 396757, 0.965928
0.369558, 1.08438e-08, 6.70002, 400147, 0.973942
0.376443, 1.12521e-08, 6.80106, 403537, 0.981967
0.384316, 1.17282e-08, 6.91633, 406926, 0.989973
0.393326, 1.22852e-08, 7.0479, 410315, 0.997959
0.399913, 1.27007e-08, 7.14387, 413705, 1.00599
0.409315, 1.33056e-08, 7.28053, 417094, 1.01396
0.416182, 1.37563e-08, 7.38011, 420484, 1.02198
0.424005, 1.4279e-08, 7.49333, 423873, 1.02998
0.432923, 1.48867e-08, 7.62211, 427262, 1.03797
0.441052, 1.54516e-08, 7.73924, 430652, 1.04596
0.45031, 1.61078e-08, 7.87233, 434041, 1.05394
0.45874, 1.67173e-08, 7.99328, 437430, 1.06192
0.467045, 1.73288e-08, 8.11218, 440819, 1.06991
0.474592, 1.7894e-08, 8.22002, 444209, 1.07791
0.48316, 1.85467e-08, 8.34223, 447598, 1.08589
0.492895, 1.93024e-08, 8.4808, 450987, 1.09386
0.501739, 2.00021e-08, 8.60644, 454376, 1.10183
0.509763, 2.06477e-08, 8.72022, 457765, 1.10982
0.51886, 2.1392e-08, 8.84898, 461154, 1.11779
0.527107, 2.20783e-08, 8.96551, 464544, 1.12577
0.53645, 2.28688e-08, 9.0973, 467933, 1.13373
0.547041, 2.37817e-08, 9.24641, 471321, 1.14168
0.554716, 2.44544e-08, 9.35428, 474711, 1.14966
0.565575, 2.54223e-08, 9.50662, 478099, 1.1576
0.573438, 2.61349e-08, 9.61676, 481488, 1.16558
0.582324, 2.6952e-08, 9.74104, 484877, 1.17355
0.592372, 2.78911e-08, 9.88133, 488266, 1.18149
0.601458, 2.87542e-08, 10.008, 491655, 1.18945
0.611726, 2.97454e-08, 10.1509, 495044, 1.19739
0.621005, 3.06557e-08, 10.2798, 498433, 1.20534
0.631485, 3.17002e-08, 10.4252, 501821, 1.21328
0.640952, 3.26588e-08, 10.5564, 505210, 1.22123
0.651637, 3.3758e-08, 10.7041, 508599, 1.22915
0.661284, 3.47659e-08, 10.8374, 511988, 1.2371
0.672167, 3.59209e-08, 10.9874, 515376, 1.24502
0.681987, 3.69793e-08, 11.1227, 518765, 1.25296
0.690839, 3.79464e-08, 11.2444, 522154, 1.26091
0.703313, 3.93306e-08, 11.4156, 525542, 1.2688
0.712312, 4.03446e-08, 11.539, 528931, 1.27675
0.722444, 4.15016e-08, 11.6777, 532319, 1.28468
0.733857, 4.28247e-08, 11.8338, 535708, 1.29259
0.744141, 4.40346e-08, 11.9742, 539096, 1.30051
0.755721, 4.54172e-08, 12.1321, 542485, 1.30841
0.76615, 4.66806e-08, 12.2741, 545873, 1.31633
0.775533, 4.78322e-08, 12.4018, 549262, 1.32427
0.786083, 4.91438e-08, 12.5451, 552650, 1.33219
0.797953, 5.06406e-08, 12.7061, 556038, 1.34008
0.808633, 5.20067e-08, 12.8508, 559427, 1.34799
0.820644, 5.35647e-08, 13.0133, 562815, 1.35588
0.831447, 5.49857e-08, 13.1593, 566203, 1.36379
0.843591, 5.66052e-08, 13.3232, 569592, 1.37167
0.854509, 5.80814e-08, 13.4704, 572980, 1.37957
0.864317, 5.94237e-08, 13.6025, 576368, 1.38749
0.878091, 6.13347e-08, 13.7877, 579756, 1.39535
0.887993, 6.27272e-08, 13.9208, 583145, 1.40326
0.899106, 6.43086e-08, 14.0699, 586533, 1.41116
0.911583, 6.61076e-08, 14.2371, 589921, 1.41903
